subject,writer,publisher,date,star
아버지의 해방일지,정지아 (지은이) , 창비 , 2022년 9월,5
음식 중독,"마이클 모스 (지은이), 연아람 (옮긴이) ", 민음사 , 2023년 1월,4.5
이토록 평범한 미래,김연수 (지은이) , 문학동네 , 2022년 10월,4.5
사랑의 이해,이혁진 (지은이) , 민음사 , 2019년 4월,4
무조건 합격하는 암기의 기술,이윤규 (지은이) , 더퀘스트 , 2023년 1월,5
원씽,"게리 켈러, 제이 파파산 (지은이), 구세희 (옮긴이) ", 비즈니스북스 , 2013년 8월,4.5
역행자,자청 (지은이) , 웅진지식하우스 , 2022년 5월,4
당신도 느리게 나이 들 수 있습니다,정희원 (지은이) , 더퀘스트 , 2023년 1월,5
구의 증명,최진영 (지은이) , 은행나무 , 2015년 3월,4
인스타 브레인,"안데르스 한센 (지은이), 김아영 (옮긴이) ", 동양북스(동양문고) , 2020년 5월,4.5
만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),김혜남 (지은이) , 메이븐 , 2022년 11월,4.5
맥심 MAXIM 2023년 02월호,맥심코리아 편집부 (지은이) , 주식회사와이미디어 , 2023년 2월,0
거의 모든 일상 표현의 영어,"케빈 강, 해나 변 (지은이) ", 사람in , 2022년 11월,5
파친코 2,이민진 (지은이) , 인플루엔셜(주) , 2022년 10월,5
게으른 완벽주의자를 위한 심리학,"헤이든 핀치 (지은이), 이은정 (옮긴이) ", 시크릿하우스 , 2022년 8월,5
파친코 1,"이민진 (지은이), 신승미 (옮긴이) ", 인플루엔셜(주) , 2022년 10월,4.5
불편한 편의점,김호연 (지은이) , 나무옆의자 , 2021년 4월,4.5
어른의 어휘 공부,신효원 (지은이) , 책장속북스 , 2022년 9월,5
불편한 편의점 2 (단풍 에디션),김호연 (지은이) , 나무옆의자 , 2022년 8월,4.5
[100% 페이백] 뛰는 사람,"베른트 하인리히 (지은이), 조은영 (옮긴이) ", 윌북 , 2023년 2월,3
데일 카네기 인간관계론,"데일 카네기 (지은이), 임상훈 (옮긴이) ", 현대지성 , 2019년 10월,4.5
인생의 역사,신형철 (지은이) , 난다 , 2022년 12월,5
생생하게 살아 있는 캐릭터 만드는 법,"키라앤 펠리컨 (지은이), 정미화 (옮긴이) ", 아날로그(글담) , 2023년 1월,5
물고기는 존재하지 않는다,"룰루 밀러 (지은이), 정지인 (옮긴이) ", 곰출판 , 2022년 1월,4
