순위,제목,저자,출판사,출간일,별점
3,사이토 히토리의 1퍼센트 부자의법칙,"사이토 히토리 (지은이), 김진아 (옮긴이) ", 나비스쿨 , 2023년 2월,5.0
4,보도 섀퍼 부의 레버리지,"보도 섀퍼 (지은이), 한윤진 (옮긴이) ", 비즈니스북스 , 2023년 2월,5.0
6,마케팅 설계자,"러셀 브런슨 (지은이), 이경식 (옮긴이) ", 윌북 , 2022년 12월,5.0
7,주식투자 최적의 타이밍을 잡는 법,"스탠 와인스타인 (지은이), 우승택 (옮긴이) ", 플로우 , 2021년 2월,4.5
8,AI 2041,"리카이푸, 천치우판 (지은이), 이현 (옮긴이) ", 한빛비즈 , 2023년 1월,5.0
9,부자 아빠 가난한 아빠 20주년 특별 기념판 [부자 아빠 가난한 아빠 1 개정증보판],"로버트 기요사키 (지은이), 안진환 (옮긴이) ", 민음인 , 2018년 4월,4.0
10,주식투자 무작정 따라하기 (최신개정판),윤재수 (지은이) , 길벗 , 2023년 2월,5.0
11,돈의 심리학,"모건 하우절, 이지연 (지은이) ", 인플루엔셜(주) , 2021년 1월,4.5
12,부의 추월차선 (10주년 스페셜 에디션),"엠제이 드마코 (지은이), 신소영 (옮긴이) ", 토트 , 2022년 2월,4.0
14,트렌드 코리아 2023,"김난도, 전미영, 최지혜 (지은이) ", 미래의창 , 2022년 10월,4.0
15,가진 돈은 몽땅 써라,"호리에 다카후미 (지은이), 윤지나 (옮긴이) ", 쌤앤파커스 , 2022년 6월,4.0
17,돈의 속성,김승호 (지은이) , 스노우폭스북스 , 2022년 3월,4.5
18,반도체 삼국지,권석준 (지은이) , 뿌리와이파리 , 2023년 2월,4.0
19,생각에 관한 생각,"대니얼 카너먼 (지은이), 이창신 (옮긴이) ", 김영사 , 2018년 4월,4.5
20,부자의 그릇,"이즈미 마사토 (지은이), 김윤수 (옮긴이) ", 다산북스 , 2020년 12월,4.5
22,나는 장사의 신이다,은현장 (지은이) , 떠오름 , 2021년 12월,5.0
23,아파트 투자는 사이클이다,이현철 (지은이) , 여의도책방 , 2022년 11월,4.0
25,"뇌, 욕망의 비밀을 풀다","한스-게오르크 호이젤 (지은이), 한윤진, 강영옥, 김신종 (옮긴이) ", 비즈니스북스 , 2019년 9월,4.5
26,브라질에 비가 내리면 스타벅스 주식을 사라,"피터 나바로 (지은이), 이창식 (옮긴이), 윤지호 (감수) ", 에프엔미디어 , 2022년 5월,4.0
28,장사의 神 (200쇄 기념 블랙 에디션),"우노 다카시 (지은이), 김문정 (옮긴이) ", 쌤앤파커스 , 2023년 1월,0.0
29,엑시트 EXIT,송희창(송사무장) (지은이) , 지혜로 , 2020년 11월,5.0
30,실전투자의 비밀,김형준 (지은이) , 이레미디어 , 2021년 6월,4.5
31,전설로 떠나는 월가의 영웅,"피터 린치, 존 로스차일드 (지은이), 이건 (옮긴이) ", 국일증권경제연구소 , 2021년 8월,5.0
32,기브 앤 테이크,"애덤 그랜트 (지은이), 윤태준 (옮긴이) ", 생각연구소 , 2013년 12월,4.5
33,언스크립티드  : 부의 추월차선 완결판,"엠제이 드마코 (지은이), 안시열 (옮긴이) ", 토트 , 2018년 1월,4.5
34,영화를 빨리 감기로 보는 사람들,"이나다 도요시 (지은이), 황미숙 (옮긴이) ", 현대지성 , 2022년 11월,5.0
35,배터리 전쟁,"루카스 베드나르스키 (지은이), 안혜림 (옮긴이) ", 위즈덤하우스 , 2023년 1월,3.5
36,2023 대한민국 산업지도,이래학 (지은이) , 경이로움 , 2023년 1월,4.5
37,슈퍼 팩트,"팀 하포드 (지은이), 김태훈 (옮긴이) ", 세종(세종서적) , 2023년 2월,5.0
38,나의 월급 독립 프로젝트 (리마스터 에디션),유목민 (지은이) , 리더스북 , 2022년 11월,5.0
40,현명한 투자자 1,"벤저민 그레이엄 (지은이), 이건 (옮긴이), 신진오 (감수) ", 국일증권경제연구소 , 2020년 7월,4.5
41,부의 인문학 (20만부 기념 개정증보판),우석(브라운스톤) (지은이) , 오픈마인드 , 2022년 3월,4.0
