순위,제목,저자,출판사,출간일,별점
1,데미안 (한글판),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2012년 10월,4.5
2,싯다르타,"헤르만 헤세 (지은이), 박병덕 (옮긴이) ", 민음사 , 2014년 1월,4.5
3,사랑의 기술 (개정판),"에리히 프롬 (지은이), 황문수 (옮긴이) ", 문예출판사 , 2019년 9월,4.0
4,어린 왕자 (한글+영문),"앙투안 드 생텍쥐페리 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 4월,5.0
5,이방인 (한글판),"알베르 카뮈 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 8월,4.0
6,종의 기원,[eBook] 종의 기원 ㅣ 드디어 다윈 1 , 사이언스북스 , 2023년 2월,4.5
7,노인과 바다 (한글+영문판),"어니스트 헤밍웨이 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2013년 6월,5.0
8,폭풍의 언덕 (한글판 + 영문판),"에밀리 브론테 (지은이), 김명신 (옮긴이) ", 더클래식 , 2014년 11월,4.5
9,1984 (한글+영문),"조지 오웰 (지은이), 정영수 (옮긴이) ", 더클래식 , 2013년 5월,5.0
10,달과 6펜스,"서머싯 몸 (지은이), 송무 (옮긴이) ", 민음사 , 2013년 3월,4.5
11,데미안 (한글+영문),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2013년 1월,4.5
12,오만과 편견 (한글판),"제인 오스틴 (지은이), 김유미 (옮긴이) ", 더클래식 , 2013년 5월,4.0
13,키다리 아저씨 (한글판 + 영문판),"진 웹스터 (지은이), 허윤정 (옮긴이) ", 더클래식 , 2015년 9월,4.5
14,1984,"조지 오웰 (지은이), 정회성 (옮긴이) ", 민음사 , 2012년 7월,4.5
15,멋진 신세계,"올더스 헉슬리 (지은이), 안정효 (옮긴이) ", 소담출판사 , 2018년 6월,4.5
16,오만과 편견 (한글+영문판),"제인 오스틴 (지은이), 김유미 (옮긴이) ", 더클래식 , 2013년 5월,3.5
17,노인과 바다 (한글),"어니스트 헤밍웨이 (지은이), 이수정 (옮긴이) ", 더클래식 , 2012년 11월,4.0
18,이방인,"알베르 카뮈 (지은이), 김화영 (옮긴이) ", 민음사 , 2020년 12월,4.5
19,그리스인 조르바 (한글판),"니코스 카잔자키스 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 6월,4.0
20,페스트 (한글판+영문),"알베르 카뮈 (지은이), 변광배 (옮긴이) ", 미르북컴퍼니 , 2014년 6월,4.5
21,두 도시 이야기 (한글+영문판),"찰스 디킨스 (지은이), 신윤진, 이수진 (옮긴이) ", 더클래식 , 2013년 6월,5.0
22,죄와 벌 (상),"표도르 도스토옙스키 (지은이), 홍대화 (옮긴이) ", 열린책들 , 2011년 5월,5.0
23,데미안: 오리지널 초판본,"헤르만 헤세 (지은이), 이미영 (옮긴이), 김선형 (해설) ", 코너스톤 , 2017년 2월,5.0
24,젊은 베르터의 슬픔,[오디오북] 젊은 베르터의 슬픔 ㅣ 별글클래식 파스텔 에디션 (오디오북) 7 , 별글 , 2020년 2월,5.0
25,동물농장,"조지 오웰 (지은이), 신동운 (옮긴이) ", 스타북스 , 2020년 4월,4.5
26,차라투스트라는 이렇게 말했다,"프리드리히 니체 (지은이), 장희창 (옮긴이) ", 민음사 , 2012년 10월,4.0
27,초판본 걸리버 여행기 (무삭제 완역본),"조너선 스위프트 (지은이), 류경희 (옮긴이) ", 더스토리 , 2020년 4월,4.5
28,픽션들,"호르헤 루이스 보르헤스 (지은이), 송병선 (옮긴이) ", 민음사 , 2018년 11월,4.5
29,신곡 인페르노(지옥) : 한글판,"단테 알리기에리 (지은이), 이시연 (옮긴이) ", 더클래식 , 2013년 8월,0.0
30,오즈의 마법사 (한글+영문),"라이먼 프랭크 바움 (지은이), 윌리엄 월리스 덴슬로우 (그림), 손인혜 (옮긴이) ", 더클래식 , 2013년 5월,3.0
31,죄와 벌 (하),"표도르 도스토옙스키 (지은이), 홍대화 (옮긴이) ", 열린책들 , 2011년 5월,4.5
32,아리스토텔레스 시학 (그리스어 원전 완역본),"아리스토텔레스 (지은이), 박문재 (옮긴이) ", 현대지성 , 2021년 3월,5.0
33,비밀의 화원,"프랜시스 호지슨 버넷 (지은이), 박혜원 (옮긴이) ", 더클래식 , 2022년 5월,0.0
34,[세트] 신곡 (전3권),단테 알리기에리 (지은이) , 열린책들 , 2015년 2월,3.0
35,위대한 개츠비,"프랜시스 스콧 피츠제럴드 (지은이), 김소연 (옮긴이), 안재영, 원종준, 김미소 (낭독) ", 별글 , 2020년 2월,5.0
36,만화로 보는 일리아스,동사원형 (지은이) , 한빛비즈 , 2023년 2월,5.0
37,군주론,"니콜로 마키아벨리 (지은이), 이시연 (옮긴이) ", 더클래식 , 2018년 11월,4.5
38,오만과 편견,"제인 오스틴 (지은이), 윤지관, 전승희 (옮긴이) ", 민음사 , 2012년 7월,4.5
39,수레바퀴 아래서 (한글판),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2013년 6월,4.0
