순위,제목,저자,출판사,출간일,별점
1,물고기는 존재하지 않는다,"룰루 밀러 (지은이), 정지인 (옮긴이) ", 곰출판 , 2022년 1월,4.0
2,"욕망의 진화 : 사랑, 연애, 섹스, 결혼 남녀의 엇갈린 욕망에 담긴 진실","데이비드 버스 (지은이), 전중환 (옮긴이) ", 사이언스북스 , 2019년 11월,4.0
3,다정한 것이 살아남는다,"브라이언 헤어, 버네사 우즈 (지은이), 이민아 (옮긴이), 박한선 (감수) ", 디플롯 , 2021년 10월,4.5
4,정리하는 뇌,"대니얼 J. 레비틴 (지은이), 김성훈 (옮긴이) ", 와이즈베리 , 2019년 7월,4.5
5,우리는 각자의 세계가 된다,"데이비드 이글먼 (지은이), 김승욱 (옮긴이) ", 알에이치코리아(RHK) , 2023년 2월,5.0
7,이기적 유전자,"리처드 도킨스 (지은이), 홍영남, 이상임 (옮긴이) ", 을유문화사 , 2019년 2월,4.0
8,우울할 땐 뇌 과학,"앨릭스 코브 (지은이), 정지인 (옮긴이) ", 심심 , 2018년 3월,4.0
9,사이코패스 뇌과학자,"제임스 팰런 (지은이), 김미선 (옮긴이) ", 더퀘스트 , 2020년 10월,4.5
10,비전공자도 이해할 수 있는 AI 지식,"박상길 (지은이), 정진호 (그림) ", 반니 , 2022년 8월,5.0
11,피타고라스 생각 수업,이광연 (지은이) , 유노라이프 , 2023년 1월,5.0
12,천문학자는 별을 보지 않는다,심채경 (지은이) , 문학동네 , 2021년 2월,4.5
13,익스텐드 마인드,"애니 머피 폴 (지은이), 이정미 (옮긴이) ", 알에이치코리아(RHK) , 2022년 11월,5.0
14,AI 지도책,"케이트 크로퍼드 (지은이), 노승영 (옮긴이) ", 소소의책 , 2022년 11월,5.0
15,나는 왜 생각이 많을까?,"홋타 슈고 (지은이), 윤지나 (옮긴이) ", 서사원 , 2021년 8월,4.5
16,떨림과 울림,김상욱 (지은이) , 동아시아 , 2018년 11월,4.5
17,이토록 뜻밖의 뇌과학,"리사 펠드먼 배럿 (지은이), 변지영 (옮긴이), 정재승 (감수) ", 더퀘스트 , 2021년 8월,4.5
18,엔드 오브 타임,"브라이언 그린 (지은이), 박병철 (옮긴이) ", 와이즈베리 , 2021년 2월,5.0
19,노화의 종말,"매슈 D. 러플랜트, 데이비드 A. 싱클레어 (지은이), 이한음 (옮긴이) ", 부키 , 2020년 8월,4.0
20,거의 모든 것의 역사,"빌 브라이슨 (지은이), 이덕환 (옮긴이) ", 까치 , 2020년 5월,4.5
21,초공간,"미치오 카쿠 (지은이), 박병철 (옮긴이) ", 김영사 , 2018년 6월,4.5
22,진리는 바뀔 수도 있습니다,"데이비드 도이치 (지은이), 김혜원 (옮긴이) ", 알에이치코리아(RHK) , 2023년 2월,3.0
23,코스모스,칼 세이건 (지은이) , 사이언스북스 , 2020년 2월,3.5
