순위,제목,저자,출판사,출간일,별점
1,여성향 게임 세계는 모브에게 가혹한 세계입니다,"미시마 요무 (지은이), 몬다 (그림), 주승현 (옮긴이) ", ㈜소미미디어 , 2023년 2월,5.0
2,전생했더니 슬라임이었던 건에 대하여,"후세 (지은이), 밋츠바 (그림), 김민재 (옮긴이) ", ㈜소미미디어 , 2023년 2월,0.0
3,대장간에서 시작하는 이세계 슬로 라이프,"타마마루 (지은이), 킨타 (그림), 반기모 (옮긴이) ", 시프트노벨 , 2023년 2월,0.0
4,86 -에이티식스-,"아사토 아사토 (지은이), 시라비 (그림), 한신남 (옮긴이) ", 노블엔진 , 2023년 1월,5.0
5,전생했더니 검이었습니다,"타나카 유 (지은이), Llo (그림), 신동민 (옮긴이) ", ㈜소미미디어 , 2023년 2월,0.0
6,패배 히로인이 너무 많아!,"아마모리 타키비 (지은이), 이미기무루 (그림), 김민준 (옮긴이) ", 노블엔진 , 2023년 1월,5.0
7,정령환상기,"키타야마 유리 (지은이), Riv (그림), 이소정 (옮긴이) ", ㈜소미미디어 , 2023년 2월,0.0
8,마도구사 달리아는 고개 숙이지 않아,"아마기시 히사야 (지은이), 케이 (그림), 김종범 (옮긴이) ", 시프트노벨 , 2023년 2월,5.0
9,옆집 천사님 때문에 어느샌가 인간적으로 타락한 사연,"사에키상 (지은이), 하네코토 (그림), JYH (옮긴이) ", 노블엔진 , 2022년 12월,4.0
10,전생 왕녀와 천재 영애의 마법 혁명,"카라스 피에로 (지은이), 키사라기 유리 (그림), 송재희 (옮긴이) ", L노벨 , 2022년 9월,5.0
11,전생한 대성녀는 성녀임을 숨긴다,"토야 (지은이), chibi (그림), 현노을 (옮긴이) ", ㈜소미미디어 , 2022년 7월,5.0
12,이세계 유유자적 농가,"나이토 키노스케 (지은이), 야스모 (그림), 이원명 (옮긴이) ", 노블엔진 , 2021년 4월,5.0
13,현자의 제자를 자칭하는 현자,"류센 히로츠구 (지은이), 후지 초코 (그림), 정대식 (옮긴이) ", ㈜소미미디어 , 2023년 1월,5.0
14,비극의 원흉이 되는 최강악역 최종보스 여왕은 국민을 위해 헌신합니다,"텐이치 (지은이), 스즈노스케 (그림), 유시우 (옮긴이) ", 로지 , 2023년 1월,0.0
15,터무니없는 스킬로 이세계 방랑 밥,"에구치 렌 (지은이), 마사 (그림), 이신 (옮긴이) ", ㈜소미미디어 , 2022년 5월,5.0
16,"VR 에로게임을 하다가 이세계에 전생했으니, 미소녀 마왕을 노예로 삼는다","니시나 아사마루 (지은이), TAKTO (그림) ", 시프트노벨 , 2023년 2월,0.0
17,오버로드,"마루야마 쿠가네 (지은이), so-bin (그림), 김완 (옮긴이) ", 노블엔진 , 2022년 11월,3.0
18,비탄의 망령은 은퇴하고 싶다,"츠키카게 (지은이), 치코 (그림), 천선필 (옮긴이) ", ㈜소미미디어 , 2022년 12월,5.0
19,어서 오세요 실력지상주의 교실에 2학년 편,"키누가사 쇼고 (지은이), 토모세 슌사쿠 (그림), 조민정 (옮긴이) ", ㈜소미미디어 , 2023년 1월,5.0
20,영웅의 딸로 환생한 영웅은 다시 영웅을 꿈꾼다,"카부라기 하루카 (지은이), 아키타 히카 (그림), 이원명 (옮긴이) ", 노블엔진 , 2023년 1월,5.0
21,Re 제로부터 시작하는 이세계 생활,"나가츠키 탓페이 (지은이), 오츠카 신이치로 (그림), 정홍식 (옮긴이) ", 노블엔진 , 2022년 11월,5.0
22,약사의 혼잣말,"휴우가 나츠 (지은이), 시노 토우코 (그림), 김예진 (옮긴이) ", 학산문화사(단행본) , 2022년 9월,5.0
23,문호 스트레이독스,"아사기리 카프카 (지은이), 하루카와 산고 (그림), 박수진 (옮긴이) ", 노블엔진 , 2021년 11월,5.0
24,티어문 제국 이야기,"모치츠키 노조무 (지은이), Gilse (그림), 현노을 (옮긴이) ", ㈜소미미디어 , 2022년 11월,5.0
25,"있잖아, 우리 차라리 사귈까?","카노다 키즈 (지은이), 시오 카즈노코 (그림), 한수진 (옮긴이) ", ㈜소미미디어 , 2023년 2월,0.0
26,무직전생,"리후진 나 마고노테 (지은이), 시로타카 (그림), 한신남 (옮긴이) ", 학산문화사(라이트노벨) , 2022년 10월,5.0
27,던전에서 만남을 추구하면 안 되는 걸까,"오모리 후지노 (지은이), 야스다 스즈히토 (그림), 김민재 (옮긴이) ", ㈜소미미디어 , 2021년 2월,5.0
28,흔해빠진 직업으로 세계최강,"시라코메 료 (지은이), 타카야Ki (그림), 김장준 (옮긴이) ", L노벨 , 2023년 1월,4.0
29,어둠의 실력자가 되고 싶어서!,"아이자와 다이스케 (지은이), 토자이 (그림) ", 제이노블 넥스트 , 2020년 5월,5.0
30,"같은 반의 갸루가, 어째선지 내 의매와 친해졌다.","사나미 스이 (지은이), 코모리 쿠즈유 (그림), 김종범 (옮긴이) ", 시프트노벨 , 2023년 2월,0.0
31,스파이 교실,"타케마치 (지은이), 토마리 (그림), 송재희 (옮긴이) ", L노벨 , 2022년 12월,5.0
32,체인소 맨 버디 스토리즈,"히시카와 사카쿠 (지은이), 후지모토 타츠키 (원작) ", 학산문화사/DCW , 2022년 9월,5.0
33,반에서 가장 싫어하는 여자애와 결혼하게 되었다,"아마노 세이주 (지은이), 나루미 나나미 (그림), 이소정 (옮긴이) ", ㈜소미미디어 , 2023년 1월,0.0
34,새 엄마가 데려온 딸이 전 여친이었다,"카미시로 쿄스케 (지은이), 타카야Ki (그림), 이승원 (옮긴이) ", L노벨 , 2022년 11월,5.0
35,아무래도 제 몸은 완전무적인 것 같아요,"챠츠후사 (지은이), 후미 (그림), 박춘상 (옮긴이) ", ㈜소미미디어 , 2023년 2월,5.0
36,친구 여동생이 나한테만 짜증나게 군다,"미카와 고스트 (지은이), 토마리 (그림), 이승원 (옮긴이) ", L노벨 , 2023년 1월,0.0
37,"거미입니다만, 문제라도?","바바 오키나 (지은이), 키류 츠카사 (그림), 김성래 (옮긴이) ", L노벨 , 2022년 8월,5.0
38,노 게임 노 라이프,"카미야 유우 (지은이), 김완 (옮긴이) ", 노블엔진 , 2022년 3월,5.0
39,회복술사의 재시작 ~즉사 마법과 스킬 카피의 초월 힐~,츠키요 루이 (지은이) , 제이노블 넥스트 , 2022년 11월,5.0
40,이세계는 스마트폰과 함께,"후유하라 파토라 (지은이), 우사츠카 에이지 (그림), 문기업 (옮긴이) ", 노블엔진 , 2022년 12월,0.0
41,사사키와 피짱 01,"분코로리 (지은이), 칸토쿠 (그림), 이경인 (옮긴이) ", 시프트노벨 , 2023년 1월,0.0
42,여자끼리라니 말도 안 된다고 주장하는 여자애를 백일동안 철저하게 함락시키는 백합 이야기,"미카미 테렌 (지은이), 유키코 (그림), 정백송 (옮긴이) ", ㈜소미미디어 , 2022년 8월,5.0
43,탈법 테이머의 벼락출세 모험담,"스카이팜 (지은이), 오쿠마 네코스케 (그림), 손종근 (옮긴이) ", ㈜소미미디어 , 2023년 1월,0.0
44,고블린 슬레이어,"카규 쿠모 (지은이), 칸나츠키 노보루 (그림), 박경용 (옮긴이) ", L노벨 , 2022년 5월,5.0
45,아픈 건 싫으니까 방어력에 올인하려고 합니다.,"유우미칸 (지은이), 코인 (그림) ", 노블엔진 , 2022년 12월,0.0
46,내 최애는 악역 영애,"이노리 (지은이), 하나가타 (그림), 정백송 (옮긴이) ", ㈜소미미디어 , 2022년 5월,4.0
47,평민 주제에 건방지군요! 01,"이노리 (지은이), 하나가타 (그림), 정백송 (옮긴이) ", ㈜소미미디어 , 2022년 10월,5.0
48,망국의 정복자,"후데오르카 (지은이), toi8 (그림), 도영명 (옮긴이) ", 시프트노벨 , 2023년 1월,5.0
49,용서 이야기,니시오 이신 (지은이) , 학산문화사(라이트노벨) , 2023년 1월,5.0
50,나를 좋아하는 건 너뿐이냐,"라쿠다 (지은이), 브리키 (그림), 한신남 (옮긴이) ", 학산문화사(라이트노벨) , 2023년 2월,5.0
51,이수라,"케이소 (지은이), 쿠레타 (그림), 조민경 (옮긴이) ", ㈜소미미디어 , 2023년 2월,0.0
52,악역 영애이기 때문에 최종 보스를 길러보았습니다,"나가세 사라사 (지은이), 무라사키 마이 (그림) ", 제이노블 퍼플 , 2023년 2월,0.0
53,책벌레의 하극상,"카즈키 미야 (지은이), 시이나 유우 (그림), 김봄 (옮긴이) ", 길찾기 , 2022년 9월,4.5
54,어서 오세요 실력지상주의 교실에,"토모세 슌사쿠 (그림), 조민정 (옮긴이) ", ㈜소미미디어 , 2020년 4월,5.0
55,이 멋진 세계에 축복을,"아카츠키 나츠메 (지은이), 미시마 쿠로네 (그림), 이승원 (옮긴이) ", 엘노벨 , 2021년 3월,5.0
56,변경의 팔라딘,"야나기노 카나타 (지은이), 린 쿠스사가 (그림) ", 노블엔진 , 2018년 3월,4.5
57,이세계에서 슬로 라이프를(희망),"시게 (지은이), 오우카 (그림), 김종범 (옮긴이) ", 시프트노벨 , 2023년 1월,5.0
58,이세계 묵시록 마이노그라,"카즈노 페후 (지은이), 준 (그림), 손종근 (옮긴이) ", ㈜소미미디어 , 2022년 9월,3.0
59,음란한 동굴 깊은 곳에서,우메타네 (지은이) , 나이트노벨 , 2021년 3월,5.0
60,청춘 돼지는,"카모시다 하지메 (지은이), 미조구치 케이지 (그림), 이승원 (옮긴이) ", 엘노벨 , 2021년 9월,5.0
61,"영웅왕, 극한의 무를 위해 전생하다","하야켄 (지은이), Nagu (그림), 마일도 (옮긴이) ", ㈜소미미디어 , 2022년 12월,0.0
62,꿈꾸는 남자는 현실주의자,"오케마루 (지은이), 사바미조레 (그림), 박정철 (옮긴이) ", ㈜소미미디어 , 2023년 1월,5.0
63,맞선보고 싶지 않아서 억지스러운 조건을 달았더니 동급생이 온 일에 대해서,"사쿠라기 사쿠라 (지은이), Clear (그림), 손종근 (옮긴이) ", ㈜소미미디어 , 2022년 11월,0.0
64,내 소꿉친구는 타락성녀!,키코 저/보칸 그림 (지은이) , 나이트노벨 , 2019년 11월,3.0
65,성녀의 마력은 만능입니다,타치바나 유카 (지은이) , 제이노블 퍼플 , 2021년 10월,0.0
66,변변찮은 마술강사와 금기교전,"히츠지 타로 (지은이), 미시마 쿠로네 (그림), 최승원 (옮긴이) ", L노벨 , 2022년 12월,5.0
67,"아빠는 영웅, 엄마는 정령, 딸인 나는 전생자.","마츠우라 (지은이), keepout (그림), 이신 (옮긴이) ", L노벨 , 2022년 12월,0.0
68,전학 간 학교의 청순가련한 미소녀가 옛날에 남자라고 생각해서 같이 놀던 소꿉친구였던 일,"히바리유 (지은이), 시소 (그림), 손종근 (옮긴이) ", ㈜소미미디어 , 2023년 1월,0.0
69,마녀의 여행,"시라이시 죠우기 (지은이), 아즈루 (그림), 이신 (옮긴이) ", ㈜소미미디어 , 2023년 1월,5.0
70,재와 환상의 그림갈,"주몬지 아오 (지은이), 시라이 에이리 (그림), 이형진 (옮긴이) ", NT노벨 , 2022년 11월,0.0
71,청춘 돼지는,"카모시다 하지메 (지은이), 미조구치 케이지 (그림), 이승원 (옮긴이) ", 디앤씨미디어(주)(D&C미디어) , 2018년 12월,4.5
72,성우 라디오의 속사정,"니가츠 코우 (지은이), 사바미조레 (그림), 한호성 (옮긴이) ", 코믹 레인 , 2022년 12월,0.0
73,청춘 돼지는,"카모시다 하지메 (지은이), 미조구치 케이지 (그림), 이승원 (옮긴이) ", 디앤씨미디어(주)(D&C미디어) , 2018년 12월,5.0
74,딸이 아니라 나를 좋아한다고?!,"노조미 코타 (지은이), 기우니우 (그림), 현노을 (옮긴이) ", ㈜소미미디어 , 2022년 10월,0.0
75,하이큐!! 소설판,"호시 키요코 (지은이), 후루다테 하루이치 (원작), 양혜석 (옮긴이) ", 대원씨아이/DCW , 2021년 5월,5.0
76,유녀전기,"카를로 젠 (지은이), 시노츠키 시노부 (그림), 한신남 (옮긴이) ", 노블엔진 , 2020년 11월,4.5
77,돼지의 간은 가열해라,"사카이 타쿠마 (지은이), 토사카 아사기 (그림), 이경인 (옮긴이) ", 시프트노벨 , 2023년 2월,0.0
78,청춘 돼지는,"카모시다 하지메 (지은이), 미조구치 케이지 (그림), 이승원 (옮긴이) ", 디앤씨미디어(주)(D&C미디어) , 2018년 12월,5.0
80,사쿠라장의 애완 그녀,"카모시다 하지메 (지은이), 미조구치 케이지 (그림), 정효진 (옮긴이) ", 디앤씨미디어(주)(D&C미디어) , 2018년 5월,5.0
81,나의 행복한 결혼,"아기토기 아쿠미 (지은이), 츠키오카 츠키호 (그림), 현노을 (옮긴이) ", ㈜소미미디어 , 2022년 12월,5.0
82,방과 후 지구방위군,"사사모토 유이치 (지은이), 시라노리 (그림), 신동민 (옮긴이) ", ㈜소미미디어 , 2023년 1월,4.0
83,경계선상의 호라이즌,"카와카미 미노루 (지은이), 사토야스 (그림), 정대식 (옮긴이) ", ㈜소미미디어 , 2023년 2월,4.5
84,[세트] 대장간에서 시작하는 이세계 슬로 라이프 (총2권/미완결),"타마마루 (지은이), 킨타 (그림), 반기모 (옮긴이) ", 시프트노벨 , 2023년 2월,0.0
85,파트너는 초등학생 : 도서관 소녀는 신참 형사와 수수께끼를 푼다,"히즈키 유우 (지은이), 김해인 (옮긴이) ", ㈜소미미디어 , 2023년 2월,5.0
86,빙결경계의 에덴,"사자네 케이 (지은이), 카스카베 아키라 (그림), 엄태진 (옮긴이) ", 노블엔진 , 2022년 12월,5.0
87,매지컬★익스플로러,"이리스 (지은이), 칸나츠키 노보루 (그림) ", 시프트노벨 , 2022년 11월,0.0
