순위,제목,저자,출판사,출간일,별점
1,개혁신학 용어 사전 - 신행사전 001,"웨슬리 밴더 럭트, 켈리 M. 캐픽 (지은이), 송동민 (옮긴이) ", 알맹e , 2017년 10월,5.0
2,커피 이야기 - 살림지식총서 089,김성윤 (지은이) , 살림 , 2011년 11월,4.0
3,신학 용어 사전 - 신행사전 004,"데이비드 거레츠키, 체리스 피 노들링, 스탠리 J. 그렌츠 (지은이), 진규선 (옮긴이) ", IVP , 2022년 3월,3.0
4,브랜드 네이밍 백과사전,류동수 (지은이) , 보누스 , 2014년 4월,4.0
5,제시 리버모어의 주식투자의 법칙,"제시 리버모어 (지은이), 노혜숙, 윤지호 (옮긴이) ", 원앤원북스 , 2010년 6월,4.0
6,포스트모더니즘에 대한 성찰 - 살림지식총서 027,신승환 (지은이) , 살림 , 2011년 11월,4.5
7,윤리학 용어 사전 - 신행사전 003 : 복음주의 기독교 관점에서 서술한,"제이 T. 스미스, 스탠리 J. 그렌츠 (지은이), 이여진 (옮긴이) ", 알맹e , 2018년 3월,0.0
8,생활 속 법률 상식사전,"이재호, 김계형 (지은이) ", 길벗 , 2019년 9월,4.5
9,프란츠 카프카 - 살림지식총서 052,편영수 (지은이) , 살림 , 2011년 11월,4.0
10,영화로 보는 불륜의 사회학 : 「자유부인」에서「바람난 가족」까지 - 살림지식총서 167,황혜진 (지은이) , 살림 , 2012년 2월,4.0
11,바르샤바 : 벽돌 한 장까지 고증을 거쳐 재건된 도시 - 살림지식총서 108,최건영 (지은이) , 살림 , 2011년 11월,5.0
12,Korean Royal Palace :Changdeokgung,"이향우 (지은이), 원현숙, 이춘선 (옮긴이), 마크 패턴, 나각순 (감수) ", 인문산책 , 2017년 2월,0.0
13,기병대 천줄읽기,"이사크 바벨 (지은이), 김홍중 (옮긴이) ", 지식을만드는지식 , 2012년 7월,0.0
14,16세기 국어 활용형 사전,"이진호, 이수진, 선한빛 (지은이) ", 한국문화사 , 2022년 7월,0.0
15,걸어 다니는 어원 사전,"마크 포사이스 (지은이), 홍한결 (옮긴이) ", 윌북 , 2020년 9월,4.5
16,걸어 다니는 표현 사전,"앤드루 톰슨 (지은이), 오수원 (옮긴이) ", 윌북 , 2021년 10월,5.0
17,법의학의 세계 - 살림지식총서 035,이윤성 (지은이) , 살림 , 2011년 11월,4.5
18,미셸 푸코 - 살림지식총서 026,양운덕 (지은이) , 살림 , 2012년 2월,4.0
19,상상력과 가스통 바슐라르 - 살림지식총서 182,홍명희 (지은이) , 살림 , 2011년 11월,4.0
20,"탈식민주의에 대한 성찰 : 푸코, 파농, 사이드, 바바, 스피박 - 살림지식총서 248",박종성 (지은이) , 살림 , 2011년 11월,4.0
21,교회사 용어 사전,"네이선 P. 펠드머드, 이재근 (지은이), 송동민 (옮긴이) ", 알맹e , 2022년 8월,0.0
22,총 백과사전,"크리스 맥납 (지은이), 진승현, 김동현 (옮긴이) ", 휴먼앤북스(Human&Books) , 2020년 2월,4.5
23,칸트 - 살림지식총서 158,최인숙 (지은이) , 살림 , 2011년 11월,4.0
24,테마로 보는 서양미술 - 살림지식총서 176,권용준 (지은이) , 살림 , 2011년 11월,4.5
25,자유론,"존 스튜어트 밀 (지은이), 정영하 (옮긴이) ", 산수야 , 2014년 8월,5.0
26,알기 쉬운 한국건축 용어사전,김왕직 (지은이) , 동녘 , 2013년 6월,4.5
27,피에르 부르디외와 한국사회 : 이론과 현실의 비교정치학 - 살림지식총서 076,홍성민 (지은이) , 살림 , 2011년 11월,4.5
28,올더스 헉슬리 : 오만한 문명과 멋진 신세계 - 살림지식총서 247,김효원 (지은이) , 살림 , 2011년 11월,0.0
29,안토니 가우디 : 아름다움을 건축한 수도자 - 살림지식총서 127,손세관 (지은이) , 살림 , 2011년 11월,4.5
30,고대 근동의 신화와 종교 - 살림지식총서 218,강성열 (지은이) , 살림 , 2011년 11월,4.0
31,쇼펜하우어의 토론의 법칙,"아르투르 쇼펜하우어 (지은이), 최성욱 (옮긴이) ", 원앤원북스 , 2010년 6월,4.0
32,안도 다다오 : 건축의 누드작가 - 살림지식총서 131,임채진 (지은이) , 살림 , 2011년 11월,5.0
33,철학·변증학 용어 사전,"C. 스티븐 에반스 (지은이), 김지호 (옮긴이) ", 도서출판100 , 2018년 5월,5.0
34,페르시아 문화 - 살림지식총서 144,신규섭 (지은이) , 살림 , 2011년 11월,4.5
35,재즈 - 살림지식총서 054,최규용 (지은이) , 살림 , 2011년 11월,4.5
