순위,제목,저자,출판사,출간일,별점
1,음식 중독,"마이클 모스 (지은이), 연아람 (옮긴이) ", 민음사 , 2023년 1월,4.0
2,미스터 프레지던트,탁현민 (지은이) , 메디치미디어 , 2023년 2월,5.0
3,사피엔스,"유발 하라리 (지은이), 조현욱 (옮긴이), 이태수 (감수) ", 김영사 , 2023년 1월,4.5
4,중국은 어떻게 실패하는가,"할 브랜즈, 마이클 베클리 (지은이), 김종수 (옮긴이) ", 부키 , 2023년 2월,5.0
5,공정하다는 착각,"마이클 샌델 (지은이), 함규진 (옮긴이) ", 와이즈베리 , 2020년 11월,4.0
6,왕자님의 연애편지,이경민 (지은이) , 라이스메이커 , 2022년 12월,5.0
7,뉴욕 정신과 의사의 사람 도서관,나종호 (지은이) , 아몬드 , 2022년 5월,4.5
8,자미,"오드리 로드 (지은이), 송섬별 (옮긴이) ", 디플롯 , 2023년 2월,5.0
9,마가리타 27호,양승채 (지은이) , 다다북스 , 2023년 1월,5.0
10,정의란 무엇인가,"마이클 샌델 (지은이), 김명철 (옮긴이), 김선욱 (감수) ", 와이즈베리 , 2014년 11월,4.5
11,지리의 힘,"팀 마샬 (지은이), 김미선 (옮긴이) ", 사이 , 2016년 8월,4.0
12,시장으로 간 성폭력,김보화 (지은이) , 휴머니스트 , 2023년 2월,5.0
13,지리의 힘 2,"팀 마샬 (지은이), 김미선 (옮긴이) ", 사이 , 2022년 4월,4.0
14,"다시, 어떻게 읽을 것인가","나오미 배런 (지은이), 전병근 (옮긴이) ", 어크로스 , 2023년 1월,4.5
15,영화를 빨리 감기로 보는 사람들,"이나다 도요시 (지은이), 황미숙 (옮긴이) ", 현대지성 , 2022년 11월,5.0
16,경제 뉴스가 그렇게 어렵습니까?,이상민 (지은이) , 빨간소금 , 2023년 1월,4.0
17,전쟁으로 보는 서양사,"살라흐 앗 딘 (지은이), 압둘와헤구루 (그림) ", 부커 , 2023년 2월,4.5
18,군주론,"니콜로 마키아벨리 (지은이), 이시연 (옮긴이) ", 더클래식 , 2018년 11월,4.5
19,사이보그가 되다,"김초엽, 김원영 (지은이) ", 사계절 , 2021년 1월,4.5
20,빈곤 과정,조문영 (지은이) , 글항아리 , 2022년 12월,4.0
21,가족을 구성할 권리,김순남 (지은이) , 오월의봄 , 2022년 10월,5.0
22,선량한 차별주의자,김지혜 (지은이) , 창비 , 2019년 7월,4.0
23,최재천의 공부,"최재천, 안희경 (지은이) ", 김영사 , 2022년 5월,4.5
24,"사람, 장소, 환대",김현경 (지은이) , 문학과지성사 , 2016년 11월,0.0
25,자유론 (개정판),"존 스튜어트 밀 (지은이), 서병훈 (옮긴이) ", 책세상 , 2018년 4월,4.5
