순위,제목,저자,출판사,출간일,별점
1,2023 Win-Q 화학분석기사 필기 단기합격,박지은 (지은이) , 시대고시기획 , 2023년 3월,0.0
2,자소서 바이블 2.0,면접왕 이형 (지은이) , 얼라이브북스(Alivebooks) , 2022년 9월,0.0
3,2023 채용대비 하나은행 필기전형 최신기출유형+모의고사 4회+무료NCS특강,SD적성검사연구소 (엮은이) , 시대고시기획 , 2023년 2월,0.0
4,2023 채용대비 하나은행 필기전형 FINAL 실전 봉투모의고사 7회분 + 무료NCS특강,SD적성검사연구소 (지은이) , 시대고시기획 , 2023년 2월,0.0
5,이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),"전용문, 박현민 (지은이) ", 위키북스 , 2023년 1월,5.0
6,혼자 공부하는 데이터 분석 with 파이썬,박해선 (지은이) , 한빛미디어 , 2023년 1월,5.0
7,2023 투자자산운용사 실제유형 모의고사 + 특별부록 PASSCODE Premium ver 2.0,유창호 (지은이) , 시대고시기획 , 2023년 1월,0.0
8,2023 사회조사분석사 2급 1차 필기 한권으로 끝내기 + 무료강의 (기출),이종익 (지은이) , 시대고시기획 , 2023년 1월,0.0
9,2023 유선배 SQL개발자(SQLD) 과외노트,정미나 (지은이) , 시대고시기획 , 2023년 1월,0.0
10,2023년 대비 7급 헌법 (핵심정리),반달문 편집부 (지은이) , 반달문 , 2023년 2월,0.0
11,2023년 제34회 대비 공인중개사 부동산공시법 및 세법 (단원별 문제집),반달문 편집부 (지은이) , 반달문 , 2023년 1월,0.0
12,면접 바이블 2.0,면접왕 이형 (지은이) , 얼라이브북스(Alivebooks) , 2022년 4월,5.0
13,매경TEST 공식 가이드,매일경제 경제경영연구소 (지은이) , 매일경제신문사 , 2020년 7월,5.0
14,2022 해커스 20대기업 인적성 통합 기본서 최신기출유형 + 실전문제,해커스잡 취업교육연구소 (지은이) , 챔프스터디 , 2022년 9월,0.0
15,해커스 LG그룹 온라인 인적성검사 통합 기본서 최신기출유형+실전모의고사,해커스 취업교육연구소 (지은이) , 챔프스터디 , 2023년 1월,5.0
16,2023 EBS Win-Q 전기기사 필기 단기합격,박성운 (지은이) , 시대고시기획 , 2023년 1월,0.0
17,임용 국어 기출 해설 (개정판),풀이 (지은이) , 북소년 , 2023년 1월,0.0
18,나는 무조건 합격하는 공부만 한다,이윤규 (지은이) , 비즈니스북스 , 2019년 12월,4.0
19,2022 기사패스 정보처리기사 실기 문제집 1200,NCS정보화기술연구회 (지은이) , 한국정보화기술 , 2022년 3월,5.0
20,2022 기사패스 정보처리기사 필기 기출문제 상세풀이 800제,NCS 정보기술 연구회 (지은이) , 한국정보화기술 , 2021년 12월,4.5
21,혼자 공부하는 R 데이터 분석,"강전희, 엄동란 (지은이) ", 한빛미디어 , 2022년 2월,5.0
22,해석이 쉬워지는 해커스 구문독해 100,해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2022년 10월,5.0
23,2023 채용대비 농협 직무상식 및 논술 한권으로 끝내기,SD적성검사연구소 (지은이) , 시대고시기획 , 2023년 1월,0.0
24,2023 임상심리사 2급 1차 필기대비 단기완성 + 무료동영상(최신기출 1회분),"이용석, 정경아, 심리상담연구소 (지은이) ", 시대고시기획 , 2023년 1월,0.0
25,2023년 제34회 대비 공인중개사 부동산공법 (핵심정리),반달문 편집부 (지은이) , 반달문 , 2023년 1월,0.0
26,2023년 제34회 대비 공인중개사법령 및 중개실무 (핵심정리),반달문 편집부 (지은이) , 반달문 , 2023년 1월,0.0
27,한 방에 합격하는 정보처리산업기사 필기 단기완성,"박주형, 조숙향, 홍관석 (지은이) ", 시대고시기획 , 2022년 8월,0.0
28,2023년 제34회 대비 공인중개사 부동산공시법 및 세법 (핵심정리),반달문 편집부 (지은이) , 반달문 , 2023년 1월,0.0
29,2023 GSAT 삼성직무적성검사 4급 전문대졸 500제,삼성적성검사연구소 (지은이) , 시스컴 , 2023년 1월,0.0
30,2022 최신판 PSAT/LEET 대비 고난도 지문 독해 20일 완성 (과학·경영·경제 편),SD적성검사연구소 (엮은이) , 시대고시기획 , 2022년 2월,0.0
31,2023 컨벤션 기획사 2급 필기 한권으로 끝내기,김진균 (지은이) , 시대고시기획 , 2023년 1월,0.0
32,2023년 제34회 대비 공인중개사 부동산공시법 및 세법 (연도별 문제집),반달문 편집부 (지은이) , 반달문 , 2023년 1월,0.0
33,2023 최신판 LG그룹 온라인 인적성검사 최신기출유형 + 모의고사 6회 + 무료LG특강,SD적성검사연구소 (지은이) , 시대고시기획 , 2023년 3월,0.0
34,2023 파이널 핵심유형 100제 임상심리사 2급 1차 필기합격 + 무료동영상 (최신기출 1회분),심리상담연구소 (지은이) , 시대고시기획 , 2023년 2월,0.0
35,2023 EBS 독학사 1단계 기출문제집,독학사교재연구회 (지은이) , 신지원 , 2023년 1월,0.0
36,2023 청소년상담사 2급 한권으로 끝내기,SD 청소년상담사 수험연구소 (지은이) , 시대고시기획 , 2023년 3월,0.0
37,2022 공무원 직렬별 영단어 기출100% 전직렬,타보름교육 편집부 (지은이) , 타보름교육 , 2022년 1월,5.0
38,데이터베이스 개론,김연희 (지은이) , 한빛아카데미(교재) , 2022년 1월,0.0
39,취업 끝판왕 옴스에게 배우는 스펙을 뛰어 넘는 자소서,옴스 (지은이) , 원앤원북스 , 2019년 2월,5.0
40,초단기 컴퓨터활용능력 1급 필기,IT수험교재팀 (지은이) , 시대고시기획 , 2021년 7월,3.0
41,2022 채용대비 효성그룹 인적성검사 최신기출유형 + 모의고사 4회,SD적성검사연구소 (엮은이) , 시대고시기획 , 2022년 5월,0.0
42,해커스공무원 영어 기본서 세트 - 전3권 (최신개정판),해커스 공무원시험연구소 (지은이) , 해커스공무원 , 2021년 9월,0.0
43,2023 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사 (수리논리/추리),해커스 취업교육연구소 (지은이) , 챔프스터디 , 2023년 1월,5.0
44,한자암기박사 1 - 읽으면 저절로 외워지는 기적의 암기공식,"박원길, 박정서 (지은이) ", 시대고시기획 , 2022년 4월,5.0
45,2022 9급 공무원·계리직 달~달~외우는 한국사 달달노트,최우승 (감수) , 탑스팟 , 2021년 7월,5.0
46,2023 기출이 답이다 임상심리사 2급 1차 필기합격 + 무료동영상(최신기출 1회분),"이용석, 정경아, 심리상담연구소 (지은이) ", 시대고시기획 , 2023년 1월,0.0
47,2022 최신시사상식 218집,박문각 시사상식편집부 (지은이) , 박문각 , 2022년 11월,0.0
48,비전공이지만 개발자로 먹고삽니다,"반병현, 이효석 (지은이) ", 생능북스 , 2023년 1월,5.0
49,2023 EBS 고졸 검정고시 수학,김하나 (지은이) , 신지원 , 2023년 1월,0.0
50,해커스공무원 영어 고득점 독해 337,해커스 공무원시험연구소 (지은이) , 해커스공무원 , 2022년 7월,5.0
51,2023 EBS 특강 공인노무사 1차시험 핵지총 (핵심 기출지문 총정리),EBS 교수진 (지은이) , 시대고시기획 , 2023년 1월,0.0
52,2023 전산직·계리직·군무원 달~달~외우는 컴퓨터일반 달달노트,박태순 (지은이) , 탑스팟 , 2023년 1월,0.0
53,2022~2023 SNS광고마케터 1급 7일 단기완성,한국마케팅교육 (지은이) , 시대고시기획 , 2022년 7월,0.0
54,2023 기출이 답이다 임상심리사 2급 2차 실기합격 + 무료동영상 (최신기출 1회분),이용석 (지은이) , 시대고시기획 , 2023년 1월,0.0
55,2023 hoa 최신 기출복원문제가 수록된 전산회계운용사 2급 필기 핵심이론 + 기출문제,고민석 (지은이) , 시대고시기획 , 2023년 1월,0.0
56,2022 Win-Q 건축기사 필기 단기완성,민영기 (지은이) , 시대고시기획 , 2022년 4월,0.0
57,2023년 제34회 대비 공인중개사 민법 및 민사특별법 (단원별 문제집),반달문 편집부 (지은이) , 반달문 , 2023년 1월,0.0
58,2023년 제34회 대비 공인중개사 부동산공법 (단원별 문제집),반달문 편집부 (지은이) , 반달문 , 2023년 1월,0.0
59,2023 최신판 NCS 모듈형 + PSAT형 + 피듈형 통합기본서 + 무료NCS특강,NCS직무능력연구소 (지은이) , 시대고시기획 , 2023년 1월,0.0
60,해커스공무원 국어 기본서 세트 - 전4권,해커스 공무원시험연구소 (지은이) , 해커스공무원 , 2022년 9월,0.0
61,노동행정법 판례집,"정선균, 조현석 (지은이) ", 필통북스 , 2023년 1월,0.0
62,2023년 제34회 대비 공인중개사법령 및 중개실무 (단원별 문제집),반달문 편집부 (지은이) , 반달문 , 2023년 1월,0.0
63,2023 전산회계 1급 이론 + 실무 + 기출문제 한권으로 끝내기,박명희 (지은이) , 시대고시기획 , 2023년 1월,0.0
64,2023 채용대비 All-New 현대자동차 고졸/전문대졸 생산인력 필기시험 한권합격,SD적성검사연구소 (엮은이) , 시대고시기획 , 2023년 2월,0.0
65,2023 A+ 독학사 1단계 교양과정 스피드 단기완성 경영학개론,독학학위연구소 (지은이) , 시대고시기획 , 2023년 1월,0.0
66,2023 최신판 All-New 삼성 온라인 GSAT 4급 전문대졸채용 6개년 기출 + 모의고사 6회 + 무료4급특강,SD적성검사연구소 (지은이) , 시대고시기획 , 2023년 3월,0.0
67,2023년 제34회 대비 공인중개사 부동산학개론 (연도별 문제집),반달문 편집부 (지은이) , 반달문 , 2023년 1월,0.0
68,2023년 제34회 대비 공인중개사 민법 및 민사특별법 (연도별 문제집),반달문 편집부 (지은이) , 반달문 , 2023년 1월,0.0
69,2023 최신판 All-New SKCT SK그룹 온라인 + 오프라인 통합 종합역량검사 + 최신기출유형 + 모의고사6회 + 무료 SK특강,SD적성검사연구소 (지은이) , 시대고시기획 , 2023년 2월,5.0
70,2023 행정사 1차시험 10개년 기출문제해설,시대법학연구소 (지은이) , 시대고시기획 , 2023년 1월,0.0
71,직무별 현직자가 말하는 2차전지 직무 바이블,"배연석, 이차준, 공멘토 (지은이) ", 렛유인 , 2023년 1월,0.0
72,2023년 대비 7급 헌법 (단원별 문제집),반달문 편집부 (지은이) , 반달문 , 2023년 2월,0.0
73,2023년 제34회 대비 공인중개사 부동산공법 (연도별 문제집),반달문 편집부 (지은이) , 반달문 , 2023년 1월,0.0
74,2023 통계직 공무원을 위한 통계학 모의고사,"소정현 (지은이), 김태호 (감수) ", 시대고시기획 , 2023년 1월,0.0
75,2023 빅데이터분석기사 필기 한권으로 끝내기,"정혜정, 장희선 (지은이) ", 시대고시기획 , 2023년 3월,0.0
76,2023 Win-Q(윙크) 산업안전기사 필기 단기합격,박병호 (지은이) , 시대고시기획 , 2023년 3월,0.0
77,2023 독학사 1단계 경영학개론,독학사교재연구회 (엮은이) , 신지원 , 2023년 1월,0.0
78,2023 공무원 원예학 기출예상문제집,이영복 (지은이) , 서울고시각 , 2023년 1월,0.0
79,용띠 사서 다이어리,김은희 (지은이) , 달꽃 , 2022년 12월,5.0
80,2023 유튜브 무료 특강이 있는 Win-Q 위험물산업기사 실기 단기합격,이덕수 (지은이) , 시대고시기획 , 2023년 2월,0.0
81,2023 최신판 All-New 코레일 한국철도공사 사무직 최신기출 + NCS + 전공 + 모의고사 3회 + 무료코레일특강,NCS직무능력연구소 (지은이) , 시대고시기획 , 2023년 3월,0.0
82,2023 유아임용 면접마스터,양재웅 (지은이) , 미래가치 , 2022년 12월,0.0
83,2023 신용분석사 1부 한권으로 끝내기 + 무료동영상,장홍석 (지은이) , 시대고시기획 , 2023년 3월,0.0
84,2023 기출이 답이다 9급 공무원 일반행정직 전과목 3개년 기출문제집,SD 공무원시험연구소 (지은이) , 시대고시기획 , 2023년 1월,5.0
85,2023년 대비 7급 헌법 (연도별 문제집),반달문 편집부 (지은이) , 반달문 , 2023년 2월,0.0
86,2023 조리기능사 필기 초단기합격,"배은자, 김아현, 이서영 (지은이) ", 시대고시기획 , 2023년 3월,0.0
87,2023 한국어능력시험 TOPIK 2 실전 모의고사,정은화 (지은이) , 시대고시기획 , 2023년 2월,0.0
88,Do it! 쉽게 배우는 파이썬 데이터 분석,김영우 (지은이) , 이지스퍼블리싱 (주) , 2022년 6월,5.0
89,공인중개사 독학으로 1차 합격: 단권화 마무리 반복학습,최지혜 (지은이) , 리노하우스 , 2022년 6월,0.0
90,2023 위아너스 간호사 국가시험 PASS 177 최종모의고사,"김명애, 이원진 (지은이) ", IMRN , 2022년 11월,5.0
91,2022 빅데이터분석기사 필기 한권으로 끝내기,"정혜정, 장희선 (지은이) ", 시대고시기획 , 2022년 3월,5.0
92,2022 한국실용글쓰기 실제기출분석,이영택 (지은이) , 시대고시기획 , 2022년 5월,4.5
93,2022 하반기 All-New PAT 포스코 생산기술직/직업훈련생 인적성검사 + 무료생산직특강,SD적성검사연구소 (지은이) , 시대고시기획 , 2022년 8월,0.0
94,2022 일주 일독 공인중개사 핵심 수험서 : 부동산학개론,최지혜 (지은이) , 리노하우스 , 2022년 1월,4.5
95,2023 다시 쓴 일반상식,시사상식편집부 (지은이) , 박문각 , 2022년 1월,0.0
96,2023 투자자산운용사 한권으로 끝내기 ver 9.0,유창호 (지은이) , 시대고시기획 , 2023년 1월,5.0
97,김기사의 e-쉬운전기,김명진 (지은이) , 성안당 , 2021년 1월,5.0
98,2022 Grace 전산회계 1급 필기 + 실기,전산세무회계연구팀 (지은이) , 박문각 , 2022년 2월,0.0
99,2022년 9기 모집대비 SSAFY(삼성 청년 SW아카데미) SW적성진단 5일 완성,SD적성검사연구소 (지은이) , 시대고시기획 , 2022년 8월,0.0
100,2022 언어재활사 핵심요약집,"곽경미, 곽은정, 엄지연 (지은이) ", 시대고시기획 , 2022년 7월,0.0
