순위,제목,저자,출판사,출간일,별점
1,물고기는 존재하지 않는다,"룰루 밀러 (지은이), 정지인 (옮긴이) ", 곰출판 , 2022년 1월,4.0
6,사랑의 기술 (개정판),"에리히 프롬 (지은이), 황문수 (옮긴이) ", 문예출판사 , 2019년 9월,4.0
7,제 마음대로 살아보겠습니다,이원지 (지은이) , 상상출판 , 2019년 12월,5.0
8,사람을 얻는 지혜 (스페인어 원전 완역본),"발타자르 그라시안 (지은이), 김유경 (옮긴이) ", 현대지성 , 2022년 10월,5.0
9,불안,"알랭 드 보통 (지은이), 정영목 (옮긴이) ", 은행나무 , 2011년 12월,4.5
12,H마트에서 울다,"미셸 자우너 (지은이), 정혜윤 (옮긴이) ", 문학동네 , 2022년 2월,4.5
14,소크라테스 익스프레스,"에릭 와이너 (지은이), 김하현 (옮긴이) ", 어크로스 , 2021년 5월,4.5
15,천문학자는 별을 보지 않는다,심채경 (지은이) , 문학동네 , 2021년 2월,4.5
17,죽고 싶지만 떡볶이는 먹고 싶어,백세희 (지은이) , 흔 , 2018년 6월,3.0
18,탈무드 - 더클래식 세계문학 컬렉션,"유대교 랍비 (지은이), 더클래식 편집부 (옮긴이) ", 더클래식 , 2017년 8월,4.0
19,모든 것은 기본에서 시작한다,손웅정 (지은이) , 수오서재 , 2022년 1월,4.5
20,빅터 프랭클의 죽음의 수용소에서,"빅터 프랭클 (지은이), 이시형 (옮긴이) ", 청아출판사 , 2020년 7월,4.5
21,사람을 얻는 지혜,"발타자르 그라시안 (지은이), 임정재 (옮긴이) ", 타커스(끌레마) , 2016년 3월,5.0
22,슬픔을 공부하는 슬픔,신형철 (지은이) , 한겨레출판 , 2018년 1월,4.5
23,세상을 보는 지혜 (한글판 + 영문판),"발타자르 그라시안 (지은이), 노화직 (옮긴이) ", 더클래식 , 2015년 7월,5.0
25,잘될 수밖에 없는 너에게,최서영 (지은이) , 북로망스 , 2022년 9월,5.0
26,우리가 명함이 없지 일을 안 했냐,경향신문 젠더기획팀 (지은이) , 휴머니스트 , 2023년 1월,5.0
27,나는 좌절의 스페셜리스트입니다,백혜선 (지은이) , 다산북스 , 2023년 1월,5.0
28,지구에서 영어생활자로 살아남는 법,백애리 (지은이) , 그래도봄 , 2023년 2월,5.0
29,"아무튼, 현수동",장강명 (지은이) , 위고 , 2023년 2월,4.5
30,망그러진 만화 : 망그러진 곰과 햄터의 귀염뽀짝 일상다반사!,유랑 (지은이) , 좋은생각 , 2022년 11월,5.0
31,젊은 ADHD의 슬픔,정지음 (지은이) , 민음사 , 2021년 6월,4.5
32,골든아워 1,이국종 (지은이) , 흐름출판 , 2018년 11월,5.0
33,누구에게도 상처받을 필요는 없다,지민석 (지은이) , 스튜디오오드리 , 2022년 4월,5.0
34,쇳밥일지,천현우 (지은이) , 문학동네 , 2022년 8월,4.5
35,무라카미 하루키 잡문집,"무라카미 하루키 (지은이), 이영미 (옮긴이) ", 비채 , 2016년 11월,4.0
36,마음사전,김소연 (지은이) , 마음산책 , 2013년 3월,4.5
37,시지프 신화,"알베르 카뮈 (지은이), 김화영 (옮긴이) ", 민음사 , 2021년 1월,4.0
38,배움의 발견,"타라 웨스트오버 (지은이), 김희정 (옮긴이) ", 열린책들 , 2019년 12월,4.5
39,모국어는 차라리 침묵,목정원 (지은이) , 아침달 , 2022년 6월,4.5
