순위,제목,저자,출판사,출간일,별점
1,제 마음대로 살아보겠습니다,이원지 (지은이) , 상상출판 , 2019년 12월,5.0
2,리얼 도쿄,양미석 (지은이) , 한빛라이프 , 2019년 6월,0.0
3,인조이 다낭·호이안·후에 (2023),마연희 (지은이) , 넥서스BOOKS , 2023년 1월,5.0
4,인조이 파리(2023),"김지선, 문은정 (지은이) ", 넥서스BOOKS , 2022년 11월,5.0
5,여행의 이유,김영하 (지은이) , 문학동네 , 2019년 6월,4.0
6,무작정 따라하기 도쿄,정숙영 (지은이) , 길벗 , 2019년 5월,5.0
7,여행 일본어 메뉴판 & 쇼핑 무작정 따라하기,강한나 (지은이) , 길벗이지톡 , 2019년 7월,5.0
8,여행 영어의 결정적 패턴들,서영조 (지은이) , 사람in , 2022년 5월,5.0
9,스페인 셀프트래블,김은하 (지은이) , 상상출판 , 2019년 6월,5.0
10,일본기차여행,인페인터글로벌 (지은이) , 꿈의지도 , 2023년 1월,0.0
11,전국축제자랑,"박태하, 김혼비 (지은이) ", 민음사 , 2021년 3월,4.5
12,미국 서부 셀프 트래블,조은정 (지은이) , 상상출판 , 2022년 6월,0.0
13,이탈리아 셀프트래블,송윤경 (지은이) , 상상출판 , 2019년 12월,5.0
14,"아직, 도쿄",임진아 (지은이) , 위즈덤하우스 , 2019년 5월,4.5
15,바르셀로나에서 보낸 일주일 : 스페인 바르셀로나 여행기,한윤희 (지은이) , 더플래닛 , 2014년 3월,0.0
16,리얼 호주,"박선영, 김상훈 (지은이) ", 한빛라이프 , 2022년 10월,0.0
17,호주 셀프트래블,"앨리스 리, 조윤희, 이은혜, 김지혜 (지은이) ", 상상출판 , 2019년 12월,5.0
18,명품 둘레길 63선_전국 최고의 걷기 코스만 모았다!,조선이북 편집팀 (지은이) , 조선뉴스프레스 , 2012년 1월,0.0
19,"나 홀로 유럽 7 : 찌릿찌릿 프랑스(파리, 베르사유)",백원달 (지은이) , 더플래닛 , 2022년 12월,0.0
20,퍼스트 프랑스,"김숙현, 정기범 (지은이) ", 시공사 , 2020년 2월,0.0
21,리얼 몽골,강한나 (지은이) , 한빛라이프 , 2022년 10월,5.0
22,캠핑을 100% 즐기는 100가지 방법,"FIGINC (지은이), 이소담 (옮긴이) ", 참좋은날 , 2022년 11월,5.0
23,유럽 도자기 여행 동유럽편,조용준 (지은이) , 도도(도서출판) , 2019년 12월,4.0
24,지구인만큼 지구를 사랑할 순 없어,정세랑 (지은이) , 위즈덤하우스 , 2021년 6월,4.5
25,오래 준비해온 대답,김영하 (지은이) , 복복서가 , 2020년 6월,4.5
26,나는 미니멀 유목민입니다,박건우 (지은이) , 길벗 , 2022년 11월,5.0
27,쉬운 천국,유지혜 (지은이) , 어떤책 , 2020년 11월,4.5
28,"낯선 도시에 취하다 (스위스, 이탈리아 여행기)",한윤희 (지은이) , 더플래닛 , 2011년 10월,0.0
29,도쿄 셀프트래블,"한혜원, 김미정 (지은이) ", 상상출판 , 2018년 1월,5.0
30,저스트고 터키,나은희 (지은이) , 시공사 , 2019년 6월,0.0
31,무작정 따라하기 후쿠오카,"전상현, 두경아 (지은이) ", 길벗 , 2019년 6월,5.0
32,남미 셀프트래블,"김진아, 윤인혁 (지은이) ", 상상출판 , 2016년 8월,5.0
33,동유럽 셀프 트래블,"박정은, 장은주 (지은이) ", 상상출판 , 2022년 9월,4.5
34,"소소낭만, 일본 소도시 여행(2023~2024 최신 개정판)",우승민 (지은이) , 꿈의지도 , 2022년 10월,0.0
35,걸어서 환장 속으로,곽민지 (지은이) , 달 , 2019년 4월,4.5
36,내일은 도쿄 온니-오직 도쿄만 여행하는 여행자를 위한 (2019~2020 최신정보수록),온 더 로드 저 (지은이) , 착한책방 , 2019년 7월,0.0
37,"타이페이, 대만 자유여행",지구별여행자 (지은이) , Lucky Bag , 2018년 1월,0.0
38,지금 발리(2022),송지헌 (지은이) , 플래닝북스 , 2022년 9월,5.0
39,베트남 셀프트래블,정승원 (지은이) , 상상출판 , 2019년 6월,5.0
40,치앙마이 홀리데이,"유정열, 박애진 (지은이) ", 꿈의지도 , 2022년 11월,5.0
41,설레는 건 많을수록 좋아,김옥선 (지은이) , 상상출판 , 2021년 8월,4.0
