순위,제목,저자,출판사,출간일,별점
1,키위엔 영어회화 하루 5분의 기적,박강준 (지은이) , 키위엔 , 2022년 12월,5.0
3,미국인 사용빈도 다반사 영어회화 구동사,"김아영, Jennifer Grill (지은이) ", 사람in , 2023년 2월,5.0
4,해커스 토익 실전 1000제 1 RC Reading 문제집 (리딩),해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2023년 1월,0.0
5,NEW 일본어 상용한자 2136 한권으로 끝내기,"이이호시 카즈야, 한선희 (지은이) ", 다락원 , 2021년 1월,4.5
6,영어 회화 핵심패턴 233 (2023개정판),백선엽 (지은이) , 길벗이지톡 , 2023년 1월,5.0
7,JLPT(일본어능력시험) 한권으로 끝내기 N3,"이치우, 기타지마 치즈코 (지은이) ", 다락원 , 2021년 11월,4.0
8,해커스톡 여행영어 10분의 기적,해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2020년 5월,5.0
9,해커스 토익 실전 1000제 2 RC Reading (리딩) 문제집 (2023 최신개정판),해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2023년 1월,0.0
10,키다리 아저씨 (한글판 + 영문판),"진 웹스터 (지은이), 허윤정 (옮긴이) ", 더클래식 , 2015년 9월,4.5
12,센스 있는 영어 표현,에디 리 (지은이) , 넥서스 , 2022년 12월,5.0
13,해커스 첫토익 LC + RC + VOCA,해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2022년 9월,5.0
14,"원서, 읽(힌)다",강주헌 (지은이) , 길벗이지톡 , 2023년 2월,4.0
16,해커스 여행일본어 10분의 기적,해커스JLPT연구소 (지은이) , 해커스어학연구소(Hackers) , 2020년 2월,4.5
17,해커스 그래머 게이트웨이 베이직 : 초보를 위한 기초 영문법 (Grammar Gateway Basic),David Cho (지은이) , 해커스어학연구소(Hackers) , 2022년 8월,5.0
18,해커스 토익 실전 1000제 1 LC Listening 문제집 (리스닝),해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2023년 1월,0.0
19,영어 회화 핵심패턴 233 중고급편(2023개정판),조이스 백 (지은이) , 길벗이지톡 , 2023년 1월,5.0
20,해커스 토익 실전 1000제 1 LC Listening 해설집 (리스닝),해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2023년 1월,0.0
21,페스트 (한글판+영문),"알베르 카뮈 (지은이), 변광배 (옮긴이) ", 미르북컴퍼니 , 2014년 6월,4.5
22,JLPT(일본어능력시험) 한권으로 끝내기 N2,"이치우, 기타지마 치즈코 (지은이) ", 다락원 , 2021년 11월,3.5
23,해커스 토익 실전 1000제 1 RC Reading 해설집 (리딩),해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2023년 1월,0.0
24,프랑켄슈타인 (한글+영문),"메리 셸리 (지은이), 구자언 (옮긴이) ", 미르북컴퍼니 , 2014년 6월,4.0
25,영어 회화의 결정적 단어들,서영조 (지은이) , 사람in , 2020년 3월,5.0
26,미국 영어 회화 문법 1,김아영 (지은이) , 사람in , 2019년 7월,4.5
27,바로 쓰는 영어,"셀리 (지은이), Thomas W. Selley (감수) ", 넥서스 , 2022년 7월,5.0
29,해커스 토익 실전 1000제 3 LC LISTENING 문제집 (리스닝),해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2022년 7월,0.0
30,JLPT 한권으로 끝내기 보카,김성곤 (지은이) , 다락원 , 2018년 8월,5.0
31,해커스 토익 실전 1000제 2 RC Reading (리딩) 해설집 (2023 최신개정판),해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2023년 1월,0.0
32,무기여 잘 있거라 (한글+영문),"어니스트 헤밍웨이 (지은이), 이유정 (옮긴이) ", 미르북컴퍼니 , 2014년 6월,3.5
33,거의 모든 행동 표현의 일본어,"서영조, TJL 콘텐츠 연구소 (지은이), 고가 사토시 (감수) ", 사람in , 2022년 7월,5.0
34,영어 필사 100일의 기적,퍼포먼스 코치 리아 (지은이) , 넥서스 , 2021년 11월,4.5
35,일본어 무작정 따라하기 완전판,후지이 아사리 (지은이) , 길벗이지톡 , 2022년 8월,5.0
36,JLPT(일본어능력시험) 한권으로 끝내기 N1,"이치우, 기타지마 치즈코 (지은이) ", 다락원 , 2021년 11월,4.0
37,해커스 토익 실전 1000제 3 RC READING (리딩) 문제집,해커스어학연구소 (지은이) , 해커스어학연구소(Hackers) , 2022년 7월,0.0
38,미국 영어 회화 문법 2,김아영 (지은이) , 사람in , 2019년 7월,4.5
39,영어일기 표현사전_일상생활,하명옥 (지은이) , 넥서스 , 2019년 11월,0.0
40,영어일기 표현사전_필수패턴30,하명옥 (지은이) , 넥서스 , 2019년 11월,0.0
41,소리튠 영어혁명,갓주아(이정은) (지은이) , 미다스북스 , 2023년 1월,5.0
42,나혼자 끝내는 독학 독일어 첫걸음,"안희철 (지은이), 엘레나 쿠비츠키 (감수), 정승환 (강의) ", 넥서스 , 2022년 11월,4.5
43,꿈의 심리학 Dream Psychology,지크문트 프로이트 (지은이) , 유페이퍼 , 2017년 8월,0.0
44,나혼자 끝내는 독학 일본어 첫걸음(최신 증보판),넥서스콘텐츠개발팀 (지은이) , 넥서스Japanese , 2022년 12월,0.0
45,마녀의 빵	,오 헨리 (지은이) , 올리버북스 , 2012년 5월,0.0
46,영어는 아는 단어로,"스즈키 히로시 (지은이), 정은희 (옮긴이) ", 웅진지식하우스 , 2022년 12월,5.0
47,이현석 입이 트이는 영어 60일 끝내기 - 일상생활,이현석 (지은이) , EBS BOOKS , 2022년 3월,5.0
48,어린 왕자 (한글판),"앙투안 드 생텍쥐페리 (지은이), 김미정 (옮긴이) ", 더클래식 , 2012년 6월,4.5
49,넌 대체 몇 년째 영어 공부를 하고 있는 거니?,김재우 (지은이) , 상상스퀘어 , 2022년 12월,4.0
50,거의 모든 숫자 표현의 영어,"조나단 데이비스, 유현정 (지은이) ", 사람in , 2020년 6월,5.0
51,구슬쌤의 예의 바른 영어 표현,구슬 (지은이) , 사람in , 2021년 1월,5.0
52,야간 비행 (한글+영문),"앙투안 드 생텍쥐페리 (지은이), 윤정임 (옮긴이) ", 미르북컴퍼니 , 2014년 6월,4.0
