순위,제목,저자,출판사,출간일,별점
1,눈물문어,한연진 (지은이) , 위즈덤하우스 , 2023년 2월,5.0
2,우리는 언제나 다시 만나,"윤여림 (지은이), 안녕달 (그림) ", 위즈덤하우스 , 2017년 7월,5.0
3,한 권으로 끝내는 종이접기(개정판),"주부의벗사 편집부 (엮은이), 김정화 (옮긴이) ", 길벗스쿨 , 2020년 9월,5.0
4,화가 호로록 풀리는 책,"신혜영 (지은이), 김진화 (그림), 김민화 (감수) ", 위즈덤하우스 , 2021년 5월,5.0
5,똑똑해지는 약,"마크 서머셋 (지은이), 로완 서머셋 (그림), 이순영 (옮긴이) ", 북극곰 , 2020년 9월,5.0
6,42가지 마음의 색깔,"크리스티나 누녜스 페레이라 & 라파엘 R. 발카르셀 (지은이), 남진희 (옮긴이) ", 레드스톤 , 2015년 10월,4.5
7,머리숱 많은 아이,이덕화 (지은이) , 위즈덤하우스 , 2022년 7월,5.0
8,쿵쾅쿵쾅 윗집공룡,"박산솔 (지은이), 유지영 (그림) ", 롤링다이스 , 2016년 2월,0.0
9,내가 엄마를 골랐어!,"노부미 (지은이), 황진희 (옮긴이) ", 위즈덤하우스 , 2022년 1월,4.5
10,오늘은 수영장일까?,"토모 미우라 (지은이), 김시아 (옮긴이) ", 위즈덤하우스 , 2022년 8월,5.0
11,심장 소리,정진호 (지은이) , 위즈덤하우스 , 2022년 6월,5.0
12,잉어맨,이명환 (지은이) , 위즈덤하우스 , 2022년 1월,5.0
13,이건 운명이야!,밤코 (지은이) , 위즈덤하우스 , 2021년 11월,5.0
14,날아라 미스터 타이거,"다비드 칼리 (지은이), 미겔 탕코 (그림), 김세실 (옮긴이) ", 위즈덤하우스 , 2022년 8월,4.5
15,나 여기 있어요,원혜영 (지은이) , 위즈덤하우스 , 2022년 6월,5.0
16,뺑서방과 꽁서방,미겸 (지은이) , 똥머리 , 2023년 2월,0.0
18,맨 처음 우리나라 고조선,"이현 (지은이), 이광익 (그림) ", 휴먼어린이 , 2022년 12월,5.0
19,여보세요?,팽샛별 (지은이) , 위즈덤하우스 , 2022년 10월,5.0
20,가을 아침에,김지현 (지은이) , 위즈덤하우스 , 2020년 9월,5.0
21,감정 백과사전,"메리 호프만 (글), 로스 애스퀴스 (그림), 최정선 (옮긴이) ", 밝은미래 , 2022년 11월,4.5
22,훨훨 간다,"권정생 (지은이), 김용철 (그림) ", 국민서관 , 2022년 8월,5.0
24,왜 내가 치워야 돼,정하영 (지은이) , 책속물고기 , 2015년 11월,4.5
25,사자는 사료를 먹지 않아,"앙드레 부샤르 (지은이), 이정주 (옮긴이) ", 어린이작가정신 , 2020년 9월,5.0
26,한글 깨치는 비법 한깨비 한글 공부 2,최승한 (지은이) , 다락원 , 2019년 7월,5.0
27,리나는 이미 좋은 언니야,서유민 (지은이) , 작가의탄생 , 2021년 7월,0.0
28,한글 말놀이 모음 완주 따라쓰기,"링고애니 언어연구소, 김수민, 박민희 (지은이) ", 서사원주니어 , 2022년 5월,0.0
29,한글 깨치는 비법 한깨비 한글 공부 1,최승한 (지은이) , 다락원 , 2019년 7월,5.0
30,"안녕, 루시! : 낯선 친구에게 다가가요","파토 메나 (지은이), 김정하 (옮긴이) ", 을파소 , 2023년 1월,5.0
