순위,제목,저자,출판사,출간일,별점
3,인스타 브레인,"안데르스 한센 (지은이), 김아영 (옮긴이) ", 동양북스(동양문고) , 2020년 5월,4.5
7,사피엔스,"유발 하라리 (지은이), 조현욱 (옮긴이), 이태수 (감수) ", 김영사 , 2023년 1월,4.5
8,지적 대화를 위한 넓고 얕은 지식 1 : 한 권으로 현실 세계를 통달하는 지식 여행서,채사장 (지은이) , 웨일북 , 2020년 2월,4.5
11,"욕망의 진화 : 사랑, 연애, 섹스, 결혼 남녀의 엇갈린 욕망에 담긴 진실","데이비드 버스 (지은이), 전중환 (옮긴이) ", 사이언스북스 , 2019년 11월,4.0
12,사랑의 기술 (개정판),"에리히 프롬 (지은이), 황문수 (옮긴이) ", 문예출판사 , 2019년 9월,4.0
13,다정한 것이 살아남는다,"브라이언 헤어, 버네사 우즈 (지은이), 이민아 (옮긴이), 박한선 (감수) ", 디플롯 , 2021년 10월,4.5
15,정리하는 뇌,"대니얼 J. 레비틴 (지은이), 김성훈 (옮긴이) ", 와이즈베리 , 2019년 7월,4.5
16,조국의 법고전 산책,조국 (지은이) , 오마이북 , 2022년 12월,5.0
18,사람을 얻는 지혜 (스페인어 원전 완역본),"발타자르 그라시안 (지은이), 김유경 (옮긴이) ", 현대지성 , 2022년 10월,5.0
19,논문 잘 쓰는 법,"시미즈 이쿠타로 (지은이), 김수희 (옮긴이) ", AK(에이케이)커뮤니케이션즈 , 2017년 7월,4.5
20,정의란 무엇인가,"마이클 샌델 (지은이), 김명철 (옮긴이), 김선욱 (감수) ", 와이즈베리 , 2014년 11월,4.5
21,도파민네이션,"애나 렘키 (지은이), 김두완 (옮긴이) ", 흐름출판 , 2022년 4월,4.5
22,공정하다는 착각,"마이클 샌델 (지은이), 함규진 (옮긴이) ", 와이즈베리 , 2020년 11월,4.0
23,지적 대화를 위한 넓고 얕은 지식 0(제로) : 지혜를 찾아 138억 년을 달리는 시간 여행서,채사장 (지은이) , 웨일북 , 2020년 2월,4.0
24,마흔에 읽는 니체,장재형 (지은이) , 유노북스 , 2022년 9월,4.5
25,나의 사주명리,현묘 (지은이) , 날(도서출판) , 2022년 11월,5.0
