순위,제목,알라딘_저자,알라딘_출판사,알라딘_출간일,알라딘_별점,알라딘_장르,상명장르,알라딘_가격
"

1.  
",세상에서 가장 쉬운 본질육아,지나영 (지은이) ,, 21세기북스 ,5.0,좋은 부모,가정/생활,15040
"

2.  
",초등입학 엄마의 비밀노트,지서영 (지은이) ,, 이페이지 ,5.0,좋은 부모,가정/생활,1000
"

3.  
",내 아이를 위한 감정코칭,"조벽, 최성애, 존 가트맨 (지은이) ",, 해냄출판사 ,4.5,좋은 부모,가정/생활,10800
"

4.  
",어떻게 말해줘야 할까,"오은영 (지은이), 차상미 (그림) ",, 김영사 ,5.0,좋은 부모,가정/생활,11070
"

5.  
",아들의 뇌,곽윤정 (지은이) ,, 포레스트북스 ,5.0,좋은 부모,가정/생활,10500
"

6.  
",0~5세 말걸기 육아의 힘,김수연 (지은이) ,, 위즈덤하우스 ,5.0,좋은 부모,가정/생활,12250
"

7.  
",자발적 방관육아,최은아 (지은이) ,, 쌤앤파커스 ,5.0,좋은 부모,가정/생활,12000
"

8.  
","어머니, 사교육을 줄이셔야 합니다",정승익 (지은이) ,, 메이트북스 ,5.0,좋은 부모,가정/생활,10200
"

9.  
",똑게육아,로리(김준희) (지은이) ,, 북로스트 ,5.0,좋은 부모,가정/생활,14940
"

10.  
",공부머리 독서법 : 실현 가능하고 지속 가능한 독서교육의 모든 것,최승필 (지은이) ,, 책구루 ,4.5,좋은 부모,가정/생활,12000
"

11.  
",돌봄과 작업,"홍한별, 정서경, 서유미 (지은이) ",, 돌고래 ,4.5,좋은 부모,가정/생활,12000
"

12.  
",못 참는 아이 욱하는 부모,오은영 (지은이) ,, 코리아닷컴(Korea.com) ,5.0,좋은 부모,가정/생활,11800
"

13.  
",기분대로 아이를 키우지 않겠습니다,곽윤정 (지은이) ,, 포레스트북스 ,5.0,좋은 부모,가정/생활,10500
"

14.  
",엄마의 말 연습,윤지영 (지은이) ,, 카시오페아 ,5.0,좋은 부모,가정/생활,12250
"

15.  
",우리 아이 기질 맞춤 양육 매뉴얼,정가은 (지은이) ,, 서사원 ,5.0,좋은 부모,가정/생활,16000
"

16.  
",0~5세 뇌가 쑥쑥 자라는 놀이 육아,이보연 (지은이) ,, 위즈덤하우스 ,5.0,좋은 부모,가정/생활,11200
"

17.  
",똑똑한 아이낳는 탈무드 태교 동화,글공작소 (엮은이) ,, 아름다운사람들 ,4.5,좋은 부모,가정/생활,6000
"

18.  
",부모 인문학 수업,김종원 (지은이) ,, 청림Life ,5.0,좋은 부모,가정/생활,11200
"

19.  
",수학 잘하는 아이를 만드는 초등수학 심화 공부법,류승재 (지은이) ,, 블루무스 ,5.0,좋은 부모,가정/생활,13860
"

20.  
",신의진의 아이심리백과 : 0~2세 편 (30만 부 기념 최신 증보판),신의진 (지은이) ,, 메이븐 ,5.0,좋은 부모,가정/생활,10000
"

21.  
",영유아 몬테소리 육아대백과,"시모네 데이비스 (지은이), 조은경 (옮긴이), 히요코 이마이 (일러스트) ",, 키출판사 ,5.0,좋은 부모,가정/생활,11200
"

22.  
",수학 잘하는 아이는 이렇게 공부합니다,류승재 (지은이) ,, 블루무스 ,4.5,좋은 부모,가정/생활,11760
"

23.  
",난독의 시대,"박세당, 박세호 (지은이) ",, 다산스마트에듀 ,4.5,좋은 부모,가정/생활,12600
"

24.  
",10대 놀라운 뇌 불안한 뇌 아픈 뇌,김붕년 (지은이) ,, (주)대성 ,5.0,좋은 부모,가정/생활,9400
"

25.  
",최강의 육아,"트레이시 커크로 (지은이), 정세영 (옮긴이) ",, 앵글북스 ,5.0,좋은 부모,가정/생활,11300
"

26.  
",양육가설 : 부모가 자녀의 성장에 미치는 영향에 대한 탐구,"주디스 리치 해리스 (지은이), 최수근 (옮긴이), 황상민 (감수) ",, 이김 ,4.5,좋은 부모,가정/생활,17500
