순위,제목,저자,출판사,출간일,별점
1,나의 사주명리,현묘 (지은이) , 날(도서출판) , 2022년 11월,5.0
2,수심결과 마음공부,법상 (지은이) , 불광출판사 , 2023년 2월,0.0
3,메시지 S 스탠더드 에디션 : 일상의 언어로 쓰여진 성경 옆의 성경,"유진 피터슨 (지은이), 홍종락, 김순현, 윤종석, 이종태 (옮긴이), 김회권, 김영봉 (감수) ", 복있는사람 , 2018년 4월,4.0
4,스크루테이프의 편지,"C. S. 루이스 (지은이), 김선형 (옮긴이) ", 홍성사 , 2016년 4월,4.5
5,청소년 교사를 부탁해,정석원 (지은이) , 홍성사 , 2022년 6월,0.0
6,팀 켈러의 일과 영성 : 인간의 일과 하나님의 역사 사이의 줄 잇기,"팀 켈러 (지은이), 최종훈 (옮긴이) ", 두란노 , 2015년 5월,4.5
7,말씀대로 믿고 살고 누리는 큐티인(QTIN) (2023년 1/2월호),QTM편집부 (지은이) , QTM , 2022년 12월,0.0
8,신학이 무슨 소용이냐고 묻는 이들에게,"알리스터 맥그래스 (지은이), 이은진 (옮긴이) ", 포이에마 , 2023년 1월,4.5
9,동산의 샘,제시카 윤 (지은이) , 규장(규장문화사) , 2023년 2월,0.0
10,풍성한 삶의 기초,김형국 (지은이) , 비아토르 , 2022년 11월,5.0
11,영적 침체,"마틴 로이드 존스 (지은이), 정상윤 (옮긴이) ", 복있는사람 , 2022년 11월,5.0
12,모이라의 리딩이 쉬워지는 타로 가이드북,모이라(강민아) (지은이) , 타이니캐슬 (TINY CASTLE) , 2022년 12월,0.0
13,놓아버림,"데이비드 호킨스 (지은이), 박찬준 (옮긴이) ", 판미동 , 2013년 11월,5.0
14,"매일성경 순 2023년 1-2월호(민수기 1-10장, 마태복음1-14장)",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2023년 1월,0.0
15,팀 켈러의 용서를 배우다,"팀 켈러 (지은이), 윤종석 (옮긴이) ", 두란노 , 2022년 12월,5.0
16,요한계시록에 가면,"제프리 와이마 (지은이), 전성현 (옮긴이) ", 도서출판 학영 , 2022년 11월,5.0
17,신과 악마 사이,"헬무트 틸리케 (지은이), 손성현 (옮긴이) ", 복있는사람 , 2022년 6월,5.0
18,헨리 나우웬의 공동체,"헨리 나우웬 (지은이), 윤종석 (옮긴이) ", 두란노 , 2022년 6월,5.0
19,월터 브루그만과 함께하는 사순절 묵상집,"월터 브루그만 (지은이), 리처드 플로이드 (엮은이), 박형국 (옮긴이) ", 한국장로교출판사 , 2021년 2월,3.0
20,부활의 아침을 향하여,강산 (지은이) , 감은사 , 2023년 2월,0.0
21,새로운 일상신학이 온다,지성근 (지은이) , 비전북(VisionBook) , 2022년 12월,5.0
22,지금 이 순간을 살아라,"에크하르트 톨레 (지은이), 노혜숙, 유영일 (옮긴이) ", 양문 , 2014년 5월,4.5
23,순전한 기독교,"C. S. 루이스 (지은이), 이종태, 장경철 (옮긴이) ", 홍성사 , 2013년 12월,5.0
24,삶으로 다시 떠오르기,"에크하르트 톨레 (지은이), 류시화 (옮긴이) ", 연금술사 , 2013년 8월,4.5
25,5가지 사랑의 언어,"게리 채프먼 (지은이), 장동숙 (옮긴이) ", 생명의말씀사 , 2010년 3월,4.5
26,"팀 켈러, 결혼을 말하다","캐시 켈러, 팀 켈러 (지은이), 최종훈 (옮긴이) ", 두란노 , 2022년 4월,4.5
