순위,제목,저자,출판사,출간일,별점
1,아몬드,손원평 (지은이) , 창비 , 2017년 3월,4.0
2,피타고라스 생각 수업,이광연 (지은이) , 유노라이프 , 2023년 1월,5.0
3,해커스 그래머 게이트웨이 베이직 : 초보를 위한 기초 영문법 (Grammar Gateway Basic),David Cho (지은이) , 해커스어학연구소(Hackers) , 2022년 8월,5.0
4,페인트,이희영 (지은이) , 창비 , 2019년 4월,4.5
5,곰브리치 세계사,"에른스트 H. 곰브리치 (지은이), 클리퍼드 하퍼 (그림), 박민수 (옮긴이) ", 비룡소 , 2016년 3월,4.5
7,지구에서 영어생활자로 살아남는 법,백애리 (지은이) , 그래도봄 , 2023년 2월,5.0
8,코스모스,칼 세이건 (지은이) , 사이언스북스 , 2020년 2월,3.5
9,논어 - 손 안의 고전,황종원 (지은이) , 서책 , 2013년 1월,4.5
10,2016-2022 아이엘츠 라이팅 족보,Max Seo (지은이) , 유페이퍼 , 2022년 12월,0.0
11,수학 잘하는 아이를 만드는 초등수학 심화 공부법,류승재 (지은이) , 블루무스 , 2022년 9월,5.0
12,나는 무조건 합격하는 공부만 한다,이윤규 (지은이) , 비즈니스북스 , 2019년 12월,4.0
13,왜 세계의 절반은 굶주리는가?,"우석훈, 장 지글러 (지은이), 유영미 (옮긴이) ", 갈라파고스 , 2016년 7월,4.5
14,죄와 벌 1 - 문예 세계문학선 107,"표도르 도스토옙스키 (지은이), 김학수 (옮긴이) ", 문예출판사 , 2013년 7월,4.5
15,시장과 가격 쫌 아는 10대,"석혜원 (지은이), 신병근 (그림) ", 풀빛 , 2019년 8월,5.0
16,기억 전달자,"로이스 로리 (지은이), 장은수 (옮긴이) ", 비룡소 , 2012년 7월,4.5
17,미적분으로 바라본 하루 : 일상 속 어디에나 있는 수학 찾기,"오스카 E. 페르난데스 (지은이), 김수환 (옮긴이) ", 프리렉 , 2016년 9월,4.0
18,세상에서 가장 짧은 한국사,김재원 (지은이) , 빅피시 , 2022년 6월,5.0
19,동물들의 위대한 법정,"장 뤽 포르케 (지은이), 야체크 워즈니악 (그림), 장한라 (옮긴이) ", 서해문집 , 2022년 10월,5.0
20,훌훌,문경민 (지은이) , 문학동네 , 2022년 2월,5.0
21,채근담 - 손 안의 고전,"홍응명 (지은이), 이성민 (옮긴이) ", 서책 , 2013년 1월,4.5
22,박시백의 조선왕조실록,박시백 (지은이) , 휴머니스트 , 2015년 8월,4.5
23,장애인과 함께 사는 법,백정연 (지은이) , 유유 , 2022년 4월,4.5
24,중고등학교 물리,"아이뉴턴 편집부 (지은이), 와다 스미오 (감수), 나카지마 히데토, 시미즈 아키라 ", 아이뉴턴(뉴턴코리아) , 2019년 7월,5.0
25,학생이 배우고 익히는 법 15 : 무엇을 어떻게 공부할까 - 수학,리처드 샌드윅 저/이정자 역 (지은이) , 유유 , 2018년 10월,0.0
26,세계 철학 필독서 50,"톰 버틀러 보던 (지은이), 이시은 (옮긴이) ", 센시오 , 2022년 12월,5.0
27,아이엘츠 라이팅 브레인스토밍 이렇게 하자!,Max Seo (지은이) , 유페이퍼 , 2022년 7월,5.0
28,학생이 배우고 익히는 법 16 : 무엇을 어떻게 공부할까 - 과학,리처드 샌드윅 저/이정자 역 (지은이) , 유유 , 2018년 10월,0.0
