제목,저자,출판사,발매일,가격,평점,장르
트렌드 코리아 2023,김난도,미래의창,2022.10.05 (종이책 출간 2022.10.05),"11,970원",9.4,경제경영
실전 투자강의,앙드레 코스톨라니,미래의창,2022.03.29 (종이책 출간 2015.09.30),"8,640원",9.7,경제경영
돈의 속성(200쇄 리커버에디션),김승호,스노우폭스북스,2020.06.09 (종이책 출간 2020.06.15),"11,214원",9.4,경제경영
스틱!(15주년 기념판),칩 히스,웅진지식하우스,2022.10.24 (종이책 출간 2022.10.21),"11,340원",9.8,경제경영
부자 아빠 가난한 아빠. 1(20주년 특별 기념판),로버트 기요사키,민음인,2018.03.20 (종이책 출간 2018.02.22),"10,710원",9.7,경제경영
레버리지,롭 무어,다산북스,2017.05.12 (종이책 출간 2017.05.08),"9,450원",8.6,경제경영
주식투자 최적의 타이밍을 잡는 법,스탠 와인스타인,플로우,2021.07.27 (종이책 출간 2020.12.14),"13,860원",9.8,경제경영
나의 월급 독립 프로젝트(리마스터 에디션),유목민,리더스북,2022.11.03 (종이책 출간 2022.10.28),"11,970원",9.6,경제경영
"뇌, 욕망의 비밀을 풀다",한스 게오르크 호이젤,비즈니스북스,2019.09.30 (종이책 출간 2019.10.04),"11,340원",9.5,경제경영
한 번 보고 바로 써먹는 경제용어 460,신성출판사 편집부,길벗,2019.12.24 (종이책 출간 2019.12.19),"11,520원",9.1,경제경영
장사의 신(200쇄 기념 블랙에디션),우노 다카시,쌤앤파커스,2023.01.20 (종이책 출간 2023.01.30),"10,800원",9.6,경제경영
대한민국 산업지도(2023),이래학,경이로움,2023.01.11 (종이책 출간 2023.01.10),"13,860원",8.8,경제경영
잘 파는 사람은 이렇게 팝니다,황현진,비즈니스북스,2022.10.18 (종이책 출간 2022.10.18),"10,584원",9.5,경제경영
실전투자 절대지식,김형준,이레미디어,2018.05.17 (종이책 출간 2014.01.25),"15,750원",9.5,경제경영
이렇게만 하면 장사는 저절로 됩니다,강호동,위즈덤하우스,2022.06.21 (종이책 출간 2022.05.18),"10,395원",9.8,경제경영
리더의 태도,문성후,카시오페아,2023.02.01 (종이책 출간 2023.02.06),"11,025원",10,경제경영
경제파국으로 치닫는 금융위기,최용식,새빛,2022.12.30 (종이책 출간 2023.01.05),"12,600원",8.6,경제경영
이 책은 돈 버는 법에 관한 이야기,고명환,라곰,2022.10.24 (종이책 출간 2022.09.19),"12,150원",9.7,경제경영
차트분석 무작정 따라하기(2022년 개정판),윤재수,길벗,2022.03.01 (종이책 출간 2022.02.28),"15,750원",9.6,경제경영
금리 하나 알았을 뿐인데,이도훈,유노북스,2023.01.19 (종이책 출간 2023.01.19),"13,050원",10,경제경영
AI 2041,리카이푸,한빛비즈,2023.01.13 (종이책 출간 2023.01.09),"18,774원",9.8,경제경영
엘리어트 파동이론,랠프 넬슨 엘리어트,페이지2북스,2022.09.20 (종이책 출간 2022.09.20),"11,250원",8.4,경제경영
왜 추세추종전략인가,마이클 코벨,이레미디어,2021.12.13 (종이책 출간 2014.05.15),"10,395원",8.7,경제경영
월가의 영웅,피터 린치,국일증권경제연구소,2021.10.05 (종이책 출간 2021.07.30),"16,380원",9.7,경제경영
금융투기의 역사,에드워드 챈슬러,국일증권경제연구소,2021.12.08 (종이책 출간 2021.10.25),"15,750원",9.5,경제경영
나는 마트 대신 부동산에 간다,김유라,한국경제신문사,2016.11.08 (종이책 출간 2016.10.25),"10,800원",9.2,경제경영
핑크펭귄(Pink Penguin),빌 비숍,스노우폭스북스,2017.09.12 (종이책 출간 2017.02.17),"9,450원",9.5,경제경영
반도체 제국의 미래,정인성,이레미디어,2021.12.24 (종이책 출간 2021.11.18),"11,655원",8.8,경제경영
돈의 심리학,모건 하우절,인플루엔셜,2021.01.21 (종이책 출간 2021.01.13),"13,320원",9.6,경제경영
인플레이션,하노 벡,다산북스,2021.04.21 (종이책 출간 2021.04.19),"12,420원",9.3,경제경영
나는 경매로 1년 만에 인생을 역전했다,구범준,길벗,2023.02.15 (종이책 출간 2023.02.10),"14,400원",0,경제경영
주식투자 무작정 따라하기(2023),윤재수,길벗,2023.02.03 (종이책 출간 2023.01.30),"16,560원",10,경제경영
서울 부동산 절대원칙,김학렬(빠숑),길벗,2023.01.19 (종이책 출간 2023.01.11),"18,000원",9.9,경제경영
사모펀드와 M&A 트렌드 2023,최우석,지음미디어,2023.01.06 (종이책 출간 2022.12.08),"14,400원",10,경제경영
무조건 팔리는 카피,글렌 피셔,동양북스,2023.01.16 (종이책 출간 2022.12.21),"11,700원",10,경제경영
마케팅 설계자,러셀 브런슨,윌북,2022.12.30 (종이책 출간 2022.12.30),"15,624원",9.3,경제경영
나는 세무사 없이 세금 신고한다,송대훈,교보문고,2022.12.15 (종이책 출간 2022.12.12),"10,800원",10,경제경영
IT 트렌드 2023,김지현,크레타,2022.11.17 (종이책 출간 2022.11.17),"11,340원",10,경제경영
저스트. 킵. 바잉.,닉 매기울리,서삼독,2022.11.16 (종이책 출간 2022.09.21),"14,400원",9.8,경제경영
인스타그램 심리학,문영호,북스톤,2022.10.28 (종이책 출간 2022.09.30),"9,900원",10,경제경영
50대 사건으로 보는 돈의 역사,홍춘욱,로크미디어,2019.04.24 (종이책 출간 2019.04.24),"9,900원",9.1,경제경영
차트 패턴,토마스 N. 불코우스키,이레미디어,2012.04.27 (종이책 출간 2008.09.22),"15,120원",8.7,경제경영
엘리어트 파동이론,엘리어트,이레미디어,2010.02.17 (종이책 출간 2006.04.30),"7,830원",8.8,경제경영
유시민의 경제학 카페,유시민,돌베개,2013.10.10 (종이책 출간 2002.01.28),"7,560원",9.4,경제경영
리더를 위한 메시지,세인트 윤,아이프렌드,2012.08.14 (종이책 출간 2012.05.25),"2,160원",9.2,경제경영
반값 보험료 만들기 프로젝트,장명훈,황금부엉이,2022.03.17 (종이책 출간 2022.01.05),"10,080원",9.8,경제경영
경제철학의 전환,변양균,바다출판사,2018.02.07 (종이책 출간 2017.06.25),"10,800원",9.1,경제경영
한 권으로 끝내는 AI 비즈니스 모델,정두희,청림출판,2020.07.17 (종이책 출간 2020.06.30),"15,750원",9.1,경제경영
백만장자 메신저,브렌든 버처드,리더스북,2018.05.03 (종이책 출간 2018.04.27),"11,340원",9.2,경제경영
"개장 전, 아직 켜지지 않은 모니터 앞에서",강민우(돈깡),이레미디어,2022.02.07 (종이책 출간 2021.12.10),"10,080원",9.1,경제경영
실전 공매도,김영옥,이레미디어,2020.02.28 (종이책 출간 2020.01.03),"11,655원",9.6,경제경영
부의 추월차선(10주년 스페셜 에디션),엠제이 드마코,토트,2022.01.24 (종이책 출간 2022.02.04),"10,800원",9.5,경제경영
언스크립티드,엠제이 드마코,토트,2018.01.31 (종이책 출간 2018.01.17),"10,800원",9.2,경제경영
최진기의 경제상식 오늘부터 1일,최진기,스마트북스,2018.09.11 (종이책 출간 2018.08.15),"10,350원",9.4,경제경영
10년 동안 적금밖에 모르던 39세 김 과장은 어떻게 1년 만에 부동산 천재가 됐을까,김재수(렘군),비즈니스북스,2018.09.11 (종이책 출간 2018.09.15),"10,584원",9.5,경제경영
실리콘밸리의 MZ들,킴 스콧,청림출판,2023.02.07 (종이책 출간 2023.02.07),"13,860원",0,경제경영
2050 미중 패권전쟁과 세계경제 시나리오,최윤식,김영사,2023.02.01 (종이책 출간 2023.02.01),"14,400원",0,경제경영
부동산 투자 필독서 30,레비앙,센시오,2023.01.09 (종이책 출간 2023.01.09),"15,390원",9.3,경제경영
2050 패권의 미래,해미시 맥레이,서울경제신문 서경B&B,2023.01.30 (종이책 출간 2023.01.25),"13,860원",0,경제경영
기후위기 부의 대전환,홍종호,다산북스,2023.01.26 (종이책 출간 2023.01.26),"12,600원",10,경제경영
"ESG, 한 권에 담았다",권미엽,한국공인회계사회,2022.12.19 (종이책 출간 2022.12.19),"14,400원",10,경제경영
커뮤니티는 어떻게 브랜드의 무기가 되는가,이승윤,인플루엔셜,2022.12.10 (종이책 출간 2022.11.18),"12,600원",10,경제경영
부의 삼각형,권은진,북스고,2022.12.12 (종이책 출간 2022.11.17),"12,600원",10,경제경영
소음과 투자,리처드 번스타인,에프엔미디어,2022.12.02 (종이책 출간 2022.11.25),"11,250원",9.9,경제경영
세금 퀵 가이드,유흥관,유영,2022.12.02 (종이책 출간 2022.12.01),"16,200원",10,경제경영
채용 트렌드 2023,윤영돈,비전코리아,2022.11.16 (종이책 출간 2022.11.16),"11,340원",10,경제경영
머니 트렌드 2023,정태익,북모먼트,2022.11.23 (종이책 출간 2022.11.15),"11,970원",9.5,경제경영
주식 생존의 법칙,임용한,생각정원,2022.11.01 (종이책 출간 2022.10.17),"11,340원",10,경제경영
부의 추월차선 2권 세트 : 부의 추월차선+언스크립티드,엠제이 드마코,토트,2018.02.02,"18,900원",8.2,경제경영
"돈 걱정 없는 워홀, 유학 생활",전우석,엔조이라이프,2022.06.30,"8,910원",10,경제경영
경제수학 강의,김성현,교보문고,2013.01.03 (종이책 출간 2011.03.04),"12,960원",8.5,경제경영
대영제국이 유대인 한 명을 못 당하다,홍익희,유페이퍼,2012.07.17,"1,350원",10,경제경영
사업의 철학,마이클 거버,라이팅하우스,2015.09.16 (종이책 출간 2015.09.01),"10,080원",9.3,경제경영
"어닝스, 최고의 주식투자 아이디어",김현준,부크온,2015.09.04 (종이책 출간 2015.07.30),"11,700원",10,경제경영
친절한 경매,오은석,중앙일보조인스랜드,2011.06.14 (종이책 출간 2009.10.15),"8,100원",10,경제경영
문서사무관리,박철하,21세기사,2019.09.26 (종이책 출간 2011.12.30),"23,400원",10,경제경영
하루 만에 수익 내는 데이트레이딩 3대 타법,유지윤,북오션,2021.10.25 (종이책 출간 2021.03.16),"16,200원",9.2,경제경영
초격차,권오현,쌤앤파커스,2018.09.20 (종이책 출간 2018.09.10),"11,340원",9.4,경제경영
현명한 투자자,벤저민 그레이엄,국일증권경제연구소,2020.07.13 (종이책 출간 2020.05.26),"14,490원",9.7,경제경영
다시쓰는 경영학,최동석,21세기북스,2013.03.06 (종이책 출간 2013.02.28),"12,960원",9.5,경제경영
차트의 유혹,오성주,한국경제신문,2022.01.11 (종이책 출간 2022.01.03),"12,096원",9.3,경제경영
안티프래질(Antifragile),나심 니콜라스 탈레브,와이즈베리,2013.10.17 (종이책 출간 2013.10.01),"17,640원",9.2,경제경영
지적자본론,마스다 무네아키,민음사,2015.12.29 (종이책 출간 2015.11.02),"8,640원",9.2,경제경영
"당신 앞의 10년, 미래학자의 일자리 통찰",최윤식,김영사,2020.05.14 (종이책 출간 2020.05.11),"9,900원",9.7,경제경영
넛지(파이널 에디션),리처드 탈러,리더스북,2022.06.21 (종이책 출간 2022.06.20),"13,950원",9.6,경제경영
누가 한국 경제를 파괴하는가,최배근,북인어박스,2021.12.24 (종이책 출간 2021.11.26),"10,710원",9.7,경제경영
오늘부터 건물주,제이든(채병도),탈잉,2022.02.28 (종이책 출간 2021.10.30),"10,080원",9.6,경제경영
부의 인문학(20만부 기념 개정증보판),우석,오픈마인드,2022.03.08 (종이책 출간 2022.03.21),"10,710원",9.6,경제경영
데이터로 경험을 디자인하라,차경진,시크릿하우스,2022.04.25 (종이책 출간 2022.04.25),"11,970원",8.8,경제경영
솔직히 회계 1도 모르겠습니다,고야마 아키히로,포레스트북스,2022.07.08 (종이책 출간 2022.07.13),"11,340원",10,경제경영
실전 차트 패턴 63,윌리엄 자일러,이레미디어,2022.08.22 (종이책 출간 2022.08.16),"11,655원",8.2,경제경영
윌리엄 오닐의 이기는 투자,윌리엄 오닐,이레미디어,2022.08.16 (종이책 출간 2022.07.29),"11,025원",10,경제경영
그냥 하지 말라,송길영,북스톤,2021.10.05 (종이책 출간 2021.10.05),"11,250원",9.6,경제경영
그 회사는 직원을 설레게 한다,대니얼 M. 케이블,갈매나무,2020.03.02 (종이책 출간 2020.01.31),"10,080원",9.1,경제경영
지브리의 천재들,스즈키 도시오,포레스트북스,2021.03.16 (종이책 출간 2021.03.15),"9,900원",9.6,경제경영
싱글맘 부동산 경매로 홀로서기,이선미,지혜로,2022.07.14 (종이책 출간 2020.03.20),"10,080원",9.5,경제경영
미국 배당주 투자지도,서승용,진서원,2019.06.10 (종이책 출간 2019.04.18),"13,500원",9.4,경제경영
나의 첫 대체투자 공부,김대중,원앤원북스,2020.08.25 (종이책 출간 2020.08.25),"9,720원",9.2,경제경영
알면쓸모있는 근로기준법,박풀,유페이퍼,2022.07.21,"15,300원",0,경제경영
주식 단타로 매일매일 벌어봤어?,양선호,넥서스,2022.05.17 (종이책 출간 2022.03.04),"12,600원",7.1,경제경영
김미경의 마흔 수업,김미경,어웨이크북스,2023.02.15 (종이책 출간 2023.02.15),"11,340원",9.4,자기계발
원씽(The One Thing)(리커버 특별판),게리 켈러,비즈니스북스,2013.08.21 (종이책 출간 2013.08.30),"9,000원",9.7,자기계발
역행자,자청,웅진지식하우스,2022.05.30 (종이책 출간 2022.05.30),"11,070원",9.4,자기계발
지무비의 유튜브 엑시트,지무비(나현갑),21세기북스,2023.02.06 (종이책 출간 2023.02.01),"14,256원",10,자기계발
자소서 바이블 2.0,면접왕 이형,엔알디3,2022.09.06 (종이책 출간 2022.08.25),"15,147원",9.9,자기계발
1퍼센트 부자의 법칙,사이토 히토리,나비스쿨,2023.02.06 (종이책 출간 2023.01.30),"10,800원",10,자기계발
