제목,kyobo_순위,kyobo_저자,kyobo_출판사,kyobo_발매일,kyobo_가격,kyobo_평점,kyobo_장르,상명대학교_학술정보관_장르
부자 아빠 가난한 아빠. 1(20주년 특별 기념판),1,로버트 기요사키,민음인,2018.03.20 (종이책 출간 2018.02.22),"10,710",9.7,경제경영,경제경영
부자의 그릇,2,이즈미 마사토,다산북스,2020.12.21 (종이책 출간 2020.12.14),"9,450",9.2,경제경영,경제경영
레버리지,3,롭 무어,다산북스,2023.02.15 (종이책 출간 2023.02.15),"11,340",0,경제경영,경제경영
"뇌, 욕망의 비밀을 풀다",4,한스 게오르크 호이젤,비즈니스북스,2019.09.30 (종이책 출간 2019.10.04),"11,340",9.5,경제경영,경제경영
금리의 역습,5,에드워드 챈슬러,위즈덤하우스,2023.02.01 (종이책 출간 2023.01.11),"20,790",9.7,경제경영,경제경영
초거대 위협,6,누리엘 루비니,한국경제신문,2023.02.13 (종이책 출간 2023.02.13),"18,000",10,경제경영,경제경영
스틱!(15주년 기념판),7,칩 히스,웅진지식하우스,2022.10.24 (종이책 출간 2022.10.21),"11,340",9.7,경제경영,경제경영
돈의 심리학,8,모건 하우절,인플루엔셜,2021.01.21 (종이책 출간 2021.01.13),"13,320",9.6,경제경영,경제경영
거인의 어깨 1,9,홍진채,포레스트북스,2022.12.19 (종이책 출간 2022.12.12),"13,734",9.6,경제경영,경제경영
주식투자 최적의 타이밍을 잡는 법,10,스탠 와인스타인,플로우,2021.07.27 (종이책 출간 2020.12.14),"13,860",9.9,경제경영,경제경영
15억 작은 부자 현주씨의 돈 관리 습관,11,김경필,좋은습관연구소,2023.02.06 (종이책 출간 2023.02.06),"11,880",0,경제경영,경제경영
트렌드 코리아 2023,12,김난도,미래의창,2022.10.05 (종이책 출간 2022.10.05),"11,970",9.4,경제경영,경제경영
돈의 속성(200쇄 리커버에디션),13,김승호,스노우폭스북스,2020.06.09 (종이책 출간 2020.06.15),"11,214",9.4,경제경영,경제경영
경매 권리분석 이렇게 쉬웠어?,14,박희철(파이팅팔콘),지혜로,2022.07.14 (종이책 출간 2019.01.15),"11,700",9.5,경제경영,경제경영
BIG WAVE(빅 웨이브) 거대한 변화,15,김영익,베가북스,2023.02.15 (종이책 출간 2023.01.12),"12,600",9.4,경제경영,경제경영
장사의 신(200쇄 기념 블랙에디션),16,우노 다카시,쌤앤파커스,2023.01.20 (종이책 출간 2023.01.30),"10,800",9.6,경제경영,경제경영
나의 월급 독립 프로젝트(리마스터 에디션),17,유목민,리더스북,2022.11.03 (종이책 출간 2022.10.28),"11,970",9.6,경제경영,경제경영
부의 인문학(20만부 기념 개정증보판),18,우석,오픈마인드,2022.03.08 (종이책 출간 2022.03.21),"10,710",9.6,경제경영,경제경영
