category,subject,writer,publisher,date,checkout,like
[경제/비즈니스],트렌드 코리아 2023,"김난도, 전미영, 최지혜, 이수진, 권정윤, 이준영, 이향은, 한다혜, 이혜원, 추예린",미래의창,2022-10-06,누적대출 143,추천 1
[자연/과학],물고기는 존재하지 않는다,룰루 밀러,곰출판,2022-01-19,누적대출 174,추천 2
[문학],불편한 편의점,김호연,나무옆의자,2022-02-22,누적대출 144,추천 0
[경제/비즈니스],역행자,자청,웅진지식하우스,2022-06-13,누적대출 175,추천 0
[문학],"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,2021-10-21,누적대출 102,추천 1
[문학],지구 끝의 온실,김초엽,자이언트북스,2022-04-21,누적대출 127,추천 0
[문학],가녀장의 시대,이슬아,이야기장수,2022-10-19,누적대출 93,추천 0
[문학],달러구트 꿈 백화점,이미예,북닻,2020-07-28,누적대출 193,추천 4
[경제/비즈니스],신경 끄기의 기술,마크 맨슨,갤리온,2017-11-01,누적대출 1021,추천 2
[문학],미드나잇 라이브러리,매트 헤이그,인플루엔셜,2021-05-25,누적대출 322,추천 2
[문학],파친코 1,이민진,인플루엔셜,2022-09-27,누적대출 45,추천 0
[경제/비즈니스],20대라면 무조건 써먹는 경제상식,김종선,팬덤북스,2011-11-02,누적대출 642,추천 1
[문학],불편한 편의점 2,김호연,나무옆의자,2022-12-02,누적대출 19,추천 0
[문학],달러구트 꿈 백화점 2,이미예,팩토리나인,2021-08-03,누적대출 124,추천 1
[문학],살인자의 기억법,김영하,문학동네,2013-08-28,누적대출 970,추천 4
[경제/비즈니스],원씽 (THE ONE THING),"게리 켈러, 제이 파파산",비즈니스북스,2015-02-10,누적대출 44,추천 0
[인문],1일 1페이지 짧고 깊은 지식수업 365 (통찰력 편),김옥림,미래북,2022-03-16,누적대출 21,추천 0
[인문],미움받을 용기,"기시미 이치로, 고가 후미타케",인플루엔셜,2017-01-05,누적대출 494,추천 2
[문학],이토록 평범한 미래,김연수,문학동네,2022-10-07,누적대출 39,추천 0
[에세이/산문],천문학자는 별을 보지 않는다,심채경,문학동네,2021-04-27,누적대출 47,추천 0
[문학],"어서 오세요, 휴남동 서점입니다",황보름,클레이하우스,2022-01-17,누적대출 52,추천 0
[자연/과학],이기적 유전자,리처드 도킨스,(주)을유문화사,2019-02-13,누적대출 161,추천 0
[에세이/산문],인생의 역사,신형철,난다,2022-12-08,누적대출 17,추천 0
[인문],다정한 것이 살아남는다,"브라이언 헤어, 버네사 우즈",디플롯,2021-11-04,누적대출 68,추천 0
[문학],데미안,헤르만 헤세,더클래식,2015-07-23,누적대출 3189,추천 6
[경제/비즈니스],마케팅 설계자,러셀 브런슨,윌북,2023-01-11,누적대출 7,추천 0
[문학],멋진 신세계,올더스 헉슬리,소담출판사,2018-06-22,누적대출 545,추천 2
[문학],"오늘 밤, 세계에서 이 눈물이 사라진다 해도",이치조 미사키,모모,2022-09-23,누적대출 22,추천 0
[문학],지구에서 한아뿐,정세랑,난다,2019-08-05,누적대출 488,추천 11
[문학],1차원이 되고 싶어,박상영,문학동네,2021-11-29,누적대출 169,추천 4
[컴퓨터/인터넷],IT 5분 잡학사전,"니꼴라스, 배지현",이지스퍼블리싱 (주),2022-09-27,누적대출 14,추천 0
[경제/비즈니스],넛지,리처드 탈러,리더스북,2012-07-25,누적대출 321,추천 1
[에세이/산문],여행의 이유,김영하,문학동네,2019-06-03,누적대출 687,추천 1
[경제/비즈니스],168시간 일주일 사용법,케빈 호건,비전코리아,2011-03-10,누적대출 543,추천 0
[문학],1Q84 1,무라카미 하루키,문학동네,2020-04-08,누적대출 257,추천 2
[인문],"1일 1페이지, 세상에서 가장 짧은 교양 수업 365","데이비드 S. 키더, 노아 D. 오펜하임",위즈덤하우스,2019-11-22,누적대출 175,추천 0
[에세이/산문],그때 알았더라면 좋았을 것들,정여울,21세기북스,2013-05-14,누적대출 440,추천 0
[문학],바깥은 여름,김애란,문학동네,2017-08-09,누적대출 1284,추천 10
[컴퓨터/인터넷],소프트웨어 장인,산드로 만쿠소,길벗,2015-10-26,누적대출 5,추천 0
[문학],아가미,구병모,위즈덤하우스,2018-04-09,누적대출 297,추천 2
[가정/생활],일상을 담는 아이패드 드로잉,이이오,한빛라이프,2022-03-17,누적대출 28,추천 0
[에세이/산문],책과 우연들,김초엽,열림원,2022-11-14,누적대출 10,추천 0
[장르문학],테라피스트,B. A. 패리스,모모,2021-12-31,누적대출 69,추천 0
[문학],1984 (한글판+영문판),조지 오웰,더클래식,2013-05-23,누적대출 1035,추천 0
[인문],"DEATH, 죽음이란 무엇인가",셸리 케이건,엘도라도,2012-11-30,누적대출 875,추천 1
[자연/과학],과학이 필요한 시간,궤도,동아시아,2022-10-26,누적대출 8,추천 0
[자연/과학],궤도의 과학 허세(리커버),궤도,동아시아,2022-07-05,누적대출 4,추천 0
[경제/비즈니스],넘버스 스틱!,"칩 히스, 칼라 스타",웅진지식하우스,2022-10-14,누적대출 8,추천 0
[문학],누가 이 침대를 쓰고 있었든,레이먼드 카버,문학동네,2022-11-30,누적대출 8,추천 0
[경제/비즈니스],더현대서울 인사이트,"김난도, 최지혜, 이수진, 이향은",다산북스,2022-03-03,누적대출 14,추천 0
[경제/비즈니스],데일카네기 인간관계론,데일 카네기,리베르,2012-01-26,누적대출 143,추천 0
[외국어],매일 영어 루틴 올인원 1권,넥서스콘텐츠개발팀,넥서스,2022-12-29,누적대출 4,추천 0
[컴퓨터/인터넷],소프트 스킬 개정 2판,존 손메즈,길벗,2022-07-29,누적대출 4,추천 0
[에세이/산문],"스물아홉 생일, 1년 후 죽기로 결심했다",하야마 아마리,위즈덤하우스,2021-09-24,누적대출 6,추천 0
[경제/비즈니스],아주 작은 습관의 힘,제임스 클리어,비즈니스북스,2019-02-20,누적대출 106,추천 0
[문학],천 개의 파랑,천선란,허블,2020-08-19,누적대출 28,추천 2
[컴퓨터/인터넷],커리어 스킬,존손메즈,길벗,2019-05-10,누적대출 4,추천 0
[문학],파친코 2,이민진,인플루엔셜,2022-09-27,누적대출 13,추천 0
[문학],향수 : 어느 살인자의 이야기,파트리크 쥐스킨트,열린책들,2015-07-20,누적대출 100,추천 2
[컴퓨터/인터넷],혼자 해도 프로 작가처럼 잘 그리는 아이패드 드로잉 with 프로크리에이트,빨간고래(박정아),한빛미디어,2022-07-05,누적대출 18,추천 0
[강의지원도서],(3rd EDITION) 사진·통계와 함께 읽는 일본 일본인 일본문화,정형,다락원,2018-08-03,누적대출 3,추천 0
[인문],"1일 1페이지, 세상에서 가장 짧은 교양 수업 365 : 현대문화편","데이비드 S. 키더, 노아 D. 오펜하임",위즈덤하우스,2020-12-14,누적대출 48,추천 0
[강의지원도서],4차산업혁명과 스마트 비즈니스,배재권,박영사,2020-11-12,누적대출 3,추천 0
[에세이/산문],그리고 행복하다는 소식을 들었습니다,이병률,달,2022-10-17,누적대출 11,추천 0
[경제/비즈니스],나 혼자만 알고 싶은 실전 심리학,왕리,미디어숲,2022-12-29,누적대출 8,추천 0
[경제/비즈니스],나는 무조건 한 번에 합격한다,이형재,웅진지식하우스,2022-08-02,누적대출 19,추천 0
[인문],나는 왜 무기력을 되풀이하는가,"에리히 프롬 , 라이너 풍크",나무생각,2016-07-30,누적대출 112,추천 0
[외국어],나혼자 끝내는 독학 일본어 첫걸음(최신 증보판),넥서스콘텐츠개발팀,넥서스JAPANESE,2022-12-20,누적대출 3,추천 0
[경제/비즈니스],내 최고의 하루는 오늘부터 시작된다,브리애나 위스트,비즈니스북스,2022-10-27,누적대출 5,추천 0
[문학],내게 무해한 사람,최은영,문학동네,2018-07-31,누적대출 540,추천 4
[경제/비즈니스],넛지: 파이널 에디션,리처드 H. 탈러,리더스북,2022-07-07,누적대출 29,추천 0
[경제/비즈니스],"다가올 미래, 부의 흐름",곽수종,메이트북스,2022-10-24,누적대출 5,추천 0
[사회],다이버시티,신완선,더난출판,2021-06-01,누적대출 5,추천 0
[문학],대불호텔의 유령,강화길,문학동네,2021-08-23,누적대출 12,추천 0
[경제/비즈니스],럭키 드로우,드로우앤드류,다산북스,2022-01-25,누적대출 26,추천 0
[인문],마음세탁소,황웅근,정신세계사,2015-11-02,누적대출 7,추천 0
[컴퓨터/인터넷],면접을 위한 CS 전공지식 노트,주홍철,길벗,2022-05-10,누적대출 32,추천 0
[문화/예술],명화로 읽는 합스부르크 역사,나카노 교코,한경arte,2022-10-17,누적대출 6,추천 0
[문학],방금 떠나온 세계,김초엽,한겨레출판,2021-12-01,누적대출 46,추천 0
[경제/비즈니스],부자의 그릇 (개정판),이즈미 마사토,다산북스,2020-12-21,누적대출 20,추천 0
[장르문학],비밀,히가시노 게이고,소미미디어,2021-09-29,누적대출 26,추천 0
[장르문학],사나운 새벽 1,이수영,북큐브네트웍스,2009-11-23,누적대출 220,추천 1
[에세이/산문],살고 싶다는 농담,허지웅,웅진지식하우스,2020-09-01,누적대출 57,추천 0
[문학],심판,베르나르 베르베르,열린책들,2020-08-25,누적대출 22,추천 0
[문학],여자 없는 남자들,무라카미 하루키,문학동네,2020-04-08,누적대출 5,추천 0
[문학],우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019-08-05,누적대출 16,추천 0
[경제/비즈니스],일 잘하는 사람의 시간은 다르게 흘러간다,이윤규,위즈덤하우스,2022-05-02,누적대출 6,추천 0
[외국어],일본어회화 100일의 기적,윤선경,넥서스,2019-01-23,누적대출 29,추천 0
[문학],작별인사,김영하,복복서가,2022-05-09,누적대출 84,추천 1
[경제/비즈니스],쥬비스 미라클,조성경,쌤앤파커스,2022-08-17,누적대출 6,추천 0
[인문],지구가 평평하다고 믿는 사람과 즐겁고 생산적인 대화를 나누는 법,리 매킨타이어,위즈덤하우스,2022-12-16,누적대출 9,추천 0
[경제/비즈니스],플랫폼의 생각법,이승훈,한즈미디어,2022-12-27,누적대출 3,추천 0
[문화/예술],헤어질 결심 각본,"정서경, 박찬욱",(주)을유문화사,2022-08-17,누적대출 30,추천 0
[문화/예술],헤어질 결심 스토리보드북,박찬욱,(주)을유문화사,2022-11-14,누적대출 6,추천 0
[경제/비즈니스],현업 기획자 도그냥이 알려주는 서비스 기획 스쿨,이미준,초록비책공방,2020-07-09,누적대출 19,추천 0
[문학],홍학의 자리,정해연,엘릭시르,2021-07-21,누적대출 42,추천 1
[인문],1일 1페이지 짧고 깊은 지식수업 365 (교양편),김옥림,미래북,2022-03-28,누적대출 15,추천 0
[경제/비즈니스],"7일, 168시간",젠 예거,스노우폭스북스,2019-12-06,누적대출 41,추천 0
[컴퓨터/인터넷],Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,시바타 보요,이지스퍼블리싱 (주),2020-07-24,누적대출 24,추천 0
[문화/예술],SKY 캐슬 대본집 1,유현미,위즈덤하우스,2019-03-25,누적대출 9,추천 0
