yes24_rank,제목,yes24_writer,yes24_company,yes24_date,yes24_price,yes24_star_content,yes24_star_edit,yes24_gener,sm_gener,time_stamp
1,      조건  만남  삽화본                                 , 문정민 저                                                            , 로아                                        ,2021-05-01,3000,4,4,로맨스,문학,2023-02-22 23:13:21.976838
2,      토굴 공주                                   , 함초롱 저                                                            , 제로노블                                        ,2022-12-01,3800,4,4,로맨스,문학,2023-02-22 23:13:21.976838
3,       세트  오빠 손은 약손  외전 포함   총2권    , 금나래 저                                                            , 텐북                                        ,2021-05-01,4200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
4,       세트  마법사가 잠든 사이  총2권    , 샤아드 저                                                            , 일랑                                        ,2023-02-01,2160,3,3,로맨스,문학,2023-02-22 23:13:21.976838
5,      오  담에 핀 꽃  개정판                                    , 박영 저                                                            , 플로린                                        ,2023-02-01,3150,4,5,로맨스,문학,2023-02-22 23:13:21.976838
6,      몸태질                                , 금단 저                                                            , 라떼북                                        ,2023-02-01,3240,3,3,로맨스,문학,2023-02-22 23:13:21.976838
7,      별채에는 불이 꺼지지 않는다                                   , 정은동 저                                                            , 텐북                                        ,2022-08-01,2970,4,4,로맨스,문학,2023-02-22 23:13:21.976838
8,      원래 그랬어                                 , 오드리 저                                                            , 로아                                        ,2023-02-01,1080,5,4,로맨스,문학,2023-02-22 23:13:21.976838
9,      괴물 아가씨와 성기사                                   , 손금 저                                                            , 로즈엔                                        ,2023-02-01,3060,4,4,로맨스,문학,2023-02-22 23:13:21.976838
10,      미아                                , 도개비 저                                                            , 봄미디어                                        ,2020-01-01,3800,4,4,로맨스,문학,2023-02-22 23:13:21.976838
11,      어른 아빠                                , 지초가 지천 저                                                            , 로튼로즈                                        ,2023-02-01,900,5,5,로맨스,문학,2023-02-22 23:13:21.976838
12,       세트  오  담에 핀 꽃  개정판   총3권    , 박영 저                                                            , 플로린                                        ,2023-02-01,9450,3,4,로맨스,문학,2023-02-22 23:13:21.976838
13,      불순종 Impure species                                    , 피오렌티 저                                                            , 텐북                                        ,2022-09-01,3600,4,4,로맨스,문학,2023-02-22 23:13:21.976838
14,      구숙  만복을 빌어요                                , 구월류화 저                                                            , 태평                                        ,2023-02-01,3200,4,4,로맨스,문학,2023-02-22 23:13:21.976838
15,      마네킹 365                                , 황금뽀찌 저                                                            , 누아르                                        ,2023-02-01,990,0,0,로맨스,문학,2023-02-22 23:13:21.976838
16,      나체 초밥                                , 탱글탱글 저                                                            , 로튼로즈                                        ,2023-02-01,990,0,0,로맨스,문학,2023-02-22 23:13:21.976838
17,      고은 나의 고은 , 서풍 저                                                            , 밀리오리지널                                        ,2022-02-01,3600,4,4,로맨스,문학,2023-02-22 23:13:21.976838
18,      화제의 여학생                                   , 연초 저                                                            , 라떼북                                        ,2019-02-01,3420,4,4,로맨스,문학,2023-02-22 23:13:21.976838
19,      여름의 밀도                                , 채랑비 저                                                            , SOME                                        ,2023-02-01,3690,3,3,로맨스,문학,2023-02-22 23:13:21.976838
20,      느와르 급발진주의                                , 초록개 저                                                            , 스칼렛                                        ,2023-02-01,3420,4,4,로맨스,문학,2023-02-22 23:13:21.976838
