rank,genre,title,writer,company,date,price,star_content,star_edit
1,BL, eBook     BL  데이 브레이커 EPUB                              , 체레네 저                                                            , 문라이트북스                                        , 2018년 01월                                 ,"3,000원",4,4
2,BL, eBook     BL  파이브 바이 파이브 5x5  EPUB  완결                              , 이소한 저                                                            , 텐북                                        , 2022년 08월                                 ,"4,800원",4,4
3,BL, eBook    라디오 스톰 COMIC  완결                              , 팀 S S 저                                                            , 북극여우                                        , 2022년 09월                                 ,500원,0,0
4,BL, eBook     BL  동티 EPUB                              , 소조금 저                                                            , 모드                                        , 2022년 09월                                 ,"3,000원",4,4
5,BL, eBook     BL  시나몬 캔디 EPUB                              , Whale 저                                                            , 모드                                        , 2022년 11월                                 ,"3,600원",4,4
6,BL, eBook     연재  너를 기다려 , 이현숙 글그림                                                            , 대원씨아이                                        , 2022년 05월                                 ,500원,5,5
7,BL, eBook     BL  연애제한구역 COMIC  완결                              , 단비 저                                                            , 비욘드                                        , 2022년 08월                                 ,500원,0,0
8,BL, eBook    꿈자리가 이상한데요   , 흰귀 저                                                            , 북극여우                                        , 2021년 02월                                 ,600원,0,0
9,BL, eBook     BL  서퍼   스토커 헌터지만 육아하고 있습니다  EPUB  완결                              , 글먹SS 저                                                            , 더클북컴퍼니                                        , 2023년 02월                                 ,"4,200원",4,4
10,BL, eBook     BL  풀 블룸 Full bloom  EPUB  완결                              , 구부 저                                                            , 시크노블                                        , 2023년 01월                                 ,"3,300원",4,4
11,BL, eBook    남의 BL만화 COMIC  완결                              , 보바리 글그림                                                            , 북큐브네트웍스                                        , 2021년 08월                                 ,400원,0,0
12,BL, eBook     BL  그놈이 그놈이다 EPUB                              , 차선 저                                                            , BLYNUE 블리뉴                                        , 2023년 02월                                 ,"3,700원",5,5
13,BL, eBook     BL  스파이게임 EPUB  완결                              , 바크베 저                                                            , 피아체                                        , 2021년 10월                                 ,"3,200원",4,4
14,BL, eBook     BL  센차 레플리카 EPUB  완결                              , 서니주 저                                                            , BLYNUE 블리뉴                                        , 2023년 02월                                 ,"3,800원",4,4
15,BL, eBook     루비  피지 않는 꽃에 물 주기 COMIC  완결                              , 아가 나오미 저 yoshi 글그림                                                            , 현대지능개발사                                        , 2023년 02월                                 ,"2,520원",4,4
16,BL, eBook     BL  다정도 병인 양하여 EPUB                              , Fensterrahmen 저                                                            , B cafe                                        , 2017년 08월                                 ,"3,000원",4,4
17,BL, eBook    Wet Sand    샌드  , DOYAK 도약  글그림                                                            , 두세븐 엔터테인먼트                                        , 2022년 09월                                 ,600원,0,0
18,BL, eBook    체크 메이트 , 탄 저                                                            , 키다리스튜디오                                        , 2020년 08월                                 ,600원,5,5
19,BL, eBook     BL  미필적 고의에 의한 연애사   확정적 고의에 의한 연애사 EPUB  완결                              , 우주토깽 저                                                            , 비욘드                                        , 2019년 02월                                 ,"4,500원",4,4
20,BL, eBook     BL  주먹 구십구 EPUB                              , 마연 저                                                            , 블러쉬                                        , 2022년 01월                                 ,"3,200원",4,4
21,BL, eBook     BL  조교 실격 EPUB  완결                              , 쇼베 저                                                            , 시크노블                                        , 2023년 01월                                 ,"3,500원",4,4
22,BL, eBook     BL  와이드 오픈 EPUB                              , 바크베 저                                                            , BLYNUE 블리뉴                                        , 2023년 01월                                 ,"3,600원",4,4
23,BL, eBook     BL  신입사원 COMIC  완결                              , 제크  모스카레토 저                                                            , 비욘드                                        , 2022년 06월                                 ,600원,0,0
24,BL, eBook     BL  문장 EPUB                              , hologramm 저                                                            , 고렘팩토리                                        , 2021년 12월                                 ,"3,700원",4,4
25,BL, eBook     BL  살아서 만납시다 EPUB                              , 할로윈 저                                                            , 링크                                        , 2022년 11월                                 ,"3,400원",4,4
26,BL, eBook     BL  이리 오너라  업고 놀자 , 바트 저                                                            , 가하 웹툰                                        , 2019년 07월                                 ,600원,5,5
27,BL, eBook     BL  비생산적 관계에 대한 비이성적 고찰 EPUB  완결                              , 라휘 저                                                            , 시크노블                                        , 2023년 01월                                 ,"3,600원",4,4
28,BL, eBook     BL  DASH EPUB  완결                              , 이젠 ijen  저                                                            , W Beast                                        , 2022년 01월                                 ,"4,400원",4,4
29,BL, eBook     BL  인투 더 쓰릴 Into the thrill  EPUB  완결  eBook 크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , leefail 저                                                            , 블루코드                                        , 2020년 01월                                 ,"4,200원",4,4
30,BL, eBook     대여   루비  투명한 사랑의 그릇  한정판  COMIC                              , hitomi 글그림                                                            , 현대지능개발사                                        , 2023년 02월                                 ,"1,440원",4,4
31,BL, eBook     세트   BL  슈가 크러시 러브 Sugar Crush Love   총3권 완결  , 골햄 저                                                            , 문라이트북스                                        , 2023년 01월                                 ,"10,000원",0,0
32,BL, eBook     컬러 연재  영원한 계약 , 해진 글그림                                                            , 앤드비                                        , 2021년 12월                                 ,600원,0,0
33,BL, eBook     BL  저온화상 EPUB  완결                              , 꼿발 저                                                            , BLYNUE 블리뉴                                        , 2021년 11월                                 ,"4,300원",4,4
34,BL, eBook     연재   BL  온 오어 오프  완전판  eBook 크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , A1 그림                                                            , 디앤씨웹툰비즈                                        , 2020년 09월                                 ,500원,4,4
35,BL, eBook     BL  비밀한 연애 EPUB  완결  eBook 크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , 일면식 저                                                            , 시크노블                                        , 2020년 05월                                 ,"4,000원",4,4
36,BL, eBook    라라의 결혼 , 타메코우 글그림                                                            , 블랑코믹스                                        , 2020년 02월                                 ,"3,780원",4,4
