rank,genre,title,writer,company,date,price,star_content,star_edit
1,IT 모발일, eBook    진짜 쓰는 실무 엑셀   유튜브 대표 엑셀 채널  오빠두가 알려 주는 엑셀 함수  보고서 작성  데이터 분석 노하우  PDF                              , 전진권 저                                                            , 제이펍                                        , 2022년 09월                                 ,"14,700원",0,0
2,IT 모발일, eBook    Must Have 코드팩토리의 플러터 프로그래밍   Dart   Flutter 입문부터 실전에 유용한 10가지 앱 개발과 광고와 배포까지 PDF                              , 최지호 저                                                            , 골든래빗                                        , 2022년 12월                                 ,"32,000원",5,5
3,IT 모발일, eBook    면접을 위한 CS 전공지식 노트   디자인 패턴  운영체제  데이터베이스  자료 구조  네트워크  개발자 면접 EPUB                              , 주홍철 저                                                            , 길벗                                        , 2022년 05월                                 ,"16,800원",5,5
4,IT 모발일, eBook    Real MySQL 8 0 1권   개발자와 DBA를 위한 MySQL 실전 가이드  PDF                              , 이성욱 백은빈 저                                                            , 위키북스                                        , 2021년 12월                                 ,"22,000원",0,0
5,IT 모발일, eBook    2023 에듀윌 EXIT 컴퓨터활용능력 1급 실기 기본서 PDF                              , 문혜영 저                                                            , 에듀윌                                        , 2023년 02월                                 ,"32,400원",0,0
6,IT 모발일, eBook    실전에서 바로 쓰는 Next js   SSR부터 SEO  배포까지 확장성 높은 풀스택 서비스 구축 가이드 PDF                              , 미셸 리바 저 박수현 역                                                            , 한빛미디어                                        , 2023년 02월                                 ,"20,800원",0,0
7,IT 모발일, eBook    혼자 공부하는 데이터 분석 with 파이썬   1 1 과외하듯 배우는 데이터 분석 자습서 PDF                              , 박해선 저                                                            , 한빛미디어                                        , 2023년 01월                                 ,"20,800원",0,0
8,IT 모발일, eBook    규칙으로 배우는 임베디드 시스템   CPU 이론 및 펌웨어 개발 규칙 PDF                              , 장선웅 저                                                            , 북랩                                        , 2022년 12월                                 ,"12,600원",0,0
9,IT 모발일, eBook    파이썬을 이용한 비트코인 자동매매   실시간 자동매매 시스템 개발 입문 PDF                              , 유대표 조대표 저                                                            , 파이스탁                                        , 2022년 11월                                 ,"21,600원",0,0
10,IT 모발일, eBook    당당한 디자인 결정을 위한 9가지 방법   가슴으로 낳은 내 UX 디자인 지켜내는 실전 의사소통 전략 EPUB                              , 톰 그리버 저 김민성 곽서희 역                                                            , 한빛미디어                                        , 2022년 01월                                 ,"17,600원",0,0
11,IT 모발일, eBook    한 권으로 읽는 컴퓨터 구조와 프로그래밍   더 나은 소프트웨어 개발을 위한 하드웨어  자료구조  필수 알고리즘 등 프로그래머의 비밀 노트 PDF                              , 조너선 스타인하트 저 오현석 역                                                            , 책만                                        , 2021년 06월                                 ,"28,000원",5,4
12,IT 모발일, eBook    비전공자를 위한 이해할 수 있는 IT 지식   IT시대의 필수 교양서 PDF                              , 최원영 저                                                            , 티더블유아이지                                        , 2021년 01월                                 ,"10,800원",4,3
13,IT 모발일, eBook    혼자 공부하는 머신러닝 딥러닝   1 1 과외하듯 배우는 인공지능 자습서 PDF                              , 박해선 저                                                            , 한빛미디어                                        , 2020년 12월                                 ,"20,800원",5,5
14,IT 모발일, eBook    밑바닥부터 시작하는 딥러닝 3   파이썬으로 직접 구현하며 배우는 딥러닝 프레임워크 PDF                              , 사이토 고키 저 개앞맵시 역                                                            , 한빛미디어                                        , 2020년 11월                                 ,"30,400원",0,0
15,IT 모발일, eBook    이것이 취업을 위한 코딩 테스트다 with 파이썬   취업과 이직을 결정하는 알고리즘 인터뷰 완벽 가이드  C C    자바 코드 제공 PDF                              , 나동빈 저                                                            , 한빛미디어                                        , 2020년 09월                                 ,"27,200원",5,5
16,IT 모발일, eBook    된다  파워포인트 실무의 신   한 번 배우면 평생 시간 버는 입문서 PDF                              , 김봉정 김지훈 박성용 저                                                            , 이지스퍼블리싱                                        , 2019년 12월                                 ,"13,500원",0,0
17,IT 모발일, eBook    스위프트 프로그래밍  3판    객체지향  함수형  프로토콜 지향 패러다임까지 한 번에  PDF                              , 야곰 저                                                            , 한빛미디어                                        , 2019년 10월                                 ,"25,600원",0,0
18,IT 모발일, eBook    모두의 데이터 분석 with 파이썬   실생활 예제로 시작하는 데이터 분석 첫걸음 EPUB                              , 이현아 송석리 저                                                            , 길벗                                        , 2019년 06월                                 ,"12,600원",0,0
19,IT 모발일, eBook    밑바닥부터 시작하는 딥러닝 2   파이썬으로 직접 구현하며 배우는 순환 신경망과 자연어 처리 PDF                              , 사이토 고키 저 개앞맵시 역                                                            , 한빛미디어                                        , 2019년 05월                                 ,"23,200원",0,0
20,IT 모발일, eBook    2023 에듀윌 EXIT 컴퓨터활용능력 1급 필기 초단기끝장 PDF                              , 이상미 문혜영 편저                                                            , 에듀윌                                        , 2023년 02월                                 ,"19,800원",0,0
21,IT 모발일, eBook    모두의 구글 애널리틱스 4   GA4로 하는 디지털 마케팅 데이터 분석  EPUB                              , 김도연 저                                                            , 길벗                                        , 2023년 02월                                 ,"22,400원",0,0
22,IT 모발일, eBook    비즈니스 애널리틱스를 위한 데이터 마이닝 in 파이썬 PDF                              , Nitin R  Patel Peter C  Bruce 피터 게데크 갈리트 시뮤엘리 저 신현정 이성임 조재희 김성범 조성준 조성배 역                                                            , 한빛아카데미                                        , 2023년 02월                                 ,"39,000원",0,0
23,IT 모발일, eBook    맛있는 디자인 포토샵 일러스트레이터 CC 2023   누구나 쉽게 배워 제대로 써먹는 그래픽 입문서 PDF                              , 박정아 윤이사라 저                                                            , 한빛미디어                                        , 2023년 02월                                 ,"18,400원",0,0
24,IT 모발일, eBook    마케터를 위한 구글 애널리틱스 PDF                              , 조하준 저                                                            , 디지털북스                                        , 2023년 02월                                 ,"22,000원",0,0
