yes24_rank,title,yes24_writer,yes24_company,yes24_date,yes24_price,yes24_star_content,yes24_star_edit,yes24_gener,sm_gener
1,      영주의 마녀                                , 글로피 저                                                            , 고렘팩토리                                        , 2023년 01월                                 ,"4,000원",4,4,로맨스,문학
2,      조건  만남  삽화본                                 , 문정민 저                                                            , 로아                                        , 2021년 05월                                 ,"3,000원",4,4,로맨스,문학
3,       세트  오빠 손은 약손  외전 포함   총2권    , 금나래 저                                                            , 텐북                                        , 2021년 05월                                 ,"4,200원",4,4,로맨스,문학
4,      토굴 공주                                   , 함초롱 저                                                            , 제로노블                                        , 2022년 12월                                 ,"3,800원",4,4,로맨스,문학
5,      몸태질                                , 금단 저                                                            , 라떼북                                        , 2023년 02월                                 ,"3,240원",3,3,로맨스,문학
6,      별채에는 불이 꺼지지 않는다                                   , 정은동 저                                                            , 텐북                                        , 2022년 08월                                 ,"2,970원",5,4,로맨스,문학
7,      원래 그랬어                                 , 오드리 저                                                            , 로아                                        , 2023년 02월                                 ,"1,080원",5,4,로맨스,문학
8,      괴물 아가씨와 성기사                                   , 손금 저                                                            , 로즈엔                                        , 2023년 02월                                 ,"3,060원",4,4,로맨스,문학
9,      나체 초밥                                , 탱글탱글 저                                                            , 로튼로즈                                        , 2023년 02월                                 ,990원,0,0,로맨스,문학
10,      불순종 Impure species                                    , 피오렌티 저                                                            , 텐북                                        , 2022년 09월                                 ,"3,600원",4,4,로맨스,문학
11,      구숙  만복을 빌어요                                , 구월류화 저                                                            , 태평                                        , 2023년 02월                                 ,"3,200원",4,4,로맨스,문학
12,      화제의 여학생                                   , 연초 저                                                            , 라떼북                                        , 2019년 02월                                 ,"3,420원",4,4,로맨스,문학
13,      미아                                , 도개비 저                                                            , 봄미디어                                        , 2020년 01월                                 ,"3,800원",4,4,로맨스,문학
14,      임파스토 Impasto                                    , 우지혜 저                                                            , 폴라리스                                        , 2022년 12월                                 ,"3,300원",4,4,로맨스,문학
15,      논 트리거                                   , 몽슈 저                                                            , 플로린                                        , 2022년 03월                                 ,"4,050원",4,4,로맨스,문학
16,      길들여진 건 누구일까                                , 리베냐 저                                                            , 코튼북스                                        , 2022년 10월                                 ,"3,300원",4,4,로맨스,문학
17,      느와르 급발진주의                                , 초록개 저                                                            , 스칼렛                                        , 2023년 02월                                 ,"3,420원",4,4,로맨스,문학
18,      여름의 밀도                                , 채랑비 저                                                            , SOME                                        , 2023년 02월                                 ,"3,690원",3,4,로맨스,문학
19,      마네킹 365                                , 황금뽀찌 저                                                            , 누아르                                        , 2023년 02월                                 ,990원,0,0,로맨스,문학
20,      계략 후배                                , 이리안 저                                                            , 레드립                                        , 2023년 02월                                 ,"1,530원",0,0,로맨스,문학
