rank,genre,title,writer,company,date,price,star_content,star_edit
1,가정 살림, eBook     단독  아이에게 주는 감정 유산   가족심리학자 엄마가 열어준 마음 성장의 힘  단독 선출간   EPUB                              , 이남옥 저                                                            , 라이프앤페이지                                        , 2023년 02월                                 ,"10,710원",0,0
2,가정 살림, eBook     대여  아이에게 주는 감정 유산   가족심리학자 엄마가 열어준 마음 성장의 힘  EPUB                              , 이남옥 저                                                            , 라이프앤페이지                                        , 2023년 02월                                 ,"5,950원",0,0
3,가정 살림, eBook    하버드에서 배운 최강의 책육아   상위 1  문해력을 완성하는 대화식 독서법  EPUB                              , 가토 에이코 저 오현숙 역                                                            , 길벗                                        , 2023년 02월                                 ,"13,200원",0,0
4,가정 살림, eBook    최성애 조벽 교수의 청소년 감정코칭   교사와 부모들을 위한 사랑의 기술 EPUB                              , 조벽 최성애 저                                                            , 해냄출판사                                        , 2012년 07월                                 ,"10,800원",0,0
5,가정 살림, eBook    우리 아이 기질 맞춤 양육 매뉴얼   부모와 아이의 자존감이 함께 올라가는  EPUB                              , 정가은 저                                                            , 서사원                                        , 2022년 11월                                 ,"16,000원",5,5
6,가정 살림, eBook    차일드 코드   내 아이의 특별한 재능을 깨우는 기질 육아의 힘  EPUB                              , 다니엘 딕 저 임현경 역                                                            , 알에이치코리아 RHK                                         , 2022년 11월                                 ,"11,900원",0,0
7,가정 살림, eBook    세상에서 가장 쉬운 본질육아   삶의 근본을 보여주는 부모  삶을 스스로 개척하는 아이 EPUB                              , 지나영 저                                                            , 21세기북스                                        , 2022년 09월                                 ,"15,040원",5,5
8,가정 살림, eBook    초등수학 심화 공부법   평범한 아이를 고등수학 1등급 만드는 결정적인 힘 EPUB                              , 류승재 저                                                            , 블루무스                                        , 2022년 09월                                 ,"13,860원",0,0
9,가정 살림, eBook    수학 잘하는 아이는 이렇게 공부합니다 EPUB                              , 류승재 저                                                            , 블루무스                                        , 2021년 02월                                 ,"11,760원",0,0
10,가정 살림, eBook     단독  도시맘은 어떻게 시골에서 영재를 키웠나   시골 유학으로 영재원에 합격한 릴리의 학습 비법 단독 선출간   EPUB                              , 한혜진 릴리맘  김지우 릴리  저                                                            , 봄름                                        , 2022년 12월                                 ,"10,620원",0,0
11,가정 살림, eBook    친절한 와인 테이스팅 기초지식 EPUB                              , 구보 마사시 저 최시원 역 정하봉 감수                                                            , 터닝포인트                                        , 2023년 01월                                 ,"14,000원",0,0
12,가정 살림, eBook    어머니  사교육을 줄이셔야 합니다   지속가능  실천가능한 사교육 줄이는 방법 EPUB                              , 정승익 저                                                            , 메이트북스                                        , 2023년 01월                                 ,"10,200원",4,4
13,가정 살림, eBook    내 아이를 위한 감정코칭   최성애  존 가트맨 박사의 EPUB                              , 조벽 존 가트맨 최성애 저                                                            , 해냄출판사                                        , 2020년 02월                                 ,"10,800원",0,0
14,가정 살림, eBook    0세부터 시작하는 두뇌 발달 놀이   0 36개월 아기랑 엄마랑 생애 첫 놀이 100 EPUB                              , 김가희 단아맘  저                                                            , 그린북                                        , 2022년 06월                                 ,"12,950원",0,0
