rank,genre,title,writer,company,date,price,star_content,star_edit
1,경제 경영, eBook    챗GPT   마침내 찾아온 특이점 PDF                              , 반병현 저                                                            , 생능북스                                        , 2023년 02월                                 ,"11,000원",0,0
2,경제 경영, eBook    주식투자 최적의 타이밍을 잡는 법 EPUB                              , 스탠 와인스타인 저 우승택 역                                                            , 플로우                                        , 2021년 02월                                 ,"15,400원",5,5
3,경제 경영, eBook    트렌드 코리아 2023   서울대 소비트렌드분석센터의 2023 전망 EPUB                              , 김난도 이준영 이향은 전미영 최지혜 이수진 권정윤 한다혜 이혜원 추예린 저                                                            , 미래의창                                        , 2022년 10월                                 ,"13,300원",5,5
4,경제 경영, eBook    개미 5년  세후 55억 EPUB                              , 성현우 저                                                            , 모루                                        , 2022년 02월                                 ,"12,000원",0,0
5,경제 경영, eBook    부자의 그릇   돈을 다루는 능력을 키우는 법 EPUB                              , 이즈미 마사토 저 김윤수 역                                                            , 다산북스                                        , 2020년 12월                                 ,"10,500원",4,4
6,경제 경영, eBook    생각에 관한 생각   우리의 행동을 지배하는 생각의 반란 EPUB                              , 대니얼 카너먼 저 이창신 역                                                            , 김영사                                        , 2018년 04월                                 ,"15,750원",4,4
7,경제 경영, eBook    레버리지   자본주의 속에 숨겨진 부의 비밀 EPUB                              , 롭 무어 저 김유미 역                                                            , 다산북스                                        , 2023년 02월                                 ,"11,340원",0,0
8,경제 경영, eBook     단독  디테일의 발견   고객을 사로잡은 101가지 한 끗 단독 선출간   EPUB                              , 생각노트 저                                                            , 위즈덤하우스                                        , 2023년 02월                                 ,"11,340원",0,0
9,경제 경영, eBook    초거대 위협   앞으로 모든 것을 뒤바꿀 10가지 위기 EPUB                              , 누리엘 루비니 저 박슬라 역                                                            , 한국경제신문                                        , 2023년 02월                                 ,"20,000원",0,0
10,경제 경영, eBook    아파트 투자는 사이클이다   주식과 비교하면 더 쉽게 이해되는 EPUB                              , 이현철 저                                                            , 여의도책방                                        , 2022년 11월                                 ,"14,000원",5,5
11,경제 경영, eBook    스틱    1초 만에 착 달라붙는 메시지  그 안에 숨은 6가지 법칙 EPUB                              , 댄 히스 칩 히스 저 박슬라 안진환 역                                                            , 웅진지식하우스                                        , 2022년 10월                                 ,"11,340원",5,5
12,경제 경영, eBook    실전투자의 비밀   실전 수익률 투자대회 총 12회 수상자의 EPUB                              , 김형준 저                                                            , 이레미디어                                        , 2021년 06월                                 ,"15,400원",5,5
13,경제 경영, eBook    돈의 심리학 EPUB                              , 모건 하우절 저   이지연 역 저                                                            , 인플루엔셜                                        , 2021년 01월                                 ,"14,800원",4,4
14,경제 경영, eBook    돈의 속성 EPUB                              , 김승호 저                                                            , 스노우폭스북스                                        , 2020년 06월                                 ,"12,460원",4,4
15,경제 경영, eBook    부자 아빠 가난한 아빠 20주년 특별 기념판  부자 아빠 가난한 아빠 1 개정증보판  EPUB                              , 로버트 기요사키 저 안진환 역                                                            , 민음인                                        , 2018년 04월                                 ,"11,900원",4,4
16,경제 경영, eBook    5천만 원으로 시작하는 미라클 기적의 재개발 재건축   세금 금리 청약에서 자유로운 재개발 투자의 마법 EPUB                              , 장미진 저                                                            , 리더스북                                        , 2023년 02월                                 ,"12,600원",0,0
17,경제 경영, eBook    나는 경매로 1년 만에 인생을 역전했다   29억 자산가 환경미화원의 월 1 000만 원 현금흐름 만드는 소액 부동산 전략  EPUB                              , 구범준 저                                                            , 길벗                                        , 2023년 02월                                 ,"16,000원",0,0
18,경제 경영, eBook    마케팅 설계자   자동 수익을 실현하는 28가지 마케팅 과학 EPUB                              , 러셀 브런슨 저 이경식 역                                                            , 윌북 willbook                                         , 2022년 12월                                 ,"17,360원",0,0
19,경제 경영, eBook    전설로 떠나는 월가의 영웅   주식투자에서 상식으로 성공하는 법 EPUB                              , 피터 린치 존 로스차일드 저 이건 역 홍진채 감수                                                            , 국일증권경제연구소                                        , 2021년 08월                                 ,"18,200원",4,3
20,경제 경영, eBook    주식투자의 지혜 EPUB                              , 천장팅 저 양성희 김재현 역 홍진채 감수                                                            , 에프엔미디어                                        , 2021년 06월                                 ,"12,000원",4,4
21,경제 경영, eBook    뇌  욕망의 비밀을 풀다   인간의 소비심리를 지배하는 뇌과학의 비밀 EPUB                              , 한스 게오르크 호이젤 저 한윤진 강영옥 김신종 역                                                            , 비즈니스북스                                        , 2019년 09월                                 ,"12,600원",4,4
22,경제 경영, eBook    부자 아빠 가난한 아빠 2 EPUB                              , 로버트 기요사키 샤론 레흐트 저 형선호 역                                                            ,  주 민음인                                        , 2012년 12월                                 ,"10,500원",4,4
23,경제 경영, eBook    존 리  새로운 10년의 시작   개인의 경제독립이 금융강국을 만든다 EPUB                              , 존리 저                                                            , 김영사                                        , 2023년 02월                                 ,"9,450원",0,0
24,경제 경영, eBook    엘리어트 파동이론 마스터 PDF                              , 글렌 닐리 저 정인지 역                                                            , 원앤원북스                                        , 2023년 02월                                 ,"16,200원",0,0
25,경제 경영, eBook    1페이지 마케팅 플랜   바로 써먹고  바로 돈이 되는 EPUB                              , 앨런 딥 저 홍석윤 역                                                            , 알파미디어                                        , 2023년 01월                                 ,"12,500원",0,0
26,경제 경영, eBook    장단기 투자의 비밀   세계트레이딩월드컵 신기록 보유자의 마켓 사이클과 최적의 타이밍 매수법 EPUB                              , 래리 윌리엄스 저 이은주 역                                                            , 이레미디어                                        , 2023년 01월                                 ,"17,500원",1,1
27,경제 경영, eBook    내 통장 구제하기 프로젝트   30만 원으로 시작한 만화가의 노동 탈출 일대기 EPUB                              , 이삭 저                                                            , 알에이치코리아 RHK                                         , 2022년 12월                                 ,"11,760원",0,0
28,경제 경영, eBook    웹 3 0 넥스트 이코노미   불황 속 당신의 돈과 삶을 완전히 바꿀 생존경제  EPUB                              , 이신혜 에리카 강 권헌영 김승주 이승환 윤준탁 신동형 정지훈 김미경 저                                                            , 어웨이크북스                                        , 2022년 11월                                 ,"12,600원",5,5
29,경제 경영, eBook    브랜드로 남는다는 것   홍성태 교수의 특별한 경영수업 EPUB                              , 홍성태 저                                                            , 북스톤                                        , 2022년 11월                                 ,"18,000원",0,0
30,경제 경영, eBook    나의 월급 독립 프로젝트  리마스터 에디션    3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계 EPUB                              , 유목민 저                                                            , 리더스북                                        , 2022년 11월                                 ,"13,300원",4,4
31,경제 경영, eBook    세계미래보고서 2023  메가 크라이시스 이후 새로운 부의 기회    세계적인 미래연구기구  밀레니엄 프로젝트 의 2023 대전망  EPUB                              , 박영숙 제롬 글렌 저                                                            , 비즈니스북스                                        , 2022년 10월                                 ,"12,600원",0,0
32,경제 경영, eBook    엘리어트 파동이론   기술적 분석의 시작과 끝  EPUB                              , 랠프 넬슨 엘리어트 저 김태훈 역                                                            , 페이지2                                        , 2022년 09월                                 ,"12,500원",0,0
33,경제 경영, eBook    라오어의 미국주식 밸류 리밸런싱   레버리지가 아니면 평범한 인생을 바꿀 수 없다 EPUB                              , 라오어 저                                                            , 알키                                        , 2022년 09월                                 ,"12,600원",0,0
34,경제 경영, eBook    매매의 심리   박병창의 돈을 부르는 EPUB                              , 박병창 저                                                            , 포레스트북스                                        , 2022년 08월                                 ,"11,000원",4,4
35,경제 경영, eBook    스토리만이 살길   콘텐츠 전쟁에서 승리하는 27가지 스토리 법칙 EPUB                              , 리사 크론 저 홍한결 역                                                            , 부키                                        , 2022년 06월                                 ,"12,500원",0,0
36,경제 경영, eBook    나의 첫 ETF 포트폴리오 EPUB                              , 송민섭 수페TV  저                                                            , 토네이도                                        , 2022년 05월                                 ,"13,600원",0,0
37,경제 경영, eBook    부의 인문학  20만부 기념 개정증보판    슈퍼리치의 서재에서 찾아낸 부자의 길 EPUB                              , 브라운스톤 우석  저                                                            , 오픈마인드                                        , 2022년 03월                                 ,"11,900원",0,0
38,경제 경영, eBook    피터 린치의 이기는 투자   월가의 영웅  피터 린치의 개인 투자자를 위한 주식 펀드 투자법  EPUB                              , 피터 린치 존 로스차일드 저 권성희 역 이상건 감수                                                            , 흐름출판                                        , 2021년 12월                                 ,"20,000원",5,5
39,경제 경영, eBook    추세 매매 절대지식 EPUB                              , 브렌트 펜폴드 저 정진근 역                                                            , 에디터                                        , 2021년 12월                                 ,"18,000원",5,5
40,경제 경영, eBook    나는 주식 대신 달러를 산다   성공률 100  투자자의 기발한 파이프라인 EPUB                              , 박성현 저                                                            , 알에이치코리아 RHK                                         , 2021년 06월                                 ,"11,200원",3,3
41,경제 경영, eBook    주식 공부 5일 완성   마흔 살에 시작하는 EPUB                              , 박민수 샌드타이거샤크  저                                                            , 비즈니스북스                                        , 2021년 01월                                 ,"12,600원",4,4
42,경제 경영, eBook    시간여행TV의 테마주백과사전 EPUB                              , 시간여행TV 저                                                            , 시간여행티비주식회사                                        , 2021년 01월                                 ,"13,500원",5,4
43,경제 경영, eBook    엑시트 EXIT   당신의 인생을 바꿔 줄 부자의 문이 열린다  EPUB                              , 송희창 저                                                            , 지혜로                                        , 2021년 01월                                 ,"12,000원",5,4
44,경제 경영, eBook    백만장자 시크릿  개정판    부를 끌어당기는 17가지 매뉴얼 EPUB                              , 하브 에커 저 나선숙 역                                                            , 알에이치코리아 RHK                                         , 2020년 07월                                 ,"11,200원",4,4
45,경제 경영, eBook    현명한 투자자 2 해제   한국 주식시장에서도 증명된 벤저민 그레이엄 이론 EPUB                              , 신진오 저                                                            , 국일증권경제연구소                                        , 2020년 07월                                 ,"11,900원",4,4
46,경제 경영, eBook    현명한 투자자 1   벤저민 그레이엄 직접 쓴 마지막 개정판 EPUB                              , 벤저민 그레이엄 저 이건 역 신진오 감수                                                            , 국일증권경제연구소                                        , 2020년 07월                                 ,"16,100원",4,4
47,경제 경영, eBook    엘리어트 파동이론   시장의 움직임을 예측하는 단 하나의 열쇠 EPUB                              , 로버트 R  프렉터 2세 저                                                            , 이레미디어                                        , 2019년 07월                                 ,"11,830원",0,0
48,경제 경영, eBook    진화된 마케팅 그로스 해킹   프로세스와 실행 전략 바이블 EPUB                              , 션 엘리스 모건 브라운 저 이영래 이영구 역                                                            , 골든어페어                                        , 2017년 11월                                 ,"10,500원",4,4
49,경제 경영, eBook    차트의 기술  개정판    한 권으로 끝내는 기술적 분석의 모든 것 EPUB                              , 김정환 저                                                            , 이레미디어                                        , 2017년 01월                                 ,"15,400원",4,4
50,경제 경영, eBook    일론 머스크   지구상에서 가장 먼저 미래에 도착한 남자  일론 머스크가 제시하는 미래의 프레임 EPUB                              , 애슐리 반스 저 안기순 역                                                            , 김영사                                        , 2015년 05월                                 ,"11,250원",4,4
51,경제 경영, eBook     단독  일을 리디자인하라   변화의 시대에 직원의 만족도와 조직의 성과를 높이는 실전 전략  단독 선출간   EPUB                              , 린다 그래튼 저 김희주 역                                                            , 클                                        , 2023년 02월                                 ,"14,850원",0,0
52,경제 경영, eBook    실리콘밸리의 MZ들   일단 공정할 것 EPUB                              , 킴 스콧 저 석혜미 역                                                            , 청림출판                                        , 2023년 02월                                 ,"15,400원",0,0
53,경제 경영, eBook    리더의 태도   리더의 차이는 어디에서 나오는가 EPUB                              , 문성후 저                                                            , 카시오페아                                        , 2023년 02월                                 ,"12,250원",0,0
54,경제 경영, eBook    자산을 늘리는 상속 비법   신재열 세무사가 알려주는  EPUB                              , 신재열 저                                                            , 나비의활주로                                        , 2023년 01월                                 ,"11,340원",0,0
55,경제 경영, eBook    저는 부동산경매가 처음인데요  완전개정판  EPUB                              , 신정헌 저                                                            , 한빛비즈                                        , 2023년 02월                                 ,"13,860원",0,0
