rank,genre,title,writer,company,date,price,star_content,star_edit
1,국어 외국어, eBook    미국인 사용빈도 다반사 영어회화 구동사 PDF                              , 김아영 Jennifer Grill 저                                                            , 사람in                                        , 2023년 02월                                 ,"12,600원",0,0
2,국어 외국어, eBook    입이 트이는 영어 2023년 2월호 PDF                              ,                                  이현석                                                            , 동아출판                                        , 2023년 01월                                 ,"8,800원",5,5
3,국어 외국어, eBook    진짜 미국 영어 2023년 2월호 PDF                              ,                                  김교포  로라                                                            , 동아출판                                        , 2023년 01월                                 ,"6,400원",5,5
4,국어 외국어, eBook    거의 모든 일상 표현의 영어 PDF                              , 케빈 강 해나 변 저                                                            , 사람in                                        , 2022년 11월                                 ,"11,900원",5,5
5,국어 외국어, eBook    스피킹 코치 영어회화 패턴 100 PDF                              , 김영욱 저                                                            , 파고다북스                                        , 2021년 09월                                 ,"12,000원",0,0
6,국어 외국어, eBook    토익900점 이 영단어만 알면 OK EPUB                              , 진세영 저                                                            , 북아띠                                        , 2020년 11월                                 ,"1,000원",4,4
7,국어 외국어, eBook    일본어 문법 무작정 따라하기 epub3 0    하나하나 이해하기 쉬운 일문법 No 1 EPUB 3 0   크레마 터치  PC  크레마원 기본뷰어 이용불가                              , 후지이 아사리 저                                                            , 길벗이지톡                                        , 2023년 02월                                 ,"20,800원",0,0
8,국어 외국어, eBook     epub3 0 영어 회화 핵심패턴 233  2023개정판  EPUB 3 0   크레마 터치  PC  크레마원 기본뷰어 이용불가                              , 백선엽 저                                                            , 길벗이지톡                                        , 2023년 01월                                 ,"14,400원",5,5
9,국어 외국어, eBook    문장으로 끝내는 HSK 단어장 6급   2500개 단어를 640문장으로 끝내기 PDF                              , 최은정 저                                                            , 시사중국어사                                        , 2022년 12월                                 ,"12,000원",0,0
10,국어 외국어, eBook    키위엔 영어회화 하루 5분의 기적   기초도 3개월이면 회화가 되는 특허 받은 영어 학습법 PDF                              , 박강준 저                                                            , 키위엔                                        , 2022년 12월                                 ,"13,650원",0,0
11,국어 외국어, eBook    해커스 그래머 게이트웨이 베이직  Grammar Gateway Basic    기초영어 문법 한달 완성 영문법 영어회화 영작 동시학습 PDF                              , David Cho 저                                                            , 해커스어학연구소                                        , 2022년 08월                                 ,"10,430원",0,0
12,국어 외국어, eBook    거의 모든 행동 표현의 영어 PDF                              , 서영조 저                                                            , 사람in                                        , 2022년 03월                                 ,"11,200원",4,4
13,국어 외국어, eBook    거의 모든 숫자 표현의 영어 PDF                              , 유현정 조나단 데이비스 저                                                            , 사람in                                        , 2020년 06월                                 ,"10,500원",5,5
14,국어 외국어, eBook    한 권으로 끝내는 해커스 토익 실전 LC RC  모의고사 해설집  PDF                              , 해커스 어학연구소 저                                                             , 해커스어학연구소                                        , 2020년 05월                                 ,"13,520원",4,4
15,국어 외국어, eBook    일드 일본어회화 핵심패턴 233 EPUB                              , 우승희 저                                                            , 길벗이지톡                                        , 2018년 08월                                 ,"11,200원",5,5
16,국어 외국어, eBook    목걸이 The Necklace   영어로 읽는 세계명작 14 EPUB                              , 기 드 모파상 저                                                            , 붉은나무                                        , 2017년 06월                                 ,"1,000원",5,5
17,국어 외국어, eBook    모파상 단편집 Short Stories of Guy De Maupassant   착한문고 영어소설 049 PDF  착한문고 영어소설                             , 기 드 모파상 저                                                            , u paper 유페이퍼                                         , 2014년 12월                                 ,500원,0,0
18,국어 외국어, eBook    원서  읽 힌 다   번역가 강주헌의 문법 도구 사용법 EPUB                              , 강주헌 저                                                            , 길벗이지톡                                        , 2023년 02월                                 ,"18,400원",0,0
19,국어 외국어, eBook    해커스 토플 액츄얼 테스트 라이팅  Hackers TOEFL Actual Test Writing      PDF                              , 해커스 어학연구소 저                                                            , 해커스어학연구소                                        , 2023년 01월                                 ,"18,400원",0,0
20,국어 외국어, eBook    해커스 토플 액츄얼 테스트 스피킹  Hackers TOEFL Actual Test Speaking    2019년 8월 NEW TOEFL iBT 완벽 반영 고득점을 위한 토플 마무리 실전서 PDF                              , David Cho 저                                                            , 해커스어학연구소                                        , 2023년 01월                                 ,"18,400원",0,0
21,국어 외국어, eBook    해커스 토플 액츄얼 테스트 리스닝  Hackers TOEFL Actual Test Listening    2019년 8월 NEW TOEFL iBT 완벽 반영 고득점을 위한 토플 마무리 실전서 PDF                              , David Cho 저                                                            , 해커스어학연구소                                        , 2023년 01월                                 ,"15,600원",0,0
22,국어 외국어, eBook    해커스 토플 액츄얼 테스트 리딩  Hackers TOEFL Actual Test Reading    TOEFL iBT 최신출제경향 반영  고득점을 위한 토플 마무리 실전서  iBT 토플 실전모의고사 7회분 제공 교재 6회분 온라인 1회분  PDF                              , David Cho 저                                                            , 해커스어학연구소                                        , 2023년 01월                                 ,"15,600원",0,0
23,국어 외국어, eBook    START ENGLISH 2023년 2월호 PDF                              ,                                  이보영                                                            , 동아출판                                        , 2023년 01월                                 ,"6,400원",0,0
24,국어 외국어, eBook    중급 중국어 2023년 2월호 PDF                              ,                                  홍상욱                                                            , 동아출판                                        , 2023년 01월                                 ,"5,600원",5,5
25,국어 외국어, eBook    POWER ENGLISH 2023년 2월호 PDF                              ,                                  크리스틴 조                                                            , 동아출판                                        , 2023년 01월                                 ,"6,400원",0,0
26,국어 외국어, eBook    영단어 이미지 기억법 PDF                              , 전왕 저 아영 그림 박 프란세스 Jeffrey Fuller 감수                                                            , 북랩                                        , 2023년 01월                                 ,"15,400원",0,0
27,국어 외국어, eBook    소리튠 영어혁명   30년 영알못도 귀가 뚫리고 입이 트이는 EPUB                              , 이정은 저                                                            , 미다스북스 리틀미다스                                         , 2023년 01월                                 ,"13,500원",0,0
