rank,genre,title,writer,company,date,price,star_content,star_edit
1,대학교재, eBook     대여  세네카의 인생론 30  쿠폰 받아 구입하세요  EPUB                              , 루키우스 안나이우스 세네카 저 정윤희 역                                                            , 소울메이트                                        , 2016년 09월                                 ,"3,900원",3,3
2,대학교재, eBook    학문의 권장함 EPUB                              , 후쿠자와 유키치 저                                                            , 해성전자북                                        , 2018년 11월                                 ,"4,000원",5,5
3,대학교재, eBook    비언어성 학습장애  아스퍼거 증후군  개정판  PDF                              , 신석호 저                                                            , 시그마프레스                                        , 2016년 06월                                 ,"8,400원",0,0
4,대학교재, eBook    브라질의 역사   중남미지역원 학술총서 13 PDF  중남미지역원 학술총서                             , 김영철 저                                                            , 이담북스 이담Books                                         , 2016년 06월                                 ,"8,400원",0,0
5,대학교재, eBook    실전 상가투자 실전 꼬마빌딩 투자 PDF                              , 손오공 양경수 저                                                            , 도서출판 북마을                                        , 2023년 01월                                 ,"17,000원",0,0
6,대학교재, eBook    마가리타 27호 PDF                              , 양승채 저                                                            , 다다북스                                        , 2023년 01월                                 ,"5,000원",0,0
7,대학교재, eBook    나의 초등영어교육 접근법 PDF                              , 손중선 저                                                            , 한국문화사                                        , 2022년 12월                                 ,"19,000원",0,0
8,대학교재, eBook    보육교사 장기 미종사자 직무교육 PDF                              , 윤매자 하수연 정연옥 안창희 김정희 공저                                                            , 공동체                                        , 2022년 12월                                 ,"12,000원",0,0
9,대학교재, eBook    음향음성학 기초매뉴얼 PDF                              , Joan Baart 저 조현관 역                                                            , 한국문화사                                        , 2022년 05월                                 ,"15,000원",0,0
10,대학교재, eBook    영어 수업   이론과 실제가 만날 때 PDF                              , 임수연 이영아 안경자 황필아 공저                                                            , 한국문화사                                        , 2022년 08월                                 ,"19,000원",0,0
11,대학교재, eBook    자율주행자동차 통행규칙가이드라인 연구 PDF                              , 경찰청 저                                                            , 진한엠앤비                                        , 2022년 08월                                 ,"10,000원",0,0
12,대학교재, eBook    농업용 방제드론   초심자부터 전문 방제사까지   초심자부터 전문 방제사까지  PDF                              , 양영식 이재원 류영기 박장환 공저                                                            ,  주 골든벨                                        , 2022년 06월                                 ,"25,200원",0,0
13,대학교재, eBook    고급 영양학   영양소대사의 이해를 돕는  3판  PDF                              , 이보경 김숙희 변기원 권종숙 김경민 저                                                            ,  주 교문사                                        , 2021년 08월                                 ,"23,500원",0,0
14,대학교재, eBook    솔리드웍스 50시간 완성  조립 도면편  PDF                              , 신동진 저                                                            , 피앤피북                                        , 2022년 06월                                 ,"8,900원",0,0
15,대학교재, eBook    비요     PDF                              , 강남주 저                                                            , 푸른사상                                        , 2022년 05월                                 ,"19,000원",0,0
16,대학교재, eBook    빅데이터 SPSS 최신 분석기법 신경망  SVM  랜덤포레스트 편   신경망  SVM  랜덤포레스트 편 PDF                              , 조용준 저                                                            ,  주 한나래플러스                                        , 2022년 04월                                 ,"18,000원",0,0
17,대학교재, eBook    사회복지조사론  2판  PDF                              , 김진숙 저                                                            , 도서출판 신정                                        , 2022년 06월                                 ,"22,000원",0,0
18,대학교재, eBook    유아교사를 위한 아동미술의 이론과 실제   유아교사를 위한   PDF                              , 윤애희 저                                                            , 도서출판 파란마음                                        , 2022년 02월                                 ,"18,000원",0,0
19,대학교재, eBook    새로운 PCB 제조기술입문  제6판  PDF                              , 홍순관 저                                                            , 복두출판사                                        , 2022년 03월                                 ,"14,000원",0,0
20,대학교재, eBook    마이어스의 심리학개론  제13판  PDF                              , 데이비드 G  마이어스 C  Nathan DeWall 저 신현정 김비아 역                                                            , 시그마프레스                                        , 2022년 03월                                 ,"23,100원",0,0
