rank,genre,title,writer,company,date,price,star_content,star_edit
1,라이트노벨, eBook    전생했더니 슬라임이었던 건에 대하여  , 후세 저   밋츠바 그림   도영명 역                                                            , 소미미디어                                        , 2020년 08월                                 ,"8,400원",4,4
2,라이트노벨, eBook    여성향 게임 세계는 모브에게 가혹한 세계입니다 , 미시마 요무 저   몬다 그림   주승현 역                                                            , S노벨 플러스                                        , 2020년 10월                                 ,"7,000원",4,4
3,라이트노벨, eBook    정령환상기   전장의 교향곡                             , 키타야마 유리 저    이은혜 역 저                                                            , S노벨                                        , 2020년 09월                                 ,"5,000원",4,4
4,라이트노벨, eBook    가끔씩 툭하고 러시아어로 부끄러워하는 옆자리의 아랴 양 , SUN SUN SUN 저   모모코 그림   이승원 역                                                            , 엘노벨                                        , 2023년 02월                                 ,"4,950원",0,0
5,라이트노벨, eBook    의매생활 , 미카와 고스트 저   Hiten 그림   박경용 역                                                             , 엘노벨                                        , 2023년 02월                                 ,"4,950원",0,0
6,라이트노벨, eBook    옆집 천사님 때문에 어느샌가 인간적으로 타락한 사연 , 사에키상 저   하네코토 그림   JYH 역                                                            , 노블엔진                                        , 2021년 03월                                 ,"9,500원",4,4
7,라이트노벨, eBook    86  에이티식스    죽음이여  오만하지 말지어다                             , 아사토 아사토 저   시라비 그림   한신남 역 저                                                            , 노블엔진                                        , 2020년 01월                                 ,"4,500원",4,4
8,라이트노벨, eBook    무직전생 , 리후진 나 마고노테 저   시로타카 그림   한신남 역                                                            , 학산문화사 단행본                                         , 2020년 04월                                 ,"5,000원",4,4
9,라이트노벨, eBook    진화의 열매 , 미쿠 저   U35 그림   송재희 역                                                            , 엘노벨                                        , 2020년 08월                                 ,"4,950원",4,4
10,라이트노벨, eBook    터무니없는 스킬로 이세계 방랑 밥 , 에구치 렌 저   마사 그림   이신 역                                                             , S노벨 플러스                                        , 2020년 05월                                 ,"7,000원",4,4
11,라이트노벨, eBook    약사의 혼잣말 , 휴우가 나츠 저   시노 토우코 그림                                                            , 학산문화사                                        , 2020년 03월                                 ,"7,000원",4,4
12,라이트노벨, eBook    이세계 유유자적 농가 , 나이토 키노스케 저   야스모 그림   이원명 역                                                            , 노블엔진                                        , 2020년 06월                                 ,"5,850원",3,3
13,라이트노벨, eBook    비극의 원흉이 되는 최강악역 최종보스 여왕은 국민을 위해 헌신합니다 , 텐이치 저   스즈노스케 그림   유시우 역                                                            , 로지                                        , 2022년 12월                                 ,"6,300원",4,5
14,라이트노벨, eBook    VR 에로게임을 하다가 이세계에 전생했으니  미소녀 마왕을 노예로 삼는다 , 니시나 아사마루 저                                                            , 시프트노벨                                        , 2022년 10월                                 ,"3,600원",0,0
15,라이트노벨, eBook    비탄의 망령은 은퇴하고 싶다 , 츠키카게 저   치코 그림   천선필 역                                                            , S노벨 플러스                                        , 2020년 11월                                 ,"7,000원",4,4
16,라이트노벨, eBook    드래곤X프린세스X블레이드 EPUB  완결                              , 오버정우기 저   보라 그림                                                            , 디앤씨미디어 D C미디어                                         , 2018년 06월                                 ,"3,300원",0,0
17,라이트노벨, eBook    문호 스트레이독스   다자이  추야 15세                             , 아사기리 카프카 저   하루카와 산고 그림   박수진 역                                                            , 노블엔진                                        , 2020년 07월                                 ,"5,400원",4,4
18,라이트노벨, eBook    마도구사 달리아는 고개 숙이지 않아 , 아마기시 히사야 저                                                            , 시프트노벨                                        , 2020년 08월                                 ,"5,000원",4,4
19,라이트노벨, eBook    던전에서 만남을 추구하면 안 되는 걸까  , 오모리 후지노 저   김완 역   야스다 스즈히토 그림                                                            , 소미미디어                                        , 2019년 09월                                 ,"5,700원",4,4
20,라이트노벨, eBook    대장간에서 시작하는 이세계 슬로 라이프 , 타마마루 저                                                            , 시프트노벨                                        , 2022년 12월                                 ,"5,400원",4,4
21,라이트노벨, eBook    수염을 깎다  그리고 여고생을 줍다  Each Stories EPUB                              , 시메사바 저 부타 그림                                                            , 학산문화사                                        , 2022년 12월                                 ,"6,000원",5,5
22,라이트노벨, eBook    망국의 정복자   마왕이 세계를 정복하려는 것 같습니다                             , 후데오르카 저                                                            , 시프트노벨                                        , 2022년 11월                                 ,"5,400원",4,3
23,라이트노벨, eBook    아싸인 내게 벌칙 게임으로 고백해 온 갸루가 아무리 봐도 나한테 반한 것 같다 , 유이시 글   카가치 사쿠 그림   이소정 역                                                             , S노벨                                        , 2022년 10월                                 ,"5,000원",0,0
24,라이트노벨, eBook    전생 왕녀와 천재 영애의 마법 혁명 , 카라스 피에로 저   키사라기 유리 그림   송재희 역                                                            , 엘노벨                                        , 2022년 04월                                 ,"5,000원",5,5
25,라이트노벨, eBook    다른 사람과 하는 러브코미디는 용서하지 않을 거니까 , 하바 라쿠토 저   이코모치 그림   현노을 역                                                             , S노벨                                        , 2021년 08월                                 ,"5,000원",0,0
26,라이트노벨, eBook    아무래도 제 몸은 완전무적인 것 같아요 , 챠츠후사 저   후미 그림   박춘상 역                                                            , S노벨 플러스                                        , 2021년 06월                                 ,"7,000원",5,5
27,라이트노벨, eBook    하이큐   소설판 , 호시 키요코 저   후루다테 하루이치 원저   양혜석 역                                                            , 대원씨아이 DCW                                        , 2021년 05월                                 ,"5,000원",4,4
28,라이트노벨, eBook    어서 오세요 실력지상주의 교실에 2학년 편 , 키누가사 쇼고 저   토모세   사쿠 그림   조민정 역                                                            , S노벨                                        , 2021년 03월                                 ,"5,000원",5,5
29,라이트노벨, eBook    노 게임 노 라이프   게이머 남매는 한 턴 쉬겠다는데요                             , 카미야 유우  저                                                            , 노블엔진                                        , 2018년 07월                                 ,"5,000원",4,4
30,라이트노벨, eBook    아콰터파나 EPUB  완결                              , 서지현 저                                                            , 노블오즈                                        , 2016년 07월                                 ,"3,000원",4,4
31,라이트노벨, eBook    후궁의 까마귀 , Kouko Shirakawa 저                                                            , 제이노블 퍼플                                        , 2020년 11월                                 ,"3,500원",4,4
32,라이트노벨, eBook    이세계는 스마트폰과 함께 , 후유하라 파토라 저   우사츠카 에이지 그림 저                                                            , 노블엔진                                        , 2020년 08월                                 ,"7,000원",4,4
33,라이트노벨, eBook    이세계 요리의 길  , EDA 저   코치모 그림   이정민 역                                                            , 소미미디어                                        , 2020년 05월                                 ,"7,000원",4,4
34,라이트노벨, eBook    악역 영애이기 때문에 최종 보스를 길러보았습니다 , Sarasa Nagase 저                                                            , 제이노블 퍼플                                        , 2020년 05월                                 ,"3,150원",4,4
35,라이트노벨, eBook    가챠를 돌려 동료를 늘리고 최강의 미소녀 군단을 만들자 , 청쿠루리 글   이세카와 야스타카 그림   강유정 역                                                            , S노벨 플러스                                        , 2020년 06월                                 ,"7,000원",4,4
36,라이트노벨, eBook    Re   제로부터 시작하는 이세계 생활   율리우스 기행기                             , 나가츠키 탓페이 저   오츠카 신이치로 그림   정홍식 역                                                            , 노블엔진                                        , 2020년 09월                                 ,"5,000원",4,4
37,라이트노벨, eBook    거미입니다만  문제라도  , 바바 오키나 저   키류 츠카사 그림   김성래 역                                                            , 디앤씨미디어 D C미디어                                         , 2020년 09월                                 ,"7,000원",4,4
38,라이트노벨, eBook    신은 유희에 굶주려있다  , 사자네 케이 저   토모세 토이로 그림   김덕진 역                                                            , 엘노벨                                        , 2023년 02월                                 ,"4,950원",0,0
39,라이트노벨, eBook     묶음  대장간에서 시작하는 이세계 슬로 라이프  총2권 미완결  , 타마마루 저                                                            , 시프트노벨                                        , 2022년 12월                                 ,"12,000원",0,0
40,라이트노벨, eBook     세트  용사상호조합 교류형게시판  총3권 완결  , 오케무라 저   KASEN 그림 저                                                            , 노블엔진                                        , 2017년 08월                                 ,"10,780원",0,0
41,라이트노벨, eBook     묶음  86  에이티식스   총5권 미완결  , 아사토 아사토 저   시라비 그림   한신남 역 저                                                            , 노블엔진                                        , 2023년 02월                                 ,"15,750원",0,0
42,라이트노벨, eBook     묶음  이세계 유유자적 농가  총5권 미완결  , 나이토 키노스케 저   야스모 그림   이원명 역 저                                                            , 노블엔진                                        , 2019년 10월                                 ,"22,750원",0,0
43,라이트노벨, eBook    복수를 갈망하는 최강 용사는  어둠의 힘으로 섬멸 무쌍한다 , 오노나타 마니마니 저   아라야 그림   손종근 역                                                             , S노벨 플러스                                        , 2023년 01월                                 ,"7,000원",0,0
44,라이트노벨, eBook    전학 간 학교의 청순가련한 미소녀가 옛날에 남자라고 생각해서 같이 놀던 소꿉친구였던 일 , 히바리유 글   시소 그림   손종근 역                                                             , S노벨                                        , 2022년 11월                                 ,"5,000원",0,0
45,라이트노벨, eBook    역시 내 청춘 러브코메디는 잘못됐다  결 , 와타리 와타루 저   퐁칸  그림   김장준 역                                                             , 엘노벨                                        , 2022년 10월                                 ,"5,000원",4,4
46,라이트노벨, eBook     묶음  문호 스트레이독스  총7권 미완결  , 아사기리 카프카 저   하루카와 산고 그림   문기업 역 저                                                            , 노블엔진                                        , 2022년 10월                                 ,"22,050원",0,0
47,라이트노벨, eBook    있잖아  우리 차라리 사귈까  , 카노다 키즈 저   시오 카즈노코 그림   한수진 역                                                             , S노벨                                        , 2022년 08월                                 ,"5,000원",5,5
48,라이트노벨, eBook    패배 히로인이 너무 많아  , 아마모리 타키비 저   이미기무루 그림   김민준 역                                                            , 노블엔진                                        , 2022년 07월                                 ,"4,500원",5,5
49,라이트노벨, eBook    오크 영웅 이야기   촌탁열전                             , 리후진 나 마고노테 저   아사나기 그림   손종근 역                                                            , S블랙                                        , 2022년 07월                                 ,"7,000원",0,0
