rank,genre,title,writer,company,date,price,star_content,star_edit
1,로맨스, eBook    토굴 공주 EPUB  완결                              , 함초롱 저                                                            , 제로노블                                        , 2022년 12월                                 ,"3,800원",4,4
2,로맨스, eBook    조건  만남  삽화본  EPUB                              , 문정민 저                                                            , 로아                                        , 2021년 05월                                 ,"3,000원",4,4
3,로맨스, eBook    스탯 999  엄친아의  1 EPUB                              , 얌쟘 저                                                            , 텐북                                        , 2023년 01월                                 ,"3,510원",4,3
4,로맨스, eBook     세트  오빠 손은 약손  외전 포함   총2권 완결  , 금나래 저                                                            , 텐북                                        , 2021년 05월                                 ,"4,200원",4,4
5,로맨스, eBook    몸태질 EPUB                              , 금단 저                                                            , 라떼북                                        , 2023년 02월                                 ,"3,240원",3,4
6,로맨스, eBook    별채에는 불이 꺼지지 않는다 EPUB  완결                              , 정은동 저                                                            , 텐북                                        , 2022년 08월                                 ,"2,970원",5,4
7,로맨스, eBook    불순종 Impure species  EPUB  완결                              , 피오렌티 저                                                            , 텐북                                        , 2022년 09월                                 ,"3,600원",4,4
8,로맨스, eBook    괴물 아가씨와 성기사 EPUB  완결                              , 손금 저                                                            , 로즈엔                                        , 2023년 02월                                 ,"3,060원",4,4
9,로맨스, eBook    구숙  만복을 빌어요 EPUB                              , 구월류화 저                                                            , 태평                                        , 2023년 02월                                 ,"3,200원",4,4
10,로맨스, eBook     세트  별채에는 불이 꺼지지 않는다  외전 포함   총4권 완결  , 정은동 저                                                            , 텐북                                        , 2022년 08월                                 ,"10,800원",3,3
11,로맨스, eBook    임파스토 Impasto  EPUB  완결                              , 우지혜 저                                                            , 폴라리스                                        , 2022년 12월                                 ,"3,300원",4,4
12,로맨스, eBook    원래 그랬어  EPUB                              , 오드리 저                                                            , 로아                                        , 2023년 02월                                 ,"1,080원",5,4
13,로맨스, eBook    길들여진 건 누구일까 EPUB                              , 리베냐 저                                                            , 코튼북스                                        , 2022년 10월                                 ,"3,300원",4,4
14,로맨스, eBook    화제의 여학생 EPUB  완결                              , 연초 저                                                            , 라떼북                                        , 2019년 02월                                 ,"3,420원",4,4
15,로맨스, eBook    느와르 급발진주의 EPUB                              , 초록개 저                                                            , 스칼렛                                        , 2023년 02월                                 ,"3,420원",4,4
16,로맨스, eBook    위태로운 EPUB                              , 고성후 저                                                            , 텐북                                        , 2021년 03월                                 ,"3,300원",4,4
17,로맨스, eBook    12시의 신데렐라 EPUB  완결                              , 백우시 저                                                            , 필                                        , 2023년 02월                                 ,"3,400원",4,4
18,로맨스, eBook    나체 초밥 EPUB                              , 탱글탱글 저                                                            , 로튼로즈                                        , 2023년 02월                                 ,990원,0,0
19,로맨스, eBook    미아 EPUB                              , 도개비 저                                                            , 봄미디어                                        , 2020년 01월                                 ,"3,800원",4,4
20,로맨스, eBook    영웅은 몸으로 구원한다 EPUB  완결                              , 프레티아 저                                                            , 윈썸                                        , 2022년 11월                                 ,"5,500원",4,4
21,로맨스, eBook    마네킹 365 EPUB                              , 황금뽀찌 저                                                            , 누아르                                        , 2023년 02월                                 ,990원,0,0
22,로맨스, eBook    그 겨울의 순정 EPUB  완결                              , 채은 저                                                            , 텐북                                        , 2022년 05월                                 ,"4,500원",4,4
23,로맨스, eBook    여름의 밀도 EPUB                              , 채랑비 저                                                            , SOME                                        , 2023년 02월                                 ,"3,690원",4,4
24,로맨스, eBook    테라피스트 EPUB                              , 진리타 저                                                            , 텐북                                        , 2023년 01월                                 ,"1,000원",3,3
25,로맨스, eBook    내게 빌어봐 EPUB  완결                              , 리베냐 저                                                            , 마담드디키                                        , 2022년 07월                                 ,"5,200원",4,4
26,로맨스, eBook    아가씨의 산란 1부 EPUB                              , 율다 저                                                            , 로튼로즈                                        , 2023년 01월                                 ,"1,000원",4,4
27,로맨스, eBook    새장 속의 딸 EPUB                              , 진수성찬 저                                                            , 로튼로즈                                        , 2023년 02월                                 ,"2,700원",3,3
28,로맨스, eBook    강산미인모 EPUB                              , 수당     저  연운 역 저                                                            , 답인                                            , 2023년 02월                                 ,"3,000원",0,0
29,로맨스, eBook     세트  시한부 연인과 비혼 생활 중입니다  총6권 완결  , 연서나 저                                                            , 필연매니지먼트                                        , 2023년 02월                                 ,"17,820원",0,0
30,로맨스, eBook    레이디 번견의 하룻밤 실수 EPUB  완결                              , 참새대리 저                                                            , 에클라                                        , 2022년 10월                                 ,"3,200원",4,4
31,로맨스, eBook    실버 트리 EPUB  완결                              , 윤소리 저                                                            , 퀸즈셀렉션                                        , 2022년 09월                                 ,"3,200원",4,4
32,로맨스, eBook    드래곤 영주님의 초야권 EPUB                              , 스파티 저                                                            , 다카포                                        , 2023년 02월                                 ,"2,790원",4,4
33,로맨스, eBook    남자는 지치지도 않았다 EPUB                              , 시크 저                                                            , 피플앤스토리                                        , 2023년 02월                                 ,"3,500원",4,4
34,로맨스, eBook    논 트리거 EPUB  완결                              , 몽슈 저                                                            , 플로린                                        , 2022년 03월                                 ,"4,050원",4,4
35,로맨스, eBook    다정한 함정 EPUB                              , 허도윤 저                                                            , 이지콘텐츠                                        , 2023년 02월                                 ,"3,600원",0,0
36,로맨스, eBook    나의 아빠 , 탱글탱글 저                                                            , 로튼로즈                                        , 2022년 12월                                 ,"1,000원",3,3
37,로맨스, eBook    마지막 여행이 끝나면 EPUB  완결                              , 하늘가리기 저                                                            , 피오렛                                        , 2021년 06월                                 ,"3,700원",4,4
38,로맨스, eBook    오빠 친구인 거 몰랐어  EPUB                              , 요안나 저                                                            ,  Renee                                        , 2023년 02월                                 ,"3,500원",4,4
39,로맨스, eBook    이 결혼은 어차피 망하게 되어 있다 EPUB  완결                              , 김차차 저                                                            , 서커스                                        , 2021년 05월                                 ,"6,660원",4,4
40,로맨스, eBook    비싼 놈 EPUB  완결                              , 얀소흔 저                                                            , 이브                                        , 2023년 02월                                 ,"3,500원",4,4
41,로맨스, eBook    자극질 EPUB  완결                              , 블랙라엘 저                                                            , 리얼라엘                                        , 2023년 01월                                 ,"2,600원",4,4
42,로맨스, eBook    개는 주인이 필요하다 EPUB  완결                              , 이고 저                                                            , 위즈덤하우스                                        , 2022년 09월                                 ,"3,300원",4,4
43,로맨스, eBook    나으리께서는 왜 내게만 털목도리를 주실까 EPUB                              , 매난초 저                                                            , 골드핑거                                        , 2023년 02월                                 ,900원,0,0
44,로맨스, eBook    쓰레기 상황극 파트너들 EPUB                              , 금단 저                                                            , 로튼로즈                                        , 2022년 12월                                 ,"2,790원",3,3
45,로맨스, eBook    알파와 오메가의 역학 EPUB                              , 탁경 저                                                            , 크레센도                                        , 2023년 02월                                 ,"2,970원",4,4
46,로맨스, eBook    무인도의 남자들 EPUB                              , 진리타 저                                                            , 텐북                                        , 2023년 01월                                 ,"1,200원",4,4
47,로맨스, eBook    트위스트 러브 EPUB                              , 얍스 저                                                            , 동아                                        , 2023년 02월                                 ,"2,700원",4,4
48,로맨스, eBook    나쁜 말이 취향이라 EPUB                              , 크림치즈 저                                                            , 와이엠북스                                        , 2023년 01월                                 ,"2,880원",4,4
49,로맨스, eBook    옥당금규 , 한청낙화 저                                                            , 답인                                            , 2023년 02월                                 ,"4,400원",0,0
