rank,genre,title,writer,company,date,price,star_content,star_edit
1,만화, eBook    월간 순정 노자키군 , 츠바키 이즈미 글 그림                                                            , 학산문화사                                        , 2020년 01월                                 ,"2,500원",4,4
2,만화, eBook    챔프D , 챔프D편집부 저                                                            , 대원씨아이                                        , 2020년 10월                                 ,"1,000원",4,4
3,만화, eBook     연재  스파이 패밀리 , 엔도 타츠야 글그림                                                            , 학산문화사 DCW                                        , 2020년 09월                                 ,500원,0,0
4,만화, eBook     연재  체인소 맨 , FUJIMOTO Tatsuki 저                                                            , 학산문화사 DCW                                        , 2020년 09월                                 ,400원,0,0
5,만화, eBook    천일의 아내 시즌2 , 죠이나     0510  베리 저                                                            , GTENT                                        , 2021년 12월                                 ,500원,0,0
6,만화, eBook    명탐정 코난 , AOYAMA Gosho 저                                                            , 서울미디어코믹스 DCW                                        , 2020년 04월                                 ,"2,700원",4,4
7,만화, eBook    브링 더 러브 eBook 크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , 제스트쿄 저                                                            , 서울미디어코믹스                                        , 2020년 09월                                 ,500원,4,4
8,만화, eBook    체인소 맨 , FUJIMOTO Tatsuki 저                                                            , 학산문화사 DCW                                        , 2020년 10월                                 ,"3,500원",4,4
9,만화, eBook    원피스 , 오다 에이치로 글 그림                                                            , 대원씨아이 DCW                                        , 2020년 09월                                 ,"3,000원",4,4
10,만화, eBook    오늘부터 신령님 COMIC  완결                              , JULIETTA SUZUKI 저                                                            , 학산문화사                                        , 2015년 11월                                 ,"2,500원",4,4
11,만화, eBook     연재  열혈강호 , 전극진   양재현 저                                                            , 대원씨아이                                        , 2020년 09월                                 ,400원,0,0
12,만화, eBook    하이큐 , 후루다테 하루이치 글 그림                                                            , 대원                                        , 2020년 10월                                 ,"3,000원",4,4
13,만화, eBook    너에게 닿기를 COMIC  완결                              , 카루호 시이나 글 그림                                                            , 대원씨아이 DCW                                        , 2020년 12월                                 ,"3,150원",4,4
14,만화, eBook    스바루와 스우 씨 , 타카하시 나츠코 글그림   함경미 역 저                                                            , S코믹스                                        , 2021년 05월                                 ,"3,300원",4,4
15,만화, eBook    악마에 입문했습니다  이루마 군 , Osamu Nishi 저                                                            , 서울미디어코믹스                                        , 2020년 04월                                 ,"2,700원",4,4
16,만화, eBook    골든 카무이 , NODA Satoru 저                                                            , 대원씨아이 DCW                                        , 2020년 09월                                 ,"2,700원",4,4
17,만화, eBook    동인녀의 감정 , 사나다 츠즈루 원저   선정우 역                                                             , 길찾기                                        , 2023년 02월                                 ,"4,500원",0,0
18,만화, eBook    열혈강호 , 전극진  양재현 저                                                            , 대원씨아이                                        , 2020년 05월                                 ,"2,520원",4,4
19,만화, eBook     퓨어  평범한 연애는 할 수 없어 , Mafuyu Fukita 저                                                            , GTENT                                        , 2021년 10월                                 ,500원,0,0
