rank,genre,title,writer,company,date,price,star_content,star_edit
1,사회 정치, eBook    미스터 프레지던트   국가 기념식과 대통령 행사 이야기 EPUB                              , 탁현민 저                                                            , 메디치미디어                                        , 2023년 02월                                 ,"17,600원",5,4
2,사회 정치, eBook    음식 중독   먹고 싶어서 먹는다는 착각 EPUB                              , 마이클 모스 저 연아람 역                                                            , 민음사                                        , 2023년 01월                                 ,"12,600원",0,0
3,사회 정치, eBook    공정하다는 착각   능력주의는 모두에게 같은 기회를 제공하는가 EPUB                              , 마이클 샌델 저 함규진 역                                                            , 와이즈베리                                        , 2020년 11월                                 ,"12,600원",4,4
4,사회 정치, eBook    중국은 어떻게 실패하는가   미중 패권 대결 최악의 시간이 온다 EPUB                              , 마이클 베클리 할 브랜즈 저 김종수 역                                                            , 부키                                        , 2023년 02월                                 ,"14,000원",0,0
5,사회 정치, eBook    이제 막 교사가 되었습니다   새내기 중 고등학교 교사 교직 실무 가이드  EPUB                              , 오소정 윤효성 김연수 저                                                            , 넥서스BOOKS                                        , 2022년 12월                                 ,"13,000원",0,0
6,사회 정치, eBook    마이너리티 디자인 EPUB                              , 사와다 도모히로 저 김영현 역                                                            , 다다서재                                        , 2022년 06월                                 ,"11,200원",0,0
7,사회 정치, eBook    노마드랜드 EPUB                              , 제시카 브루더 저 서제인 역                                                            , 엘리                                        , 2021년 05월                                 ,"14,000원",0,0
8,사회 정치, eBook    늦깎이 천재들의 비밀   전문화된 세상에서 늦깎이 제너럴리스트가 성공하는 이유 EPUB                              , 데이비드 엡스타인 저 이한음 역                                                            , 열린책들                                        , 2020년 05월                                 ,"14,000원",4,4
9,사회 정치, eBook    남자의 뇌   무엇이 남자의 행동을 조종하는가 EPUB                              , 루안 브리젠딘 저 황혜숙 역                                                            , 웅진지식하우스                                        , 2019년 11월                                 ,"10,500원",5,4
10,사회 정치, eBook    새로 쓴 원숭이도 이해하는 자본론   세상에서 가장 쉬운 임승수의 마르크스 자본론 강의 EPUB                              , 임승수 저                                                            , 시대의창                                        , 2017년 08월                                 ,"9,000원",4,4
11,사회 정치, eBook    오프라인의 힘 EPUB                              , 이우람 저                                                            , 유페이퍼                                        , 2023년 01월                                 ,"1,000원",0,0
12,사회 정치, eBook    반드시 읽어야 할 사회학 베스트 30 EPUB                              , 다케우치 요우 저 윤경희 역                                                            , 더디퍼런스                                        , 2023년 02월                                 ,"11,500원",0,0
13,사회 정치, eBook    자미   내 이름의 새로운 철자 EPUB                              , 오드리 로드 저 송섬별 역                                                            , 아카넷                                        , 2023년 02월                                 ,"13,500원",0,0
14,사회 정치, eBook    중등 학급경영   행복한 교사가 행복한 교실을 만든다 PDF                              , 최선경 저                                                            , 테크빌교육                                        , 2023년 01월                                 ,"12,000원",0,0
15,사회 정치, eBook    뉴스 PD EPUB                              , 최지예 저                                                            , 커뮤니케이션북스                                        , 2023년 02월                                 ,"9,600원",0,0
16,사회 정치, eBook    시장으로 간 성폭력   성범죄 가해자는 어떻게 감형을 구매하는가 EPUB                              , 김보화 저                                                            , 휴머니스트                                        , 2023년 02월                                 ,"14,700원",0,0
17,사회 정치, eBook    CHINA 4 MIX PDF                              , 한갑진 저                                                            , 순행출판                                        , 2022년 12월                                 ,"11,000원",0,0
18,사회 정치, eBook    지금 우리 곁의 쓰레기   제로 웨이스트로 가는 자원순환 시스템 안내서 EPUB                              , 고금숙 홍수열 저                                                            , 슬로비                                        , 2022년 12월                                 ,"13,000원",0,0
19,사회 정치, eBook    회복력 시대   재야생화되는 지구에서 생존을 다시 상상하다 EPUB                              , 제러미 리프킨 저 안진환 역                                                            , 민음사                                        , 2022년 11월                                 ,"18,200원",0,0
20,사회 정치, eBook    1일 1쓰레기 1제로   지금 바로 실천하는 101가지 제로 웨이스트 EPUB                              , 캐서린 켈로그 저 박여진 역                                                            , 현대지성                                        , 2022년 10월                                 ,"11,000원",0,0
21,사회 정치, eBook    시스템이 답이다 PDF                              , 세인트 윤 저                                                            , 아이프렌드                                        , 2022년 10월                                 ,"4,250원",0,0
22,사회 정치, eBook    섹스할 권리 EPUB                              , 아미아 스리니바산 저 김수민 역                                                            , 창비                                        , 2022년 09월                                 ,"17,600원",0,0
23,사회 정치, eBook    세상의 모든 권리 이야기   인간에서 동물로  로봇에서 바위로 다양한 존재를 껴안는 새로운 시대의 권리론 EPUB                              , 윌리엄 F  슐츠 수시마 라만 저 김학영 역                                                            , 시공사                                        , 2022년 09월                                 ,"16,100원",0,0
24,사회 정치, eBook    차이나 쇼크  한국의 선택   왜 지금 중국이 문제인가  EPUB                              , 한청훤 저                                                            , 사이드웨이                                        , 2022년 08월                                 ,"12,000원",4,4
25,사회 정치, eBook    계속 가보겠습니다   내부 고발 검사  10년의 기록과 다짐 EPUB                              , 임은정 저                                                            , 메디치미디어                                        , 2022년 08월                                 ,"12,600원",0,0
26,사회 정치, eBook    안전이 묻고 심리학이 답하다 EPUB                              , 문광수 이종현 저                                                            , 좋은땅                                        , 2022년 05월                                 ,"10,200원",0,0
27,사회 정치, eBook    독일은 왜 잘하는가   성숙하고 부강한 나라의 비밀 EPUB                              , 존 캠프너 저 박세연 역                                                            , 열린책들                                        , 2022년 05월                                 ,"16,500원",0,0
28,사회 정치, eBook    위대한 국민의 나라  문재인 정부 5년의 기록   문재인정부 5년의 기록 PDF                              , 문재인 대통령 비서실 저                                                            , 한즈미디어                                        , 2022년 04월                                 ,"14,000원",0,0
29,사회 정치, eBook    너에 관한 수식어 1일1꽃 꽃말사전 PDF                              , 김나나 저                                                            , 유페이퍼                                        , 2021년 09월                                 ,"2,500원",0,0
30,사회 정치, eBook    죽고 싶지만 살고 싶어서   친족 성폭력 생존자들의 기록 EPUB                              , 장화 불가살이 김민지 정인 희망 최예원 엘브로떼 명아 푸른나비 평화 저                                                            , 글항아리                                        , 2021년 10월                                 ,"11,300원",5,5
31,사회 정치, eBook    빌 게이츠는 왜 아프리카에 갔을까   거짓 관용의 기술 EPUB                              , 리오넬 아스트뤽 저 배영란 역                                                            , 소소의책                                        , 2021년 08월                                 ,"12,800원",0,0
32,사회 정치, eBook    내 아버지로부터의 꿈   DREAMS FROM MY FATHER EPUB                              , 버락 오바마 저 이경식 역                                                            , 알에이치코리아 RHK                                         , 2021년 08월                                 ,"19,600원",0,0
33,사회 정치, eBook    올바름이라는 착각   우리는 왜 조던 피터슨에 열광하는가 EPUB                              , 유튜브 읽어주는 남자 저                                                            , 데이포미                                        , 2021년 07월                                 ,"11,550원",0,0
34,사회 정치, eBook    B의 일기 1   비혼을 꿈꾸는 여성에게 보내는 응원과 격려 EPUB                              , 작가1 저                                                            , 북로그컴퍼니                                        , 2021년 06월                                 ,"11,060원",5,5
35,사회 정치, eBook    B의 일기 2   비혼을 꿈꾸는 여성에게 보내는 응원과 격려 EPUB                              , 작가1 저                                                            , 북로그컴퍼니                                        , 2021년 06월                                 ,"11,060원",5,5
36,사회 정치, eBook    B의 일기 3   비혼을 꿈꾸는 여성에게 보내는 응원과 격려 EPUB                              , 작가1 저                                                            , 북로그컴퍼니                                        , 2021년 06월                                 ,"11,060원",5,5
37,사회 정치, eBook    원전 프로파간다   안전신화의 불편한 진실 EPUB                              , 혼마 류 저 박제이 역                                                            , AK 에이케이 커뮤니케이션즈                                         , 2018년 03월                                 ,"7,900원",0,0
38,사회 정치, eBook    장애의 역사   침묵과 고립에 맞서 빼앗긴 몸을 되찾는 투쟁의 연대기 EPUB                              , 킴 닐슨 저 김승섭 역                                                            , 동아시아                                        , 2020년 11월                                 ,"12,600원",5,5
39,사회 정치, eBook    한국인의 에너지  가족주의   개인의 보호막과 지위상승의 발판인 가족 EPUB                              , 김동춘 저                                                            , 피어나                                        , 2020년 10월                                 ,"16,000원",0,0
40,사회 정치, eBook    영화하는 여자들 EPUB                              , 주진숙 이순진 저  사 여성영화인모임 기획                                                            , 사계절                                        , 2020년 08월                                 ,"13,800원",0,0
41,사회 정치, eBook    도쿄전력 OL 살인사건 EPUB                              , 사노 신이치 저 류순미 역                                                            , 글항아리                                        , 2020년 07월                                 ,"14,300원",0,0
42,사회 정치, eBook    자본과 이데올로기 EPUB                              , 토마 피케티 저 안준범 역                                                            , 문학동네                                        , 2020년 06월                                 ,"30,000원",5,5
43,사회 정치, eBook    2050 거주불능 지구   한계치를 넘어 종말로 치닫는 21세기 기후재난 시나리오 EPUB  유튜브 김미경 TV 소개도서 20200602                             , 데이비드 월러스 웰즈 저 김재경 역                                                            , 추수밭                                        , 2020년 04월                                 ,"13,800원",3,4
44,사회 정치, eBook    한국의 대통령 연설문   제19대 문재인 대통령   정치인의 말하기와 글쓰기 EPUB                              , 문재인 저                                                            , 씨익북스                                        , 2020년 04월                                 ,"3,900원",0,0
45,사회 정치, eBook    혼돈의 시대 리더의 탄생 EPUB                              , 도리스 컨스 굿윈 저 강주헌 역                                                            , 커넥팅 Connecting                                         , 2020년 03월                                 ,"16,830원",5,5
46,사회 정치, eBook    반성문 A to Z 제1권 EPUB                              , 최한겨레 편저                                                            , 좋은땅                                        , 2020년 01월                                 ,"9,000원",0,0
47,사회 정치, eBook    신학기가 두렵지 않은 차근차근 학급경영   홍월샘과 예진샘의  성장하는 교실  이야기 EPUB                              , 장홍월 주예진 공저                                                            , 우리학교                                        , 2019년 12월                                 ,"11,200원",0,0
48,사회 정치, eBook    인간의 흑역사   인간의 욕심은 끝이 없고 똑같은 실수를 반복한다 EPUB                              , 톰 필립스 저 홍한결 역                                                            , 윌북                                        , 2019년 10월                                 ,"10,900원",4,4
49,사회 정치, eBook    허쌤의 학급경영 코칭   황금의 2주일을 잡아라  EPUB                              , 허승환 저                                                            , 테크빌교육                                        , 2019년 07월                                 ,"10,500원",5,5
50,사회 정치, eBook    타락한 저항   지배하는  피해자 들  우리 안의 반지성주의 EPUB                              , 이라영 저                                                            , 교유서가                                        , 2019년 04월                                 ,"9,700원",0,0
51,사회 정치, eBook    협력의 진화   이기적 개인의 팃포탯 전략 PDF                              , 로버트 액설로드 저   이경식 역                                                            , 시스테마                                        , 2013년 12월                                 ,"12,000원",5,5
52,사회 정치, eBook    내리막 세상에서 일하는 노마드를 위한 안내서   누구와  어떻게  무엇을 위해 일할 것인가  EPUB                              , 제현주 저                                                            , 어크로스                                        , 2019년 03월                                 ,"10,000원",0,0
53,사회 정치, eBook    팩트풀니스   우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유 EPUB  tvN 요즘책방 소개도서 11 유튜브 김미경 TV 소개도서 20190807                             , 안나 로슬링 뢴룬드 올라 로슬링 한스 로슬링 공저 이창신 역                                                            , 김영사                                        , 2018년 02월                                 ,"11,880원",4,4
54,사회 정치, eBook    초예측   세계 석학 8인에게 인류의 미래를 묻다 EPUB  유튜브 김미경 TV 소개도서 20190619                             , 오노 가즈모토 편 다니엘 코엔 재레드 다이아몬드 유발 하라리 닉 보스트롬 린다 그래튼 조앤 윌리엄스 넬 어빈 페인터 윌리엄 페리 공저 정현옥 역                                                            , 웅진지식하우스                                        , 2019년 02월                                 ,"12,000원",4,4
55,사회 정치, eBook    불평등의 역사 EPUB                              , 발터 샤이델 저 조미현 역                                                            , 에코리브르                                        , 2018년 07월                                 ,"32,000원",5,5
56,사회 정치, eBook    최고의 교육   4차 산업혁명 시대 미래형 인재를 만드는 EPUB                              , 캐시 허쉬 파섹 로베르타 골린코프 저 김선아 역                                                            , 예문아카이브 예문사                                         , 2018년 02월                                 ,"13,600원",4,4
57,사회 정치, eBook    그건 혐오예요   상처를 덜 주고받기 위해 해야 하는 말 EPUB                              , 홍재희 저                                                            , 행성B잎새                                         , 2017년 05월                                 ,"10,500원",4,5
58,사회 정치, eBook    전쟁에서 살아남기   우리가 몰랐던 신기한 전쟁의 과학 EPUB                              , 메리 로치 저 이한음 역                                                            , 열린책들                                        , 2017년 09월                                 ,"13,000원",4,3
59,사회 정치, eBook    나는 김재규의 변호인이었다   170일간의 재판 기록으로 밝힌 10 26의 진실 EPUB                              , 안동일 저                                                            , 김영사                                        , 2017년 06월                                 ,"13,410원",5,5
60,사회 정치, eBook    사람  장소  환대 EPUB                              , 김현경 저                                                            , 문학과지성사                                        , 2016년 11월                                 ,"11,000원",4,4
61,사회 정치, eBook    추억의 그림일기           EPUB                              , 고티에 저                                                            , 유페이퍼                                        , 2017년 04월                                 ,"2,200원",0,0
62,사회 정치, eBook    나는 가해자의 엄마입니다 EPUB                              , 수 클리볼드 저   홍한별 역                                                            , 반비                                        , 2016년 07월                                 ,"11,000원",4,4
63,사회 정치, eBook    필리버스터 민주주의의 최전선 EPUB                              , 편집부 편 저                                                            , 더휴먼                                        , 2016년 04월                                 ,"2,200원",4,4
64,사회 정치, eBook    조해 보험법 EPUB                              , 유인호 저                                                            , 사법연구원                                        , 2015년 06월                                 ,"1,000원",4,4
65,사회 정치, eBook    어떻게 공부할 것인가 EPUB                              , 김아영 역                                                            , 와이즈베리                                        , 2014년 12월                                 ,"9,800원",4,4
66,사회 정치, eBook    변호사 사용 설명서   기본 품새   변호사가 지금껏 당신에게 숨겨왔던 비법 1 EPUB                              , 이송헌 저                                                            , 위즈덤커넥트                                        , 2014년 12월                                 ,"1,000원",3,3
67,사회 정치, eBook    북한군 시크릿 리포트 EPUB                              , 유용원 신범철 김진아 공저                                                            , 플래닛미디어                                        , 2014년 11월                                 ,"13,860원",0,0
68,사회 정치, eBook    정의란 무엇인가 EPUB  tvN 요즘책방 소개도서 13                             , 마이클 샌델 저                                                            , 와이즈베리                                        , 2014년 11월                                 ,"10,500원",4,4
69,사회 정치, eBook    아파트   공적 냉소와 사적 정열이 지배하는 사회 EPUB                              , 박철수 저                                                            , 마티                                        , 2014년 04월                                 ,"8,100원",0,0
70,사회 정치, eBook    노동의 배신 EPUB  배신  바버라 에런라이크                              , 바버라 에런라이크 저                                                            , 부키                                        , 2013년 01월                                 ,"10,360원",4,4
71,사회 정치, eBook    당신이 몰랐으면 하는 석유의 진실 EPUB                              , 레오나르도 마우게리 저                                                            , 가람기획                                        , 2010년 10월                                 ,"7,500원",0,0
72,사회 정치, eBook    시스템이 답이다 PDF                              , 세인트 윤 저                                                            , 아이프렌드                                        , 2022년 10월                                 ,"4,250원",0,0
73,사회 정치, eBook    섹스할 권리 EPUB                              , 아미아 스리니바산 저 김수민 역                                                            , 창비                                        , 2022년 09월                                 ,"17,600원",0,0
74,사회 정치, eBook    세상의 모든 권리 이야기   인간에서 동물로  로봇에서 바위로 다양한 존재를 껴안는 새로운 시대의 권리론 EPUB                              , 윌리엄 F  슐츠 수시마 라만 저 김학영 역                                                            , 시공사                                        , 2022년 09월                                 ,"16,100원",0,0
75,사회 정치, eBook    차이나 쇼크  한국의 선택   왜 지금 중국이 문제인가  EPUB                              , 한청훤 저                                                            , 사이드웨이                                        , 2022년 08월                                 ,"12,000원",4,4
76,사회 정치, eBook    계속 가보겠습니다   내부 고발 검사  10년의 기록과 다짐 EPUB                              , 임은정 저                                                            , 메디치미디어                                        , 2022년 08월                                 ,"12,600원",0,0
77,사회 정치, eBook    안전이 묻고 심리학이 답하다 EPUB                              , 문광수 이종현 저                                                            , 좋은땅                                        , 2022년 05월                                 ,"10,200원",0,0
78,사회 정치, eBook    독일은 왜 잘하는가   성숙하고 부강한 나라의 비밀 EPUB                              , 존 캠프너 저 박세연 역                                                            , 열린책들                                        , 2022년 05월                                 ,"16,500원",0,0
79,사회 정치, eBook    위대한 국민의 나라  문재인 정부 5년의 기록   문재인정부 5년의 기록 PDF                              , 문재인 대통령 비서실 저                                                            , 한즈미디어                                        , 2022년 04월                                 ,"14,000원",0,0
80,사회 정치, eBook    너에 관한 수식어 1일1꽃 꽃말사전 PDF                              , 김나나 저                                                            , 유페이퍼                                        , 2021년 09월                                 ,"2,500원",0,0
81,사회 정치, eBook    죽고 싶지만 살고 싶어서   친족 성폭력 생존자들의 기록 EPUB                              , 장화 불가살이 김민지 정인 희망 최예원 엘브로떼 명아 푸른나비 평화 저                                                            , 글항아리                                        , 2021년 10월                                 ,"11,300원",5,5
82,사회 정치, eBook    빌 게이츠는 왜 아프리카에 갔을까   거짓 관용의 기술 EPUB                              , 리오넬 아스트뤽 저 배영란 역                                                            , 소소의책                                        , 2021년 08월                                 ,"12,800원",0,0
83,사회 정치, eBook    내 아버지로부터의 꿈   DREAMS FROM MY FATHER EPUB                              , 버락 오바마 저 이경식 역                                                            , 알에이치코리아 RHK                                         , 2021년 08월                                 ,"19,600원",0,0
84,사회 정치, eBook    올바름이라는 착각   우리는 왜 조던 피터슨에 열광하는가 EPUB                              , 유튜브 읽어주는 남자 저                                                            , 데이포미                                        , 2021년 07월                                 ,"11,550원",0,0
85,사회 정치, eBook    B의 일기 1   비혼을 꿈꾸는 여성에게 보내는 응원과 격려 EPUB                              , 작가1 저                                                            , 북로그컴퍼니                                        , 2021년 06월                                 ,"11,060원",5,5
86,사회 정치, eBook    B의 일기 2   비혼을 꿈꾸는 여성에게 보내는 응원과 격려 EPUB                              , 작가1 저                                                            , 북로그컴퍼니                                        , 2021년 06월                                 ,"11,060원",5,5
87,사회 정치, eBook    B의 일기 3   비혼을 꿈꾸는 여성에게 보내는 응원과 격려 EPUB                              , 작가1 저                                                            , 북로그컴퍼니                                        , 2021년 06월                                 ,"11,060원",5,5
88,사회 정치, eBook    원전 프로파간다   안전신화의 불편한 진실 EPUB                              , 혼마 류 저 박제이 역                                                            , AK 에이케이 커뮤니케이션즈                                         , 2018년 03월                                 ,"7,900원",0,0
89,사회 정치, eBook    장애의 역사   침묵과 고립에 맞서 빼앗긴 몸을 되찾는 투쟁의 연대기 EPUB                              , 킴 닐슨 저 김승섭 역                                                            , 동아시아                                        , 2020년 11월                                 ,"12,600원",5,5
90,사회 정치, eBook    한국인의 에너지  가족주의   개인의 보호막과 지위상승의 발판인 가족 EPUB                              , 김동춘 저                                                            , 피어나                                        , 2020년 10월                                 ,"16,000원",0,0
91,사회 정치, eBook    영화하는 여자들 EPUB                              , 주진숙 이순진 저  사 여성영화인모임 기획                                                            , 사계절                                        , 2020년 08월                                 ,"13,800원",0,0
