rank,genre,title,writer,company,date,price,star_content,star_edit
1,소설, eBook    불편한 편의점 EPUB                              , 김호연 저                                                            , 나무옆의자                                        , 2021년 05월                                 ,"9,800원",4,4
2,소설, eBook     100  페이백  대여  죽은 자의 꿈 책소개 페이백 받기 링크를 확인하세요   EPUB                              , 정보라 저                                                            , 새파란상상  파란미디어                                         , 2023년 02월                                 ,"5,900원",4,4
3,소설, eBook    구의 증명  할인  EPUB                              , 최진영 저                                                            , 은행나무                                        , 2015년 03월                                 ,"6,480원",4,4
4,소설, eBook    사랑의 이해 EPUB                              , 이혁진 저                                                            , 민음사                                        , 2019년 04월                                 ,"10,500원",4,4
5,소설, eBook     대여  스마트폰을 떨어뜨렸을 뿐인데 EPUB                              , 시가 아키라 저 김성미 역                                                            , 북플라자                                        , 2018년 05월                                 ,"5,500원",4,4
6,소설, eBook     100  페이백  대여  우리도 문 정도는 열 수 있어 책소개 페이백 받기 링크를 확인하세요   EPUB                              , 유키나리 카오루 저 주원일 역                                                            , 제우미디어                                        , 2023년 01월                                 ,"5,900원",4,4
7,소설, eBook    아몬드   2020 일본 서점대상 번역소설상 수상작 EPUB                              , 손원평 저                                                            , 창비                                        , 2017년 03월                                 ,"8,400원",4,4
8,소설, eBook    불편한 편의점 2 EPUB                              , 김호연 저                                                            , 나무옆의자                                        , 2022년 08월                                 ,"9,800원",4,4
9,소설, eBook    파친코 1 EPUB                              , 이민진 저 신승미 역                                                            , 인플루엔셜                                        , 2022년 10월                                 ,"12,500원",4,4
10,소설, eBook    아버지의 해방일지 EPUB                              , 정지아 저                                                            , 창비                                        , 2022년 09월                                 ,"12,000원",4,4
11,소설, eBook    열린 어둠 EPUB                              , 렌죠 미키히코 저 양윤옥 역                                                            , 모모                                        , 2023년 01월                                 ,"11,760원",0,0
12,소설, eBook    이토록 평범한 미래 EPUB                              , 김연수 저                                                            , 문학동네                                        , 2022년 10월                                 ,"9,800원",5,5
13,소설, eBook    흑뢰성 EPUB                              , 요네자와 호노부 저 김선영 역                                                            , 리드비 READbie                                         , 2023년 02월                                 ,"11,760원",0,0
14,소설, eBook     단독  안락 탐정 단독 선출간  EPUB                              , 고바야시 야스미 저 주자덕 역                                                            , 아프로스미디어                                        , 2023년 02월                                 ,"11,200원",0,0
15,소설, eBook    재벌 총수와 예언가 1 1 EPUB                              , J승리 저                                                            , 유페이퍼                                        , 2022년 10월                                 ,500원,0,0
16,소설, eBook    홍학의 자리 EPUB                              , 정해연 저                                                            , 엘릭시르                                        , 2021년 07월                                 ,"9,800원",4,4
17,소설, eBook    심판 EPUB                              , 베르나르 베르베르 저 전미연 역                                                            , 열린책들                                        , 2020년 08월                                 ,"10,000원",4,4
18,소설, eBook    안나 카레니나   더클래식 세계문학 스페셜 에디션 EPUB                              , 레프 톨스토이 저                                                            , 더클래식                                        , 2017년 08월                                 ,"3,300원",4,4
19,소설, eBook    나도향 단편소설 미정고장편   한국문학전집 114 EPUB                              , 나도향 저                                                            , 히얼앤나우                                        , 2017년 06월                                 ,"1,000원",4,4
20,소설, eBook    메이드 EPUB                              , 니타 프로스 저 노진선 역                                                            , 마시멜로                                        , 2023년 02월                                 ,"12,100원",0,0
21,소설, eBook     대여  종이학 살인사건 EPUB                              , 치넨 미키토 저 권하영 역                                                            , 북플라자                                        , 2022년 10월                                 ,"5,750원",5,4
22,소설, eBook     대여  형사의 분노 EPUB                              , 야쿠마루 가쿠 저 남소현 역                                                            , 북플라자                                        , 2022년 11월                                 ,"5,750원",0,0
23,소설, eBook     대여  살육에 이르는 병 EPUB                              , 아비코 다케마루 저 권일영 역                                                            , 검은숲                                        , 2022년 11월                                 ,"4,200원",3,3
24,소설, eBook    삼국지 원전 완역판 8 도남 EPUB                              , 나관중 원저 요시카와 에이지 편저 바른번역 역                                                            , 코너스톤                                        , 2020년 03월                                 ,900원,0,0
25,소설, eBook    오늘 밤  세계에서 이 사랑이 사라진다 해도 EPUB                              , 이치조 미사키 저 권영주 역                                                            , 모모                                        , 2021년 07월                                 ,"10,000원",5,5
26,소설, eBook    프로젝트 헤일메리 EPUB                              , 앤디 위어 저 강동혁 역                                                            , 알에이치코리아 RHK                                         , 2021년 05월                                 ,"12,950원",4,4
27,소설, eBook    나혜석   이성간의 우정론   한국문학전집 55 EPUB                              , 나혜석 저                                                            , 9의예술                                        , 2021년 02월                                 ,"1,000원",4,4
