rank,genre,title,writer,company,date,price,star_content,star_edit
1,수험서 자격증, eBook    원페이지 교육학 기본서  제6판  PDF                              , Dave 저                                                            , 도서출판 새벽노을                                        , 2022년 04월                                 ,"34,800원",4,4
2,수험서 자격증, eBook    원페이지 교육학 빈칸노트  제6판  PDF                              , Dave 저                                                            , 도서출판 새벽노을                                        , 2022년 04월                                 ,"17,000원",5,5
3,수험서 자격증, eBook    2023 EBS 독학사 1단계  기출문제집   국어 국사  영어  현대사회와윤리  사회학개론  문학개론  경영학개론 PDF                              , 독학사교재연구회 편저                                                            , 신지원                                        , 2023년 01월                                 ,"17,000원",0,0
4,수험서 자격증, eBook    2023 에듀윌 공인중개사 신대운 쉬운 민법체계도 PDF                              , 신대운 편저                                                            , 에듀윌                                        , 2023년 02월                                 ,"12,960원",0,0
5,수험서 자격증, eBook    2023 최신판 LG그룹 온라인 적성검사 봉투모의고사 6회분 무료LG특강 PDF                              , SD적성검사연구소 편저                                                            , 시대고시기획 시대교육                                        , 2023년 03월                                 ,"11,900원",0,0
6,수험서 자격증, eBook    2023 최신판 All New 삼성 온라인 GSAT 4급 전문대졸채용 6개년 기출 모의고사 6회 무료4급특강 PDF                              , SD적성검사연구소 편저                                                            , 시대고시기획 시대교육                                        , 2023년 03월                                 ,"16,100원",0,0
7,수험서 자격증, eBook    해커스 GSAT 5급 고졸채용 삼성직무적성검사 한권완성  최신기출유형 실전모의고사    수리 추리 지각 PDF                              , 해커스 취업교육연구소 저                                                            , 챔프스터디                                        , 2023년 01월                                 ,"16,300원",0,0
8,수험서 자격증, eBook    2022 하반기 All New KCC그룹 온라인 인적성검사 최신기출유형 모의고사 4회 PDF                              , SD적성검사연구소 편저                                                            , 시대고시기획 시대교육                                        , 2022년 09월                                 ,"15,400원",0,0
9,수험서 자격증, eBook    2023 고종훈 한국사 서브노트 PDF                              , 고종훈 저                                                            , 발해북스                                        , 2022년 08월                                 ,"12,000원",5,5
10,수험서 자격증, eBook    씨노트   직업상담사2급 2차시험대비 PDF                              , 김한명 저                                                            , 커리어비젼                                        , 2023년 02월                                 ,"9,500원",0,0
11,수험서 자격증, eBook    2023 치과보험청구사 3급 초단기합격 PDF                              , 이남숙 편저                                                            , 시대고시기획 시대교육                                        , 2023년 03월                                 ,"18,900원",0,0
12,수험서 자격증, eBook    2023 청소년상담사 2급 한권으로 끝내기 PDF                              , SD 청소년상담사 수험연구소 저                                                            , 시대고시기획 시대교육                                        , 2023년 03월                                 ,"30,800원",0,0
13,수험서 자격증, eBook    2023 기출이 답이다 경찰공무원 순경  형사소송법 수사 증거  기출문제집 PDF                              , SD경찰공무원시험연구소 편저                                                            , 시대고시기획 시대교육                                        , 2023년 02월                                 ,"13,300원",0,0
14,수험서 자격증, eBook    단기간에 편입영어 시험 고득점받는 방법  인서울 명문대 편입영어 고득점 비법  PDF                              , 이형준 저                                                            , 글로리북스21                                        , 2023년 02월                                 ,"35,000원",5,5
15,수험서 자격증, eBook    2023 에듀윌 공인중개사 오시훈 키워드 암기장 부동산공법 PDF                              , 오시훈 저                                                            , 에듀윌                                        , 2023년 02월                                 ,"12,150원",0,0
