rank,genre,title,writer,company,date,price,star_content,star_edit
1,어린이 유아, eBook    긴긴밤   제21회 문학동네어린이문학상 대상 수상작 EPUB                              , 루리 글 그림 저                                                            , 문학동네                                        , 2021년 05월                                 ,"8,100원",5,4
2,어린이 유아, eBook    기소영의 친구들 EPUB                              , 정은주 글 해랑 그림                                                            , 사계절                                        , 2023년 02월                                 ,"8,400원",0,0
3,어린이 유아, eBook    네가 사라진 날 PDF                              , 산드라 디크만 글그림 김명철 역                                                            , 요요                                         , 2023년 02월                                 ,"11,200원",0,0
4,어린이 유아, eBook    배정원 교수의 십 대를 위한 자존감 성교육 EPUB                              , 배정원 저                                                            , 김영사                                        , 2022년 12월                                 ,"9,900원",0,0
5,어린이 유아, eBook    꼬마 흡혈귀 15권   크리스마스 파티 PDF                              , 앙겔라 좀머 보덴부르크 저                                                            , 거북이북스                                        , 2022년 11월                                 ,"9,100원",0,0
6,어린이 유아, eBook    열 살 달인 최건우 PDF                              , 이수용 글 홍그림 그림                                                            , 별숲                                        , 2022년 09월                                 ,"9,500원",0,0
7,어린이 유아, eBook    진정한 일곱 살 PDF                              , 허은미 글 오정택 그림                                                            , 만만한책방                                        , 2022년 04월                                 ,"8,400원",0,0
8,어린이 유아, eBook    아홉 살 관계 사전   어울림    나  너  그리고 우리   사회성을 키우는 28가지 태도 습관 EPUB                              , 김정 글 이아리 그림                                                            , 다산에듀                                        , 2022년 03월                                 ,"9,100원",0,0
9,어린이 유아, eBook    아홉 살 관계 사전   자존감    모든 관계의 시작은 나   자존감을 키우는 28가지 마음 습관 EPUB                              , 김정 글 이아리 그림                                                            , 다산에듀                                        , 2022년 03월                                 ,"9,100원",0,0
10,어린이 유아, eBook    어린이 세계의 동화8   장화를 신은 고양이 외 2편 PDF                              , 계몽사 저                                                            , 계몽사                                        , 2021년 11월                                 ,"7,000원",0,0
11,어린이 유아, eBook    그룹언어치료 우리두리함께 1편 PDF                              , 황혜진 저                                                            , 봄비와씨앗                                        , 2021년 11월                                 ,"15,120원",0,0
12,어린이 유아, eBook    오지랖 왕자와 푼수 공주 EPUB                              , 권송이 그림                                                            , 밝은미래                                        , 2021년 10월                                 ,"5,850원",0,0
13,어린이 유아, eBook    5 7세 유아를 위한 수학 동화 북큐레이션 EPUB                              , 허 지 훈 저                                                            , 좋은서가                                        , 2021년 08월                                 ,"10,000원",0,0
14,어린이 유아, eBook    한국 환상 동물 도감   우리 신화 속 신비한 전설의 동물을 찾아서 PDF                              , 이곤 저                                                            , 한즈미디어                                        , 2021년 08월                                 ,"12,600원",0,0
15,어린이 유아, eBook    읽어주는 동화책 033  깡패 떡볶이 EPUB                              , 파파곰 저                                                            , 유페이퍼                                        , 2021년 05월                                 ,"1,000원",3,3
16,어린이 유아, eBook    아프리카 원숭이들이 북극으로 이사 가요  PDF                              , 이향안 글 정현지 그림                                                            , 스콜라                                        , 2021년 04월                                 ,"7,000원",0,0
17,어린이 유아, eBook    후 who  한국사 신사임당   허난설헌 PDF                              , 다인 글 안광현 정병훈 그림                                                            , 다산어린이                                        , 2021년 03월                                 ,"9,100원",0,0
18,어린이 유아, eBook    오래된 집  한글 영문    안데르센 동화 011 EPUB                              , 한스 크리스티안 안데르센 저                                                            , 바로이북                                        , 2021년 02월                                 ,500원,0,0
