rank,genre,title,writer,company,date,price,star_content,star_edit
1,에세이 시, eBook     단독  작별들 순간들 단독 선출간  EPUB                              , 배수아 저                                                            , 문학동네                                        , 2023년 02월                                 ,"10,080원",5,5
2,에세이 시, eBook    인생의 역사    공무도하가 에서  사랑의 발명 까지 EPUB                              , 신형철 저                                                            , 난다                                        , 2022년 12월                                 ,"12,600원",0,0
3,에세이 시, eBook    모든 것은 기본에서 시작한다 EPUB                              , 손웅정 저                                                            , 수오서재                                        , 2022년 01월                                 ,"11,200원",5,5
4,에세이 시, eBook    지금 이 순간을 살아라 EPUB                              , 에크하르트 톨레 저                                                            , 양문                                        , 2014년 05월                                 ,"7,500원",4,4
5,에세이 시, eBook    밑바닥에서   간호사가 들여다본 것들 EPUB                              , 김수련 저                                                            , 글항아리                                        , 2023년 02월                                 ,"10,080원",0,0
6,에세이 시, eBook    시간이 있었으면 좋겠다   삶의 여백을 사랑하는 일에 대해 EPUB                              , 김신지 저                                                            , 잠비                                        , 2023년 02월                                 ,"10,590원",0,0
7,에세이 시, eBook    로기완을 만났다 EPUB                              , 조해진 저                                                            , 창비                                        , 2013년 03월                                 ,"9,100원",5,5
8,에세이 시, eBook    여행의 이유 EPUB                              , 김영하 저                                                            , 문학동네                                        , 2019년 06월                                 ,"9,500원",4,4
9,에세이 시, eBook    짝 없는 여자와 도시 EPUB                              , 비비언 고닉 저 박경선 역                                                            , 글항아리                                        , 2023년 02월                                 ,"10,710원",0,0
10,에세이 시, eBook    문학이 필요한 시간   다시 시작하려는 이에게  끝내 내 편이 되어주는 이야기들  EPUB                              , 정여울 저                                                            , 한겨레출판                                        , 2023년 01월                                 ,"12,800원",0,0
11,에세이 시, eBook    다시 내일을 기대하는 법   외로움과 허무함을 지나는 어른에게 EPUB                              , 임현주 저                                                            , 위즈덤하우스                                        , 2023년 02월                                 ,"11,060원",0,0
12,에세이 시, eBook    나는 오래된 거리처럼 너를 사랑하고 EPUB                              , 진은영 저                                                            , 문학과지성사                                        , 2022년 11월                                 ,"8,400원",0,0
13,에세이 시, eBook    그대 늙어가는 것이 아니라 익어가는 것이다   인생 절반을 지나고 깨달은 인생 문장 65  EPUB                              , 오평선 저                                                            , 포레스트북스                                        , 2022년 12월                                 ,"11,000원",0,0
14,에세이 시, eBook    아무튼  사전   우리에게는 더 많은 단어가 필요하다 EPUB                              , 홍한별 저                                                            , 위고                                        , 2022년 10월                                 ,"8,500원",5,5
15,에세이 시, eBook    기분을 관리하면 인생이 관리된다 EPUB                              , 김다슬 저                                                            ,  주 필름 클라우디아                                        , 2022년 10월                                 ,"12,320원",0,0
16,에세이 시, eBook    열방약국 유방암 상담소   유방암을 진단받은 약사가 표준치료 후에 재발  전이 없이 암을 이겨낸 식이요법  생활습관  보충제 꿀팁을 알려드립니다  EPUB                              , 김훈하 저                                                            , 리더북스                                        , 2022년 02월                                 ,"10,000원",0,0
17,에세이 시, eBook    일기시대   문보영 에세이 EPUB                              , 문보영 저                                                            , 민음사                                        , 2021년 04월                                 ,"10,150원",5,5
18,에세이 시, eBook    직업으로서의 소설가 EPUB                              , 무라카미 하루키 저 양윤옥 역                                                            , 현대문학                                        , 2021년 04월                                 ,"10,000원",5,5
19,에세이 시, eBook    일기를 에세이로 바꾸는 법   끼적임이 울림이 되는 한 끗 차이 EPUB                              , 이유미 저                                                            , 위즈덤하우스                                        , 2020년 06월                                 ,"9,100원",4,5
20,에세이 시, eBook    불안 EPUB                              , 알랭 드 보통 저 정영목 역                                                            , 은행나무                                        , 2011년 12월                                 ,"10,500원",4,4
21,에세이 시, eBook    타인의 시선을 의식해 힘든 나에게 EPUB                              , 글배우 저                                                            , 21세기북스                                        , 2019년 04월                                 ,"10,400원",5,5
22,에세이 시, eBook    장창훈 개인 수필집   역사의 관점 PDF                              , 장창훈 저                                                            , 미디어 북                                        , 2019년 04월                                 ,"1,000원",0,0
23,에세이 시, eBook    죽고 싶지만 떡볶이는 먹고 싶어 EPUB                              , 백세희 저                                                            , 흔                                        , 2018년 06월                                 ,"9,660원",3,3
24,에세이 시, eBook    별빛 너머의 별   나태주 시인의 인생에서 다시없을 사랑 시 365편 PDF                              , 나태주 저                                                            , 알에이치코리아 RHK                                         , 2023년 02월                                 ,"12,600원",0,0
25,에세이 시, eBook    죽기 전 시도는 해 봐야 할 10가지 PDF                              , 이예은 저                                                            , 퍼스트클래스                                        , 2023년 02월                                 ,"6,500원",0,0
26,에세이 시, eBook    흔한 사람들의 흔하지 않는 음악 이야기 EPUB                              , 김정현 외 6명 저                                                            , 작가와                                        , 2023년 02월                                 ,"1,000원",0,0
27,에세이 시, eBook    소설가라는 이상한 직업 EPUB                              , 장강명 저                                                            , 유유히                                        , 2023년 02월                                 ,"12,600원",0,0
28,에세이 시, eBook    나를 만든 말   무수히 남겨진 말들의 기록 EPUB                              , 신소율 저                                                            , 필름                                        , 2023년 01월                                 ,"11,200원",0,0
29,에세이 시, eBook     단독  아무튼  현수동   내가 살고 싶은 동네를 상상하고  빠져들고  마침내 사랑한다 단독 선출간  EPUB                              , 장강명 저                                                            , 위고                                        , 2023년 02월                                 ,"8,500원",0,0
