rank,genre,title,writer,company,date,price,star_content,star_edit
1,역사, eBook    곰브리치 세계사 EPUB                              , 에른스트 H  곰브리치 저 박민수 역                                                            , 비룡소                                        , 2016년 03월                                 ,"11,900원",4,4
2,역사, eBook    좋은생각   2023년 03월호 PDF                              , 좋은생각 편집부 저                                                            , 좋은생각                                        , 2023년 02월                                 ,"3,000원",0,0
3,역사, eBook    에도로 가는 길   운명을 거슬러 문을 열어젖힌 이방인 EPUB                              , 에이미 스탠리 저 유강은 역                                                            , 생각의힘                                        , 2023년 01월                                 ,"16,000원",0,0
4,역사, eBook    프랑스역사 다이제스트100 EPUB                              , 김복래 저                                                            , 가람기획                                        , 2022년 05월                                 ,"15,400원",0,0
5,역사, eBook    헤이세이     일본의 잃어버린 30년 EPUB                              , 요시미   야 저 서의동 역                                                            , AK 에이케이 커뮤니케이션즈                                         , 2020년 07월                                 ,"12,800원",0,0
6,역사, eBook    세상에서 가장 짧은 세계사 EPUB                              , 존 허스트 저 김종원 역                                                            , 위즈덤하우스                                        , 2017년 11월                                 ,"11,200원",4,4
7,역사, eBook    본격 한중일 세계사 15   동학농민운동과 청일전쟁 COMIC                              , 굽시니스트 저                                                            , 위즈덤하우스                                        , 2023년 01월                                 ,"11,060원",5,5
8,역사, eBook    군중의 망상   욕망과 광기의 역사에 숨겨진 인간 본능의 실체 EPUB                              , 윌리엄 번스타인 저 노윤기 역                                                            , 포레스트북스                                        , 2023년 01월                                 ,"29,400원",0,0
9,역사, eBook    박시백의 고려사 3   무신정권과 반란의 시대 PDF                              , 박시백 저                                                            , 휴머니스트                                        , 2023년 01월                                 ,"10,150원",0,0
10,역사, eBook    동물  채소  정크푸드   지속가능성에서 자멸에 이르는 음식의 역사 EPUB                              , 마크 비트먼 저 김재용 역                                                            , 그러나                                        , 2022년 11월                                 ,"10,000원",0,0
11,역사, eBook    몽골제국의 후예들 EPUB                              , 이주엽 저 저                                                            , 책과함께                                        , 2022년 11월                                 ,"12,600원",0,0
12,역사, eBook    사진으로 보는 우리 문화유산 PDF                              , 강형원 저                                                            , 알에이치코리아 RHK                                         , 2022년 10월                                 ,"15,600원",0,0
13,역사, eBook    벌거벗은 한국사    인물편   본격 우리 역사 스토리텔링쇼 EPUB                              , tvN STORY  벌거벗은 한국사  제작팀 저 최태성 감수                                                            , 프런트페이지                                        , 2022년 09월                                 ,"13,200원",0,0
14,역사, eBook    난중일기   영화  한산  명량  노량 의 감동을  난중일기 와 함께 EPUB                              , 이순신 저 장윤철 역                                                            , 스타북스                                        , 2022년 08월                                 ,"8,100원",0,0
15,역사, eBook    시민의 한국사 2   근현대편 EPUB                              , 한국역사연구회 저                                                            , 돌베개                                        , 2022년 07월                                 ,"26,500원",0,0
