rank,genre,title,writer,company,date,price,star_content,star_edit
1,예술 대중문화, eBook    한경아르떼 합스부르크 600년 매혹의 걸작들 100배 즐기기   한 오스트리아 수교 130주년 기념 국립중앙박물관 특별전 PDF                              , 한경arte 특별취재팀 저                                                            , 한국경제신문                                        , 2022년 12월                                 ,"10,400원",0,0
2,예술 대중문화, eBook    크레모나 바이올린 기행 Lev s violin EPUB                              , 헬레나 애틀리 저 이석호 역                                                            , 에포크                                        , 2023년 02월                                 ,"12,600원",0,0
3,예술 대중문화, eBook    냥도리의 그림수업   낙서부터 드로잉  캐리커처까지 PDF                              , 박순찬 저                                                            , 아라크네                                        , 2022년 11월                                 ,"13,300원",0,0
4,예술 대중문화, eBook    명화로 읽는 합스부르크 역사 EPUB                              , 나카노 교코 저 이유라 역                                                            , 한경arte                                        , 2022년 10월                                 ,"12,800원",0,0
5,예술 대중문화, eBook    첫눈에 반하는 로맨스 웹툰   이야기 발상부터 콘티까지 웹툰 스토리와 창작 노하우  EPUB                              , 김달님 글그림                                                            , 므큐                                        , 2022년 08월                                 ,"13,860원",0,0
6,예술 대중문화, eBook    멜로가 체질 2 EPUB                              , 이병헌 김영영 저                                                            , 김영사                                        , 2022년 06월                                 ,"13,500원",0,0
7,예술 대중문화, eBook    세상에서 가장 재미있는 서양미술사 1   선사시대부터 르네상스까지 PDF                              , 마리옹 오귀스탱 글 브뤼노 에이츠 그림 정재곤 역                                                            , 궁리출판                                        , 2022년 05월                                 ,"12,000원",0,0
8,예술 대중문화, eBook    유튜브로 즐기는 클래식음악 EPUB                              , 이종한  김성현 저                                                            , 유페이퍼                                        , 2022년 03월                                 ,"8,000원",0,0
9,예술 대중문화, eBook    연극과 그 이중 EPUB                              , 앙토냉 아르토 저 이선형 역                                                            , 지만지드라마                                        , 2021년 08월                                 ,"23,040원",0,0
10,예술 대중문화, eBook    내 손 안의 미술관  파울 루벤스 PDF                              , 김정일 저                                                            , 피치플럼                                        , 2021년 05월                                 ,"3,000원",5,5
11,예술 대중문화, eBook    세 자매 이야기   시나리오부터 제작기  인터뷰  현장 스틸  영화평까지 영화  세 자매 의 모든 것 EPUB                              , 문소리 이승원 저                                                            , 마음산책                                        , 2021년 02월                                 ,"12,600원",0,0
12,예술 대중문화, eBook    90일 밤의 미술관   하루 1작품 내 방에서 즐기는 유럽 미술관 투어 PDF                              , 이용규 권미예 명선아 신기환 이진희 저                                                            , 동양북스 동양books                                         , 2021년 01월                                 ,"13,000원",5,3
13,예술 대중문화, eBook    꼭 알아야 할 기타코드 120가지 PDF                              , 박민 저                                                            , 유페이퍼                                        , 2021년 01월                                 ,"9,000원",0,0
14,예술 대중문화, eBook    보기만 해도 저절로 알게되는 서양미술 280 5   화가의 생애와 작품을 쉽고 흥미롭게 재조명한 서양 미술사 교양 입문서 EPUB                              , 쉬즈룽 저                                                            , 북아띠                                        , 2020년 11월                                 ,"1,000원",4,4
