rank,genre,title,writer,company,date,price,star_content,star_edit
1,인문, eBook    만일 내가 인생을 다시 산다면  10만 부 기념 스페셜 에디션    벌써 마흔이 된 당신에게 해 주고 싶은 말들 42 EPUB                              , 김혜남 저                                                            , 메이븐                                        , 2022년 11월                                 ,"12,000원",5,4
2,인문, eBook    당신도 느리게 나이 들 수 있습니다   나이가 들어도 몸의 시간은 젊게 EPUB                              , 정희원 저                                                            , 더퀘스트                                        , 2023년 01월                                 ,"14,240원",4,3
3,인문, eBook    무기력의 심리학   무력감을 털어내고 나답게 사는 심리 처방전 EPUB                              , 브릿 프랭크 저 김두완 역                                                            , 흐름출판                                        , 2023년 02월                                 ,"14,400원",0,0
4,인문, eBook    지적 대화를 위한 넓고 얕은 지식 1   한 권으로 현실 세계를 통달하는 지식 여행서 EPUB                              , 채사장 저                                                            , 웨일북                                        , 2020년 02월                                 ,"11,200원",4,4
5,인문, eBook    인스타 브레인   몰입을 빼앗긴 시대  똑똑한 뇌 사용법 EPUB                              , 안데르스 한센 저 김아영 역                                                            , 동양북스 동양books                                         , 2020년 11월                                 ,"10,500원",0,0
6,인문, eBook    지적 대화를 위한 넓고 얕은 지식 0 제로    지혜를 찾아 138억 년을 달리는 시간 여행서 EPUB                              , 채사장 저                                                            , 웨일북                                        , 2020년 02월                                 ,"13,800원",4,4
7,인문, eBook    클루지   생각의 역사를 뒤집는 기막힌 발견 EPUB  유튜버 라이프해커자청 소개도서 02                             , 개리 마커스 저 최호영 역                                                            , 갤리온                                        , 2019년 07월                                 ,"9,660원",4,4
8,인문, eBook    마음 가면   수치심  불안  강박에 맞서는 용기의 심리학 EPUB                              , 브레네 브라운 저 안진이 역                                                            , 웅진지식하우스                                        , 2023년 02월                                 ,"11,340원",0,0
9,인문, eBook    인생을 숙제처럼 살지 않기로 했다   힘 빼고 유연하게  모든 순간을 파도 타듯 즐기는 심리 수업 EPUB                              , 웃따 저                                                            , 다산북스                                        , 2023년 02월                                 ,"10,710원",5,5
10,인문, eBook    뉴욕 정신과 의사의 사람 도서관   낙인과 혐오를 넘어 이해와 공존으로 EPUB                              , 나종호 저                                                            , 아몬드                                        , 2022년 05월                                 ,"11,850원",5,5
11,인문, eBook    도파민네이션   쾌락 과잉 시대에서 균형 찾기  EPUB                              , 애나 렘키 저 김두완 역                                                            , 흐름출판                                        , 2022년 04월                                 ,"14,400원",4,5
12,인문, eBook    사랑의 기술  개정판  EPUB                              , 에리히 프롬 저 황문수 역                                                            , 문예출판사                                        , 2019년 09월                                 ,"8,400원",4,4
13,인문, eBook     단독  원래 어른이 이렇게 힘든 건가요   하루에도 수십 번씩 사소한 감정에 흔들리는 당신을 위한 현실적인 위로 단독 선출간  EPUB                              , 김종원 저                                                            , 마인드셋 Mindset                                         , 2023년 02월                                 ,"11,000원",0,0
14,인문, eBook     대여  우울에서 벗어나는 46가지 방법   최고의 정신건강 전문가들이 알려주는 가장 과학적인 우울증 해결 책  EPUB                              , 앨릭스 코브 커크 D  스트로살 리사 M  샤브 윌리엄 J  너스 패트리샤 J  로빈슨 저 제효영 역                                                            , 심심                                        , 2023년 02월                                 ,"5,950원",0,0
15,인문, eBook    사피엔스   유인원에서 사이보그까지  인간 역사의 대담하고 위대한 질문 EPUB                              , 유발 하라리 저 조현욱 역 이태수 감수                                                            , 김영사                                        , 2023년 01월                                 ,"15,750원",5,5
16,인문, eBook    익스텐드 마인드   창조성은 어떻게 뇌 바깥에서 탄생하는가 EPUB                              , 애니 머피 폴 저 이정미 역                                                            , 알에이치코리아 RHK                                         , 2022년 11월                                 ,"14,000원",5,5
