rank,genre,title,writer,company,date,price,star_content,star_edit
1,자기계발, eBook    1퍼센트 부자의 법칙   반드시 성공하는 일천 번의 법칙 EPUB                              , 사이토 히토리 저 김진아 역                                                            , 나비스쿨 NAVI SCHOOL                                         , 2023년 02월                                 ,"12,000원",0,0
2,자기계발, eBook    김미경의 마흔 수업 EPUB                              , 김미경 저                                                            , 어웨이크북스                                        , 2023년 02월                                 ,"12,600원",0,0
3,자기계발, eBook    무조건 합격하는 암기의 기술   26살 9개월 만에 사법시험을 패스한 이윤규 변호사의 책 한 권 통째로 씹어먹는 공부법  EPUB                              , 이윤규 저                                                            , 더퀘스트                                        , 2023년 01월                                 ,"15,040원",0,0
4,자기계발, eBook    원씽   복잡한 세상을 이기는 단순함의 힘 EPUB                              , 제이 파파산 게리 켈러 저 구세희 역                                                            , 비즈니스북스                                        , 2013년 08월                                 ,"10,000원",4,4
5,자기계발, eBook    역행자   돈 시간 운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 EPUB                              , 자청 저                                                            , 웅진지식하우스                                        , 2022년 05월                                 ,"11,070원",4,4
6,자기계발, eBook    모든 것이 괜찮아지는 기술   불안  분노  스트레스로부터 나를 지키는 심리 기술 EPUB                              , 데런 브라운 저 김정희 역                                                            , 너를위한                                        , 2023년 01월                                 ,"12,300원",0,0
7,자기계발, eBook    데일 카네기 자기관리론 EPUB                              , 데일 카네기 저 임상훈 역                                                            , 현대지성                                        , 2021년 01월                                 ,"5,500원",4,4
8,자기계발, eBook    욕망의 진화   사랑  연애  섹스  결혼 남녀의 엇갈린 욕망에 담긴 진실 EPUB                              , 데이비드 버스 저 전중환 역                                                            , 사이언스북스                                        , 2019년 11월                                 ,"17,600원",0,0
9,자기계발, eBook    데일 카네기 인간관계론 EPUB  tvN 요즘책방 소개도서 27                             , 데일 카네기 저 임상훈 역                                                            , 현대지성                                        , 2019년 10월                                 ,"5,500원",4,4
10,자기계발, eBook    사람을 얻는 지혜 EPUB                              , 발타자르 그라시안 저 김유경 역                                                            , 현대지성                                        , 2022년 10월                                 ,"6,900원",5,5
11,자기계발, eBook    그릿 50만부 판매 기념 리커버 골드에디션    IQ  재능  환경을 뛰어넘는 열정적 끈기의 힘 EPUB  유튜브 김미경 TV 소개도서 20190220                             , 앤절라 더크워스 저 김미정 역                                                            , 비즈니스북스                                        , 2022년 12월                                 ,"12,600원",4,4
12,자기계발, eBook     단독  운을 벌어야 돈이 벌린다 단독 선출간   EPUB                              , 이정재 저                                                            , 부커                                        , 2023년 02월                                 ,"11,480원",4,4
13,자기계발, eBook    비상식적 성공 법칙   부의 추월차선에 올라타는 가장 강력한 8가지 습관 EPUB                              , 간다 마사노리 저 서승범 역                                                            , 생각지도                                        , 2022년 06월                                 ,"13,000원",4,4
14,자기계발, eBook    생각하라 그리고 부자가 되어라   나폴레온 힐  부와 성공의 원칙 EPUB                              , 나폴레온 힐 저 빌 하틀리 편 이한이 역                                                            , 반니                                        , 2021년 06월                                 ,"13,000원",5,5
15,자기계발, eBook    마지막 몰입   나를 넘어서는 힘   내 안의 잠재력을 200  끌어올리는 마인드셋 EPUB                              , 짐 퀵 저 김미정 역                                                            , 비즈니스북스                                        , 2021년 02월                                 ,"11,760원",3,4
16,자기계발, eBook    아주 작은 습관의 힘   최고의 변화는 어떻게 만들어지는가 EPUB  유튜브 김미경 TV 소개도서 20190306                             , 제임스 클리어 저 이한이 역                                                            , 비즈니스북스                                        , 2019년 02월                                 ,"11,200원",4,4
17,자기계발, eBook    타이탄의 도구들   1만 시간의 법칙을 깬 거인들의 61가지 전략 EPUB                              , 팀 페리스 저                                                            , 토네이도                                        , 2017년 04월                                 ,"14,400원",4,4
18,자기계발, eBook    돈이 되는 말의 법칙   돈 버는 체질을 만드는 강력한 시스템 EPUB                              , 간다 마사노리 저                                                            , 살림출판사                                        , 2017년 01월                                 ,"9,100원",0,0
19,자기계발, eBook    일생에 단 한번은 독기를 품어라 EPUB                              , 권민창 저                                                            , 마인드셋 Mindset                                         , 2023년 02월                                 ,"11,000원",0,0
20,자기계발, eBook    꿈은 모르겠고 돈이나 잘 벌고 싶어 EPUB                              , 옆집 CEO 김민지  저                                                            , 마인드셋 Mindset                                         , 2022년 12월                                 ,"11,000원",0,0
21,자기계발, eBook    당신도 초자연적이 될 수 있다   나는 어떻게 원하는 내가 되는가  EPUB                              , 조 디스펜자 저 추미란 역                                                            , 샨티                                        , 2022년 11월                                 ,"22,000원",0,0
22,자기계발, eBook    브레이킹  당신이라는 습관을 깨라   과거에서 벗어나 새로운 내가 되는 법 EPUB                              , 조 디스펜자 저 편기욱 역                                                            , 샨티                                        , 2022년 11월                                 ,"20,000원",5,5
23,자기계발, eBook    빠르게 실패하기 EPUB                              , 존 크럼볼츠 라이언 바비노 저 도연 역                                                            , 스노우폭스북스                                        , 2022년 09월                                 ,"11,550원",0,0
24,자기계발, eBook    자소서 바이블 2 0   한 줄만 읽어도 합격하는 자소서 EPUB                              , 면접왕 이형 저                                                            , 얼라이브북스 alivebooks                                         , 2022년 09월                                 ,"16,830원",5,5
25,자기계발, eBook    가진 돈은 몽땅 써라   먹고 놀고 마시는 데 목숨 걸어라  다시 살 수 없는 것들에 투자하라  EPUB                              , 호리에 다카후미 저 윤지나 역                                                            , 쌤앤파커스                                        , 2022년 06월                                 ,"9,800원",5,5
26,자기계발, eBook    10배의 법칙   성공과 실패를 가르는 유일한 차이 EPUB                              , 그랜트 카돈 저 최은아 역                                                            , 부키                                        , 2022년 04월                                 ,"12,000원",5,5
