rank,genre,title,writer,company,date,price,star_content,star_edit
1,자연과학, eBook    물고기는 존재하지 않는다   상실  사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 EPUB                              , 룰루 밀러 저 정지인 역                                                            , 곰출판                                        , 2022년 01월                                 ,"11,900원",4,4
2,자연과학, eBook    다정한 것이 살아남는다 EPUB                              , 브라이언 헤어 버네사 우즈 공저   이민아 역   박한선 감수                                                            , 아카넷                                        , 2021년 10월                                 ,"17,000원",4,4
3,자연과학, eBook    ChatGPT와 DALLE2로 인공지능 내맘대로 다루기   AI와 함께 동화 쓰고 달리로 고호 스타일 그림 그리기 PDF                              , 초보AI 저                                                            , e퍼플                                        , 2023년 02월                                 ,"12,000원",4,4
4,자연과학, eBook    종의 기원 EPUB                              , 찰스 로버트 다윈 저 장대익 역 최재천 최정규 전중환 강호정 김성한 주일우 기획                                                            , 사이언스북스                                        , 2023년 02월                                 ,"18,000원",4,4
5,자연과학, eBook    오토캐드 40시간 완성 PDF                              , 신동진 저                                                            , 피앤피북                                        , 2021년 04월                                 ,"8,900원",0,0
6,자연과학, eBook    나를 나답게 만드는 것들   유전자  세균  그리고 나를 나답게 만드는 특이한 힘들에 관하여 EPUB                              , 빌 설리번 저                                                            , 브론스테인                                        , 2021년 01월                                 ,"13,800원",4,4
7,자연과학, eBook    사이코패스 뇌과학자   괴물은 태어나는가  만들어지는가 EPUB                              , 제임스 팰런 저 김미선 역                                                            , 더퀘스트                                        , 2020년 10월                                 ,"12,800원",5,5
8,자연과학, eBook    노화의 종말   하버드 의대 수명 혁명 프로젝트 EPUB                              , 데이비드 A  싱클레어 매슈 D  러플랜트 저                                                            , 부키                                        , 2020년 08월                                 ,"15,500원",4,4
9,자연과학, eBook    초공간   평행우주  시간왜곡  10차원 세계로 떠나는 과학 오디세이 EPUB                              , 미치오 카쿠 저 박병철 역                                                            , 김영사                                        , 2018년 06월                                 ,"15,750원",4,4
10,자연과학, eBook    제약바이오 산업의 실무 PDF                              , 임형식 저                                                            , 군자출판사                                        , 2023년 03월                                 ,"30,000원",0,0
11,자연과학, eBook    김남호의 F1 스토리   가장 뜨거운 모터스포츠의 세계 속으로 EPUB                              , 김남호 저                                                            , 42미디어콘텐츠                                        , 2023년 02월                                 ,"38,000원",0,0
12,자연과학, eBook    우주로 가는 물리학   미시세계에서 암흑물질까지  우주의 실체를 향한 여정 EPUB                              , 마이클 다인 저 이한음 역                                                            , 은행나무                                        , 2023년 01월                                 ,"16,000원",0,0
13,자연과학, eBook    우리는 각자의 세계가 된다   뇌과학과 신경과학이 밝혀낸 생후배선의 비밀 EPUB                              , 데이비드 이글먼 저 김승욱 역                                                            , 알에이치코리아 RHK                                         , 2023년 02월                                 ,"15,400원",0,0
14,자연과학, eBook    박테리아에서 바흐까지  그리고 다시 박테리아로   무생물에서 마음의 출현까지 EPUB                              , 대니얼 데닛 저 신광복 역                                                            , 바다출판사                                        , 2023년 01월                                 ,"38,000원",0,0
15,자연과학, eBook    생물은 왜 죽는가 EPUB                              , 고바야시 다케히코 저                                                            , 허클베리북스                                        , 2023년 01월                                 ,"13,000원",0,0
16,자연과학, eBook    물리의 정석   특수 상대성 이론과 고전 장론 편   특수 상대성 이론과 고전 장론 편 PDF                              , 레너드 서스킨드 아트 프리드먼 저 이종필 역                                                            , 사이언스북스                                        , 2022년 12월                                 ,"20,000원",0,0
17,자연과학, eBook    SF see follow  고등 수학2 단원별정리 3 미분계수와 도함수   고2 수2 미분법 손글씨 풀이집 PDF                              , 이두영 저                                                            , 자두나무 한입                                         , 2022년 12월                                 ,"4,000원",0,0
18,자연과학, eBook    화이트 스카이 EPUB                              , 엘리자베스 콜버트 저 김보영 역                                                            , 쌤앤파커스                                        , 2022년 09월                                 ,"12,600원",0,0
19,자연과학, eBook     대여  세상의 모든 법칙   세상의 작동 원리를 명쾌하게 설명해주는 가장 정확한 언어 30  할인 쿠폰 받아 구입하세요  EPUB                              , 시라토리 케이 저 김정환 역                                                            , 포레스트북스                                        , 2022년 06월                                 ,"6,300원",0,0
20,자연과학, eBook    쉽게 익히는 기초 전기이론 PDF                              , 최운식 저                                                            , 이앤북스                                        , 2022년 06월                                 ,"20,000원",0,0
21,자연과학, eBook    내가 된다는 것   데이터  사이보그  인공지능 시대에 인간 의식을 탐험하다 EPUB                              , 아닐 세스 저 장혜인 역                                                            , 흐름출판                                        , 2022년 08월                                 ,"16,000원",5,5
