rank,genre,title,writer,company,date,price,star_content,star_edit
1,잡지, eBook    맥심 MAXIM 2023  1월호  Friends with Benefits  PDF                              , 맥심편집부 저                                                            , 와이미디어 맥심                                         , 2023년 01월                                 ,"4,800원",0,0
2,잡지, eBook    씨네21 2023년 02월호 1393호 PDF                              , 씨네21 주  저                                                            , 씨네21 주                                         , 2023년 02월                                 ,"2,700원",0,0
3,잡지, eBook    맥심 MAXIM 2023  2월호  꽐라  PDF                              , 맥심편집부 저                                                            , 와이미디어 맥심                                         , 2023년 02월                                 ,"4,800원",0,0
4,잡지, eBook    맥심 MAXIM 2022  11월호  창간20주년  PDF                              , 맥심편집부 저                                                            , 와이미디어 맥심                                         , 2022년 11월                                 ,"4,500원",0,0
5,잡지, eBook    알면 보이고 보이면 돈이 되는 상권의 비밀   상권분석 전문가가 알려주는 상가 투자 절대원칙 EPUB                              , 이홍규 저                                                            , 새로운제안                                        , 2022년 12월                                 ,"11,900원",0,0
6,잡지, eBook    씨네21 2022년 12월호 1386호 PDF                              , 씨네21 주  저                                                            , 씨네21 주                                         , 2022년 12월                                 ,"2,700원",0,0
7,잡지, eBook    맥심 MAXIM 2022  9월호  치어리더 이다혜  PDF                              , 맥심편집부 저                                                            , 와이미디어 맥심                                         , 2022년 09월                                 ,"4,500원",0,0
8,잡지, eBook    맥심 MAXIM 2022  8월호  육덕  PDF                              , 맥심편집부 저                                                            , 와이미디어 맥심                                         , 2022년 08월                                 ,"4,500원",0,0
9,잡지, eBook    bakery 2021년 03월호 PDF                              ,  사 대한제과협회 저                                                            ,  사 대한제과협회                                        , 2021년 03월                                 ,"5,000원",0,0
10,잡지, eBook    뉴필로소퍼 vol  7   부동산이 삶을 지배하는 사회 PDF                              , 뉴필로소퍼 편집부 저                                                            , 바다출판사                                        , 2019년 08월                                 ,"10,000원",0,0
11,잡지, eBook    뉴필로소퍼 vol 1   너무 많은 접속의 시대 PDF                              , 뉴필로소퍼 편집부 저                                                            , 바다출판사                                        , 2018년 07월                                 ,"10,000원",5,5
12,잡지, eBook    엄마는 생각쟁이 2018년 5월호 PDF  엄마는 생각쟁이                             , 엄마는 생각쟁이 편집부 저                                                            , 웅진씽크빅                                        , 2018년 05월                                 ,"1,200원",0,0
13,잡지, eBook    엄마는 생각쟁이 2018년 1월호 PDF  엄마는 생각쟁이                             , 엄마는 생각쟁이 편집부 저                                                            , 웅진씽크빅                                        , 2018년 01월                                 ,"1,200원",4,4
14,잡지, eBook    니콘 D750 활용가이드   뛰어난 기동성의 FX 포맷 PDF                              ,                                  미디어브릿지 편집부 저                                                            , 미디어브리지                                        , 2019년 03월                                 ,"12,000원",0,0
15,잡지, eBook    맥심 MAXIM 2016년 06월호 PDF  맥심 MAXIM                             , 편집부 저                                                            , 와이미디어 맥심                                         , 2016년 06월                                 ,"3,800원",5,5
16,잡지, eBook    맥심 MAXIM 2016년 04월호 PDF  맥심 MAXIM                             , 와이미디어 편집부 저                                                            , 와이미디어 맥심                                         , 2016년 04월                                 ,"3,800원",0,0
17,잡지, eBook    맥심 MAXIM 2016년 02월호 PDF  맥심 MAXIM                             , 와이미디어 편집부 저                                                            , 와이미디어 맥심                                         , 2016년 02월                                 ,"3,800원",4,4
