rank,genre,title,writer,company,date,price,star_content,star_edit
1,종교, eBook    DO IT 두잇   마지막 때를 알고 이기는 자가 되는 EPUB                              , 데이비드 차 저                                                            , 아크출판사                                        , 2023년 02월                                 ,"14,000원",0,0
2,종교, eBook    묵상과 설교  2023년 3 4월호 마태복음15 28장  민수기 11 20장  EPUB                              , 성서유니온 출판부 저                                                            , 한국성서유니온선교회                                        , 2023년 03월                                 ,"15,000원",0,0
3,종교, eBook    관계   하나님  저는 관계가 너무 힘들어요 EPUB                              , 김일환 저                                                            , 규장                                        , 2023년 02월                                 ,"10,500원",0,0
4,종교, eBook    보라통독   하나님을 알아가는 90일 성경읽기 PDF                              , 이상준 저                                                            , 두란노서원                                        , 2021년 04월                                 ,"18,000원",0,0
5,종교, eBook    기독교가 직면한 12가지 질문 EPUB                              , 레베카 맥클러플린 저   이여진 역                                                            , 죠이선교회                                        , 2021년 11월                                 ,"12,600원",0,0
6,종교, eBook    YOUCAT 성경 PDF                              , YOUCAT 재단 저 허규 역                                                            , 가톨릭출판사                                        , 2020년 04월                                 ,"16,800원",0,0
7,종교, eBook    광야를 살다 EPUB                              , 이진희 저                                                            , 두란노                                        , 2019년 08월                                 ,"11,200원",0,0
8,종교, eBook    시냇가에 심은 나무  격월간    3 4월  2023  PDF                              , 신승철 등저 저                                                            , IVP                                        , 2023년 02월                                 ,"4,000원",0,0
9,종교, eBook    수심결과 마음공부   완전한 행복에 다가가는 가장 오래된 마음 비결 EPUB                              , 법상 저                                                            , 불광출판사                                        , 2023년 02월                                 ,"14,000원",0,0
10,종교, eBook    동산의 샘   The Fountain of Garden PDF                              , 제시카 윤 저                                                            , 규장                                        , 2023년 01월                                 ,"17,500원",0,0
11,종교, eBook    세상을 사는 그리스도인   하나님께서 주신 환상을 바라보며  세상의 별이 된 다니엘처럼 EPUB                              , 조영민 저                                                            , 주식회사 죠이북스                                        , 2023년 01월                                 ,"11,200원",0,0
12,종교, eBook    구약성경  책별로 만나다   말씀과 함께 구약편 EPUB                              , 양진일 저                                                            , 비아토르                                        , 2023년 01월                                 ,"15,000원",0,0
