rank,genre,title,writer,company,date,price,star_content,star_edit
1,청소년, eBook    아몬드   2020 일본 서점대상 번역소설상 수상작 EPUB                              , 손원평 저                                                            , 창비                                        , 2017년 03월                                 ,"8,400원",4,4
2,청소년, eBook     필독서 따라잡기  모든 것은 빛난다 휴버트 드레이퍼스  숀 켈리  EPUB   eBook  필독서 따라잡기                             , 베리타스알파 편집국 저                                                            , 베리타스알파                                        , 2014년 09월                                 ,"1,000원",4,4
3,청소년, eBook    초등입학 엄마의 비밀노트   1학년만 15년  현직 베테랑 교사가 알려주는 초등학교 입학 적응 완벽 지침서 EPUB                              , 지서영 저                                                            , 이페이지                                        , 2023년 01월                                 ,"1,000원",5,5
4,청소년, eBook    AI는 인문학을 먹고 산다   인문학으로 인공지능 시대를 주도하라 EPUB                              , 한지우 저                                                            , 미디어숲                                        , 2021년 11월                                 ,"11,060원",0,0
5,청소년, eBook         EPUB                              , 오하루 저                                                            , 선스토리                                        , 2022년 12월                                 ,"8,100원",0,0
6,청소년, eBook    필요했어  이런 미술 수업   미술실에서 만나는 과학 수학 문학 역사 경제 사회 EPUB                              , 엄미정 저                                                            , 다른                                        , 2022년 10월                                 ,"10,150원",0,0
7,청소년, eBook    어떤 은수를 EPUB                              , 히로시마 레이코 글 하시 가쓰카메 그림 이소담 역                                                            , 위즈덤하우스                                        , 2022년 08월                                 ,"10,150원",0,0
8,청소년, eBook    왜요  기후가 어떤데요    탄소 발자국에 숨은 기후 위기 EPUB                              , 최원형 저 김예지 그림                                                            , 동녘                                        , 2022년 06월                                 ,"9,100원",0,0
9,청소년, eBook    10대를 위한 나의 첫 고전 읽기 수업 EPUB                              , 박균호 저                                                            , 다른                                        , 2021년 05월                                 ,"9,800원",0,0
10,청소년, eBook     필독서 따라잡기  노동의 배신 EPUB                              , 베리타스알파 저                                                            , 베리타스알파                                        , 2021년 05월                                 ,"1,000원",0,0
11,청소년, eBook    청소년을 위한 자존감 수업   자유로운 삶  공부보다 자존감이다 PDF                              , 이형준 저                                                            , 하늘아래                                        , 2020년 10월                                 ,"9,000원",0,0
12,청소년, eBook    이토록 공부가 재미있어지는 순간   공부에 지친 청소년들을 위한 힐링 에세이 EPUB                              , 박성혁 저                                                            , 다산북스                                        , 2020년 07월                                 ,"10,500원",5,4
13,청소년, eBook    어린이와 청소년을 위한 징비록 EPUB                              , 류성룡 저 박지숙 편                                                            , 보물창고                                        , 2019년 05월                                 ,"8,300원",0,0
14,청소년, eBook    재미없는 영화  끝까지 보는 게 좋을까    질문하는 사회 04 EPUB                              , 박정호 글 이우일 그림                                                            , 나무를심는사람들                                        , 2018년 06월                                 ,"9,100원",0,0
15,청소년, eBook    너는 문제없어   10대를 위한 써나쌤의 멘토레터 EPUB                              , 오선화 저                                                            , 틔움출판                                        , 2018년 06월                                 ,"7,000원",0,0
16,청소년, eBook    청소년을 위한 한국고전문학사   상고부터 조선까지  단군부터 홍길동까지 PDF                              , 김은정 류대곤 저                                                            , 미다스북스 리틀미다스                                         , 2016년 11월                                 ,"10,800원",0,0
17,청소년, eBook     필독서 따라잡기  정신현상학  G W E 헤겔  EPUB   eBook  필독서 따라잡기                             , 베리타스알파 편집국 저                                                            , 베리타스알파                                        , 2016년 04월                                 ,"1,000원",4,4
18,청소년, eBook     필독서 따라잡기  마셜 호지슨의 세계사론   유럽  이슬람  세계사 다시 보기  마셜 호지슨  EPUB   eBook  필독서 따라잡기                             , 베리타스알파 편집국 저                                                            , 베리타스알파                                        , 2016년 04월                                 ,"1,000원",3,3
19,청소년, eBook     필독서 따라잡기  실천윤리학  피터 싱어  EPUB   eBook  필독서 따라잡기                             , 베리타스알파 편집국 저                                                            , 베리타스알파                                        , 2016년 01월                                 ,"1,000원",3,3
20,청소년, eBook    중학교 교과서 필수 영단어  중1 2 3학년 종합  EPUB                              , McKathy 저                                                            , u paper 유페이퍼                                         , 2015년 11월                                 ,"1,500원",4,4
21,청소년, eBook    중고등학생이 꼭 읽어야 할 한국단편소설 34  EPUB                              , 현진건 외 저                                                            , EASYCOMM BOOKS 이지컴북스                                         , 2015년 08월                                 ,"4,900원",0,0
22,청소년, eBook     필독서 따라잡기  삶의 격   존엄성을 지키며 살아가는 방법  페터 비에리  EPUB   eBook  필독서 따라잡기                             , 베리타스알파 편집국 저                                                            , 베리타스알파                                        , 2015년 07월                                 ,"1,000원",4,4
