rank,genre,title,writer,company,date,price,star_content,star_edit
1,크레마 (전자책 단말기), eBook    The Midnight Library EPUB                              , Matt Haig 저                                                            , Penguin Publishing Group                                        , 2020년 09월                                 ,"16,500원",0,0
2,크레마 (전자책 단말기), eBook    Princeton Review ACT Prep  2023 EPUB                              , The Princeton Review 저                                                            , Random House Children s Books                                        , 2023년 01월                                 ,"21,600원",0,0
3,크레마 (전자책 단말기), eBook    금붕어는 죽어있었다           일본어로 읽는 미스터리소설 후리가나판 1 EPUB                              , 오시타 우다루 저                                                            , 쭐                                        , 2022년 08월                                 ,"1,000원",0,0
4,크레마 (전자책 단말기), eBook    Supra Gingival Minimally Invasive Dentistry EPUB                              , Jose Luis Ruiz 저                                                            , Wiley Blackwell                                        , 2017년 05월                                 ,"163,730원",0,0
5,크레마 (전자책 단말기), eBook    Verse EPUB                              , Charles O  Hartman 저                                                            , Wiley Blackwell                                        , 2015년 09월                                 ,"70,740원",0,0
6,크레마 (전자책 단말기), eBook    회귀모형 PDF                              , 김성수 강명욱 강위창  공저                                                            , 한국방송통신대학교출판문화원                                        , 2017년 08월                                 ,"9,000원",0,0
7,크레마 (전자책 단말기), eBook    오만과 편견  원서  EPUB                              , 제인 오스틴 저                                                            , 효솔                                        , 2021년 01월                                 ,"3,000원",4,4
8,크레마 (전자책 단말기), eBook    마지막 잎새  원서  EPUB                              , 오 헨리 저                                                            , 효솔                                        , 2021년 01월                                 ,"1,000원",4,4
9,크레마 (전자책 단말기), eBook    Black Mirror and Philosophy EPUB                              , David Kyle Johnson 저                                                            , Wiley Blackwell                                        , 2019년 12월                                 ,"13,080원",0,0
10,크레마 (전자책 단말기), eBook    The White Giraffe Series   Dolphin Song EPUB                              , Lauren St John 저                                                            , Hachette Children s Group                                        , 2010년 05월                                 ,"16,000원",0,0
11,크레마 (전자책 단말기), eBook    The Parkinson s Playbook EPUB                              , Robert Smith 저                                                            , Hatherleigh Press                                        , 2017년 09월                                 ,"15,800원",0,0
12,크레마 (전자책 단말기), eBook    Moonwalking with Einstein EPUB                              , Joshua Foer 저                                                            , Penguin Publishing Group                                        , 2011년 03월                                 ,"3,500원",0,0
13,크레마 (전자책 단말기), eBook    How Christianity Changed the World EPUB                              , Alvin J  Schmidt 저                                                            , Zondervan                                        , 2009년 12월                                 ,"24,000원",0,0
14,크레마 (전자책 단말기), eBook    Leo and His Circle EPUB                              , Annie Cohen Solal 저                                                            , Knopf Doubleday Publishing Group                                        , 2010년 05월                                 ,"47,000원",0,0
15,크레마 (전자책 단말기), eBook    Hold On to Your Kids EPUB                              , Gordon Neufeld , Gabor Mate  M D  저                                                            , Random House Publishing Group                                        ,"20,500원",0,0
16,크레마 (전자책 단말기), eBook    Dance Dance Dance EPUB                              , Haruki Murakami 저                                                            , Knopf Doubleday Publishing Group                                        , 2015년 05월                                 ,"18,500원",0,0
17,크레마 (전자책 단말기), eBook    Mrs Harris Goes to Moscow EPUB                              , Paul Gallico 저                                                            , Bloomsbury Publishing                                        , 2012년 05월                                 ,"9,500원",0,0
18,크레마 (전자책 단말기), eBook    Mrs Harris Goes to Paris   Mrs Harris Goes to New York EPUB                              , Paul Gallico 저                                                            , Bloomsbury Publishing                                        , 2010년 08월                                 ,"12,000원",0,0
19,크레마 (전자책 단말기), eBook    Mrs Harris MP EPUB                              , Paul Gallico 저                                                            , Bloomsbury Publishing                                        , 2012년 05월                                 ,"9,500원",0,0
