rank,genre,title,writer,company,date,price,star_content,star_edit
1,판타지 무협, eBook    내가 키운 S급들 , 근서 저                                                            , 제이플러스                                        , 2020년 05월                                 ,"3,500원",4,4
2,판타지 무협, eBook    진혼기 EPUB  완결                              , 정연 저                                                            , 레드독퍼블리싱그룹                                        , 2021년 12월                                 ,"3,200원",4,4
3,판타지 무협, eBook    정령왕 엘퀴네스  개정판  , 이환 저                                                            , 드림북스                                        , 2020년 09월                                 ,200원,3,3
4,판타지 무협, eBook    역대급 암살천재의 현대생활 EPUB  완결                              , 꿀피스 저                                                            , 고렘팩토리                                        , 2023년 02월                                 ,"3,200원",0,0
5,판타지 무협, eBook    장침 먹는 깡촌 명의 EPUB                              , 가프 저                                                            , 문피아                                        , 2023년 01월                                 ,"2,880원",0,0
6,판타지 무협, eBook    재벌 매니지먼트 EPUB  완결                              , 필로스 저                                                            , Arete                                        , 2018년 08월                                 ,"1,000원",4,4
7,판타지 무협, eBook    천재 타자가 강속구를 숨김 EPUB  완결                              , 이블라인 저                                                            , 문피아                                        , 2022년 08월                                 ,"2,880원",5,5
8,판타지 무협, eBook    재벌집 막내아들 EPUB  완결                              , 산경 저                                                            , JHS BOOKS                                        , 2022년 03월                                 ,"3,000원",4,4
9,판타지 무협, eBook    절대마신  개정판  EPUB  완결                              , 장영훈 저                                                            , JHS BOOKS                                        , 2017년 04월                                 ,"1,000원",3,3
10,판타지 무협, eBook    룬의 아이들   윈터러 완전판 EPUB  완결                              , 전민희 저 저                                                            , 14월의책                                        , 2019년 09월                                 ,"6,800원",4,4
11,판타지 무협, eBook    임기 첫날에 게이트가 열렸다 EPUB                              , 피아조아 저                                                            , KW북스                                        , 2022년 12월                                 ,"3,200원",0,0
12,판타지 무협, eBook    내가 투자하면 다 오른다 EPUB                              , 자유RO 저                                                            , 문피아                                        , 2023년 01월                                 ,"2,880원",0,0
13,판타지 무협, eBook    사체 포식이 너무 강함 EPUB                              , Ame바 저                                                            , 문피아                                        , 2023년 01월                                 ,"2,880원",0,0
14,판타지 무협, eBook     대여   세트  원티드  아이돌의 아이돌이 되었다  총8권 완결  , 휭휭 저                                                            , 에이시스미디어                                        , 2023년 01월                                 ,"5,040원",0,0
15,판타지 무협, eBook     대여   세트  사체 포식이 너무 강함  총7권 완결  , Ame바 저                                                            , 문피아                                        , 2023년 01월                                 ,"4,860원",0,0
16,판타지 무협, eBook    스킬 무한의 만능 제작자 EPUB                              , 테리빈스 저                                                            , 문피아                                        , 2023년 01월                                 ,"2,880원",0,0
17,판타지 무협, eBook    SSS급 랭커 회귀하다 EPUB  완결                              , 갈드 저                                                            , 스토리아크                                        , 2022년 08월                                 ,"2,500원",0,0
18,판타지 무협, eBook     연재  죽은 헌터를 위한 파반느 EPUB  완결                              , 김사유 저                                                            , 고렘팩토리                                        , 2022년 08월                                 ,100원,0,0
19,판타지 무협, eBook    거신  개정판  EPUB  완결                              , 김강현 저                                                            , Arete                                        , 2017년 05월                                 ,"1,000원",3,3
20,판타지 무협, eBook    보표무적  개정판  EPUB  완결                              , 장영훈 저                                                            , Arete                                        , 2017년 04월                                 ,"1,000원",4,4
21,판타지 무협, eBook    달빛조각사 , 남희성 저                                                            ,  인타임                                        , 2020년 06월                                 ,"3,300원",4,4
22,판타지 무협, eBook    바람과 별무리 , 흰콩 저                                                            , 에피루스                                        , 2020년 08월                                 ,"2,500원",4,4
23,판타지 무협, eBook     대여   세트  대한제국의 수도는 만주로 정한다  총8권 완결  , 박명의하늘 저                                                            , 판타지존                                        , 2023년 01월                                 ,"5,040원",0,0
24,판타지 무협, eBook    귀환 마교관  개정판  EPUB  완결                              , 눈매 저                                                            , 콜로서스                                        , 2023년 02월                                 ,"3,200원",0,0
25,판타지 무협, eBook    철혈의 재벌 EPUB                              , 전장범 저                                                            , 문피아                                        , 2023년 01월                                 ,"2,880원",0,0
26,판타지 무협, eBook    대박환생 EPUB                              , 시커먼스 저                                                            , 라온E M                                        , 2023년 02월                                 ,"3,200원",0,0
27,판타지 무협, eBook    낙하산이 그렇게 일을 잘한다고  EPUB                              , 파셔 저                                                            , 제이플러스                                        , 2022년 09월                                 ,"2,500원",3,4
28,판타지 무협, eBook    천외천의 주인 EPUB                              , 한수오 저                                                            , 로크미디어                                        , 2023년 02월                                 ,"3,200원",0,0
29,판타지 무협, eBook     대여   세트  기프티드  GIFTED   총16권 완결  , 도서관식객 저                                                            , 로크미디어                                        , 2021년 04월                                 ,"10,800원",0,0
30,판타지 무협, eBook    현질하는 영주님  EPUB                              , 두파치타파 저                                                            , 문피아                                        , 2023년 01월                                 ,"3,200원",0,0
31,판타지 무협, eBook    농사로 이계 평정 EPUB                              , 마실물 저                                                            , JC미디어                                        , 2023년 01월                                 ,"3,200원",0,0
32,판타지 무협, eBook    각성한 능력이 OS EPUB  완결                              , 천월 저                                                            , 스토리야                                        , 2023년 01월                                 ,"2,400원",0,0
33,판타지 무협, eBook     연재  이혼 후 각성하다 EPUB                              , 동주 저                                                            , 고렘팩토리                                        , 2023년 01월                                 ,100원,0,0
