,yes24_rank,제목,yes24_writer,yes24_company,yes24_date,yes24_price,yes24_star_content,yes24_star_edit,yes24_gener,sm_gener,time_stamp
0,1,     조건  만남  삽화본                                ,문정민,로아,2021-05-01,3000,4,4,로맨스,문학,2023-02-23 14:09:08.536342
1,2,     토굴 공주                                 ,함초롱,제로노블,2022-12-01,3800,4,4,로맨스,문학,2023-02-23 14:09:08.536342
2,3,      세트  오빠 손은 약손  외전 포함   총2권   ,금나래,텐북,2021-05-01,4200,4,4,로맨스,문학,2023-02-23 14:09:08.536342
3,4,     오  담에 핀 꽃  개정판                                  ,박영,플로린,2023-02-01,3150,4,4,로맨스,문학,2023-02-23 14:09:08.536342
4,5,      세트  재혼 부부  총3권   ,윤소다,필연매니지먼트,2023-02-01,8370,4,3,로맨스,문학,2023-02-23 14:09:08.536342
5,6,     별채에는 불이 꺼지지 않는다                                 ,정은동,텐북,2022-08-01,2970,4,4,로맨스,문학,2023-02-23 14:09:08.536342
6,7,     괴물 아가씨와 성기사                                 ,손금,로즈엔,2023-02-01,3060,4,4,로맨스,문학,2023-02-23 14:09:08.536342
7,8,     몸태질                               ,금단,라떼북,2023-02-01,3240,3,3,로맨스,문학,2023-02-23 14:09:08.536342
8,9,     느와르 급발진주의                               ,초록개,스칼렛,2023-02-01,3420,4,4,로맨스,문학,2023-02-23 14:09:08.536342
9,10,     내 심장이 너만 불러                                 ,김결,필연매니지먼트,2021-04-01,3000,4,4,로맨스,문학,2023-02-23 14:09:08.536342
10,11,     불순종 Impure species                                  ,피오렌티,텐북,2022-09-01,3600,4,4,로맨스,문학,2023-02-23 14:09:08.536342
11,12,     논 트리거                                 ,몽슈,플로린,2022-03-01,4050,4,4,로맨스,문학,2023-02-23 14:09:08.536342
12,13,     미아                               ,도개비,봄미디어,2020-01-01,3800,4,4,로맨스,문학,2023-02-23 14:09:08.536342
13,14,     길들여진 건 누구일까                               ,리베냐,코튼북스,2022-10-01,3300,4,4,로맨스,문학,2023-02-23 14:09:08.536342
14,15,     구숙  만복을 빌어요                               ,구월류화,태평,2023-02-01,3200,4,4,로맨스,문학,2023-02-23 14:09:08.536342
15,16,     야성의 숲                                 ,이내리,피플앤스토리,2023-02-01,3500,5,5,로맨스,문학,2023-02-23 14:09:08.536342
16,17,     파렴치한 친구 아빠                               ,경조사매니아,로튼로즈,2023-02-01,900,5,5,로맨스,문학,2023-02-23 14:09:08.536342
17,18,     화제의 여학생                                 ,연초,라떼북,2019-02-01,3420,4,4,로맨스,문학,2023-02-23 14:09:08.536342
18,19,     마네킹 365                               ,황금뽀찌,누아르,2023-02-01,990,0,0,로맨스,문학,2023-02-23 14:09:08.536342
19,20,     타락한 땅에도 꽃은 피는가                                 ,이낙낙,에이블,2023-02-01,3200,4,4,로맨스,문학,2023-02-23 14:09:08.536342
20,21,     12시의 신데렐라                                 ,백우시,필,2023-02-01,3400,4,4,로맨스,문학,2023-02-23 14:09:08.536342
21,22,     영웅은 몸으로 구원한다                                 ,프레티아,윈썸,2022-11-01,5500,4,4,로맨스,문학,2023-02-23 14:09:08.536342
22,23,     어른 아빠                               ,지초가지천,로튼로즈,2023-02-01,900,5,5,로맨스,문학,2023-02-23 14:09:08.536342
23,24,      세트  수상한 문과장  총4권   ,벚꽃그리고,알에스미디어,2023-02-01,15840,0,0,로맨스,문학,2023-02-23 14:09:08.536342
24,25,     파시나르 Fascinar                                ,서정윤,나인,2023-02-01,4500,0,0,로맨스,문학,2023-02-23 14:09:08.536342
25,26,     나체 초밥                               ,탱글탱글,로튼로즈,2023-02-01,990,0,0,로맨스,문학,2023-02-23 14:09:08.536342
26,27,     왕자님 길들이기 물리                                  ,신예운,조아라,2023-02-01,2250,5,4,로맨스,문학,2023-02-23 14:09:08.536342
27,28,     오늘부터 천생연분                                 ,노승아,가하,2023-02-01,3420,4,4,로맨스,문학,2023-02-23 14:09:08.536342
28,29,     계략 후배                               ,이리안,레드립,2023-02-01,1530,0,0,로맨스,문학,2023-02-23 14:09:08.536342
29,30,     스탯 999  엄친아의  1                               ,얌쟘,텐북,2023-01-01,3510,4,3,로맨스,문학,2023-02-23 14:09:08.536342
30,31,     개는 주인이 필요하다                                 ,이고,위즈덤하우스,2022-09-01,3300,4,4,로맨스,문학,2023-02-23 14:09:08.536342
31,32,     마지막 파드되                                 ,김나무,다향,2023-02-01,3500,5,5,로맨스,문학,2023-02-23 14:09:08.536342
32,33,     여름의 밀도                               ,채랑비,SOME,2023-02-01,3690,3,3,로맨스,문학,2023-02-23 14:09:08.536342
33,34,     옥당금규 ,한청낙화,답인,2023-02-01,4400,0,0,로맨스,문학,2023-02-23 14:09:08.536342
34,35,     테라피스트                               ,진리타,텐북,2023-01-01,1000,4,4,로맨스,문학,2023-02-23 14:09:08.536342
35,36,     원래 그랬어                                ,오드리,로아,2023-02-01,1080,5,4,로맨스,문학,2023-02-23 14:09:08.536342
36,37,     미로                                 ,박수정,가하,2014-09-01,4000,4,4,로맨스,문학,2023-02-23 14:09:08.536342
37,38,     미친개 도련님 만들기                                 ,주시하,고렘팩토리,2023-01-01,3600,4,4,로맨스,문학,2023-02-23 14:09:08.536342
38,39,     임파스토 Impasto                                  ,우지혜,폴라리스,2022-12-01,3300,4,4,로맨스,문학,2023-02-23 14:09:08.536342
39,40,     나의 아빠 ,탱글탱글,로튼로즈,2022-12-01,1000,3,3,로맨스,문학,2023-02-23 14:09:08.536342
40,41,     마지막 여행이 끝나면                                 ,하늘가리기,피오렛,2021-06-01,3700,4,4,로맨스,문학,2023-02-23 14:09:08.536342
41,42,     이 결혼은 어차피 망하게 되어 있다                                 ,김차차,서커스,2021-05-01,7400,4,4,로맨스,문학,2023-02-23 14:09:08.536342
42,43,     고작 사랑이잖아                               ,령후,후후,2023-02-01,4000,0,0,로맨스,문학,2023-02-23 14:09:08.536342
43,44,     고은 나의 고은 ,서풍,밀리오리지널,2022-02-01,3600,4,4,로맨스,문학,2023-02-23 14:09:08.536342
44,45,     가짜 여동생을 원하면                                 ,로즈라인,로즈엔,2021-05-01,3800,4,4,로맨스,문학,2023-02-23 14:09:08.536342
45,46,     우리가 가족이 될 수 있을까요                                ,한이림,연담,2023-02-01,4000,4,4,로맨스,문학,2023-02-23 14:09:08.536342
46,47,     새장 속의 딸                               ,진수성찬,로튼로즈,2023-02-01,2700,3,3,로맨스,문학,2023-02-23 14:09:08.536342
47,48,     형부에게 박히는 밤                               ,경조사매니아,로튼로즈,2023-02-01,900,0,0,로맨스,문학,2023-02-23 14:09:08.536342
48,49,     소프트코어 필름 Softcore Film                                  ,오로지,에피루스,2023-01-01,3500,4,4,로맨스,문학,2023-02-23 14:09:08.536342
49,50,     베이비시터                               ,진리타,텐북,2022-11-01,1000,4,4,로맨스,문학,2023-02-23 14:09:08.536342
50,51,     주인과 노예의 변증법                                 ,이정운,가하,2022-03-01,3400,4,4,로맨스,문학,2023-02-23 14:09:08.536342
51,52,      세트  왕자님 길들이기 물리   외전 포함   총4권   ,신예운,조아라,2023-02-01,8190,0,0,로맨스,문학,2023-02-23 14:09:08.536342
52,53,     불순한 취미활동                               ,진리타,텐북,2023-02-01,1500,0,0,로맨스,문학,2023-02-23 14:09:08.536342
53,54,     강산미인모                               ,수당저연운역,답인,2023-02-01,3000,0,0,로맨스,문학,2023-02-23 14:09:08.536342
54,55,     파파                               ,마뇽,텐북,2023-01-01,1800,4,4,로맨스,문학,2023-02-23 14:09:08.536342
55,56,     쓰레기 상황극 파트너들                               ,금단,로튼로즈,2022-12-01,2790,3,3,로맨스,문학,2023-02-23 14:09:08.536342
56,57,     튜린의 릴리엔                               ,나유혜,연담,2022-12-01,3400,4,4,로맨스,문학,2023-02-23 14:09:08.536342
57,58,     레이디 번견의 하룻밤 실수                                 ,참새대리,에클라,2022-10-01,3200,4,4,로맨스,문학,2023-02-23 14:09:08.536342
