순위,제목,저자,대여 횟수
1,"
                데일리 필로소피
            ","라이언 홀리데이, 스티븐 핸슬먼 지음 / 장원철 옮김","7,214개"
2,"
                가난해지지 않는 마음
            ",양다솔,"4,214개"
3,"
                만일 내가 인생을 다시 산다면
            ",김혜남,8.5만 개+
4,"
                불편한 편의점
            ",김호연 지음,32만 개+
5,"
                부자 아빠 가난한 아빠 20주년 특별 기념판
            ",저자 로버트 기요사키 지음 / 안진환 옮김,3.6만 개+
6,"
                매일 하면 좋은 생각
            ",김유진,"7,978개"
7,"
                만일 내가 인생을 다시 산다면
            ",김혜남,1.6만 개+
8,"
                오늘 밤, 세계에서 이 사랑이 사라진다 해도
            ","이치조미사키 지음, 권영주 옮김",12만 개+
9,"
                지구에서 영어생활자로 살아남는 법
            ",백애리,"2,078개"
10,"
                불편한 편의점
            ",김호연 지음,14만 개+
11,"
                역행자
            ",자청,14만 개+
12,"
                물고기는 존재하지 않는다
            ",룰루 밀러 / 정지인,11만 개+
13,"
                아무도 모를 것이다
            ",정보라,"2,020개"
14,"
                불편한 편의점 2
            ",김호연,12만 개+
15,"
                작별 인사
            ",김영하,12만 개+
16,"
                하얼빈
            ",김훈,4만 개+
17,"
                구의 증명
            ",최진영 지음,5.3만 개+
18,"
                어른 공부
            ",양순자 / 박용인,"2,144개"
19,"
                트렌드 코리아 2023
            ","김난도, 전미영, 최지혜, 이수진, 권정윤, 이준영, 이향은, 한다혜, 이혜원, 추예린",14만 개+
20,"
                가재가 노래하는 곳
            ","델리아 오언스 (지은이), 김선형 (옮긴이)",2.1만 개+
21,"
                레버리지
            ",롭 무어 지음 / 김유미 옮김,2.5만 개+
22,"
                대한민국 산업지도 2023
            ",이래학,"3,111개"
23,"
                데일 카네기 인간관계론
            ","데일카네기 지음, 임상훈 옮김",10만 개+
24,"
                인스타 브레인
            ","안데르스한센 지음, 김아영 옮김",2.5만 개+
25,"
                지적 대화를 위한 넓고 얕은 지식 1
            ",채사장 지음,13만 개+
26,"
                달러구트 꿈 백화점
            ",이미예 지음,33만 개+
27,"
                인생직업 플레이어 1권
            ",글삼,"3,464개"
28,"
                트렌드 코리아 2023
            ","김난도,전미영,최지혜,이수진,권정윤,이준영,이향은,한다혜,이혜원,추예린",2.5만 개+
29,"
                인생을 숙제처럼 살지 않기로 했다
            ",웃따,"1,060개"
30,"
                마흔에 읽는 니체
            ",장재형,4.9만 개+
31,"
                [독점] 연락해요
            ",송민선,"1,415개"
32,"
                신경 끄기 연습
            ",나이토 요시히토 지음 / 김한나 옮김,"7,618개"
33,"
                멸망한 세계의 시간 능력자 1권
            ",월천,"1,796개"
34,"
                알아두면 쓸데 있는 유쾌한 상식사전 1 : 일상생활 편
            ",조홍석,2.3만 개+
35,"
                데일 카네기 인간관계론
            ","데일카네기 지음, 임상훈 옮김",3.1만 개+
36,"
                물고기는 존재하지 않는다
            ",룰루 밀러 / 정지인,1.4만 개+
37,"
                철학을 잊은 리더에게
            ",기시미 이치로 지음,"1,185개"
38,"
                지적 대화를 위한 넓고 얕은 지식 0(제로)
            ",채사장 지음,14만 개+
39,"
                사피엔스
            ","유발하라리 지음, 조현욱 옮김",15만 개+
40,"
                내가 틀릴 수도 있습니다
            ",비욘 나티코 린데블라드 지은이/ 토마스 산체스 그림 / 박미경 옮김,6.9만 개+
41,"
                클루지
            ","개리마커스 지음, 최호영 옮김",5.2만 개+
42,"
                돈의 속성 200쇄 개정증보판
            ",김승호 지음,14만 개+
43,"
                불편한 편의점 2
            ",김호연,2.8만 개+
44,"
                [독점] 3분, 사랑에 빠지는 시간
            ",전혜진,459개
45,"
                시민의 교양
            ",채사장 지음,1.6만 개+
46,"
                돈을 부르는 100가지 생각
            ",나가마쓰 시게히사 / 박연정 ,"2,417개"
47,"
                테라피스트
            ",B. A. 패리스,4.7만 개+
48,"
                별자리 운세 2/10 - 2/23
            ",별주부인,314개
49,"
                머니 트렌드 2023
            ","부동산읽어주는남자(정태익) ,김도윤, 김경민, 김상균, 전영수, 최준철, 홍춘욱",2.5만 개+
50,"
                디자인 Design 2023.2
            ",월간 <디자인> 편집부,627개
51,"
                다정한 것이 살아남는다
            ","브라이언헤어,버네사우즈  / 이민아",4만 개+
52,"
                거의 모든 일상 표현의 영어
            ","케빈 강, 해나 변",3.4만 개+
53,"
                나의 첫사랑에게
            ",박혜민,"1,679개"
54,"
                달러구트 꿈 백화점
            ",이미예 지음,15만 개+
55,"
                천 원을 경영하라
            ",박정부,998개
56,"
                링커 : 유물의 주인을 찾아드립니다 1권
            ",이아농,"2,124개"
