순위,제목,저자,출판사,출간일,별점
3,고통의 비밀,"몬티 라이먼 (지은이), 박선영 (옮긴이) ", 상상스퀘어 , 2022년 11월,5.0
4,백년 목,정선근 (지은이) , 사이언스북스 , 2018년 7월,4.0
5,열방약국 유방암 상담소,김훈하 (지은이) , 리더북스 , 2022년 1월,5.0
6,식사가 잘못됐습니다,"마키타 젠지 (지은이), 전선영 (옮긴이), 강재헌 (감수) ", 더난출판사 , 2018년 10월,4.0
7,식사가 잘못됐습니다 2 실천편,"마키타 젠지 (지은이), 강재헌 (감수) ", 더난출판 , 2020년 12월,4.5
8,비만코드,"제이슨 펑 (지은이), 제효영 (옮긴이) ", 시그마북스 , 2018년 11월,4.5
9,치매의 거의 모든 기록,"웬디 미첼 (지은이), 조진경 (옮긴이) ", 문예춘추사 , 2022년 10월,5.0
10,노화의 종말,"매슈 D. 러플랜트, 데이비드 A. 싱클레어 (지은이), 이한음 (옮긴이) ", 부키 , 2020년 8월,4.0
11,미라클 브레인 푸드,"우마 나이두 (지은이), 김지혜 (옮긴이) ", 북라이프 , 2021년 5월,5.0
12,운동 말고 움직임 리셋,홍정기 (지은이) , EBS BOOKS , 2022년 1월,5.0
13,피톨로지 피트니스 영양학,"이호욱, 정자람 (지은이) ", 예문당 , 2021년 9월,3.5
14,헬스의 정석 : 이론편,수피 (지은이) , 한문화 , 2019년 10월,5.0
15,네 가지 질문 : 내 삶을 바꾸는 경이로운 힘,"스티븐 미첼, 바이런 케이티 (지은이), 김윤 (옮긴이) ", 침묵의향기 , 2020년 2월,5.0
16,건강의 뇌과학,"제임스 굿윈 (지은이), 박세연 (옮긴이) ", 현대지성 , 2022년 7월,5.0
17,나는 스마트폰으로 매일 인생사진 찍는다,방쿤 (지은이) , T.W.I.G(티더블유아이지)(주) , 2021년 6월,5.0
18,치매에 관한 새로운 생각,"티아 파월 (지은이), 제효영 (옮긴이) ", 브론스테인 , 2023년 2월,0.0
19,김대리의 쉽게 뜨는 요즘 니트,김대리(바늘이야기) (지은이) , 웅진리빙하우스 , 2022년 1월,4.5
20,맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 비에이블 , 2020년 7월,5.0
21,다이어트 불변의 법칙,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 , 2021년 9월,4.5
