순위,제목,저자,출판사,출간일,별점
1,데미안 (한글판),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2012년 10월,4.5
2,사랑의 기술 (개정판),"에리히 프롬 (지은이), 황문수 (옮긴이) ", 문예출판사 , 2019년 9월,4.0
3,어린 왕자 (한글+영문),"앙투안 드 생텍쥐페리 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 4월,5.0
4,이방인 (한글판),"알베르 카뮈 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 8월,4.0
5,싯다르타,"헤르만 헤세 (지은이), 박병덕 (옮긴이) ", 민음사 , 2014년 1월,4.5
6,노인과 바다 (한글+영문판),"어니스트 헤밍웨이 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2013년 6월,5.0
7,폭풍의 언덕 (한글판 + 영문판),"에밀리 브론테 (지은이), 김명신 (옮긴이) ", 더클래식 , 2014년 11월,4.5
8,종의 기원,"찰스 로버트 다윈 (지은이), 장대익 (옮긴이), 최재천 (감수), 다윈 포럼 (기획) ", 사이언스북스 , 2023년 2월,4.5
9,데미안 (한글+영문),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2013년 1월,4.5
10,1984 (한글+영문),"조지 오웰 (지은이), 정영수 (옮긴이) ", 더클래식 , 2013년 5월,5.0
11,오만과 편견 (한글+영문판),"제인 오스틴 (지은이), 김유미 (옮긴이) ", 더클래식 , 2013년 5월,3.5
12,달과 6펜스,"서머싯 몸 (지은이), 송무 (옮긴이) ", 민음사 , 2013년 3월,4.5
13,오만과 편견 (한글판),"제인 오스틴 (지은이), 김유미 (옮긴이) ", 더클래식 , 2013년 5월,4.0
14,키다리 아저씨 (한글판 + 영문판),"진 웹스터 (지은이), 허윤정 (옮긴이) ", 더클래식 , 2015년 9월,4.5
15,멋진 신세계,"올더스 헉슬리 (지은이), 안정효 (옮긴이) ", 소담출판사 , 2018년 6월,4.5
16,노인과 바다 (한글),"어니스트 헤밍웨이 (지은이), 이수정 (옮긴이) ", 더클래식 , 2012년 11월,4.0
17,동물농장,"조지 오웰 (지은이), 신동운 (옮긴이) ", 스타북스 , 2020년 4월,4.5
18,이방인,"알베르 카뮈 (지은이), 김화영 (옮긴이) ", 민음사 , 2020년 12월,4.5
19,페스트 (한글판+영문),"알베르 카뮈 (지은이), 변광배 (옮긴이) ", 미르북컴퍼니 , 2014년 6월,4.5
21,1984,"조지 오웰 (지은이), 정회성 (옮긴이) ", 민음사 , 2012년 7월,4.5
22,그리스인 조르바 (한글판),"니코스 카잔자키스 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 6월,4.0
23,두 도시 이야기 (한글+영문판),"찰스 디킨스 (지은이), 신윤진, 이수진 (옮긴이) ", 더클래식 , 2013년 6월,5.0
