순위,제목,저자,출판사,출간일,별점
2,미스터 프레지던트,탁현민 (지은이) , 메디치미디어 , 2023년 2월,5.0
3,사피엔스,"유발 하라리 (지은이), 조현욱 (옮긴이), 이태수 (감수) ", 김영사 , 2023년 1월,4.5
4,중국은 어떻게 실패하는가,"할 브랜즈, 마이클 베클리 (지은이), 김종수 (옮긴이) ", 부키 , 2023년 2월,5.0
5,정의란 무엇인가,"마이클 샌델 (지은이), 김명철 (옮긴이), 김선욱 (감수) ", 와이즈베리 , 2014년 11월,4.5
6,공정하다는 착각,"마이클 샌델 (지은이), 함규진 (옮긴이) ", 와이즈베리 , 2020년 11월,4.0
9,지리의 힘,"팀 마샬 (지은이), 김미선 (옮긴이) ", 사이 , 2016년 8월,4.0
10,영화를 빨리 감기로 보는 사람들,"이나다 도요시 (지은이), 황미숙 (옮긴이) ", 현대지성 , 2022년 11월,5.0
11,지리의 힘 2,"팀 마샬 (지은이), 김미선 (옮긴이) ", 사이 , 2022년 4월,4.0
13,마가리타 27호,양승채 (지은이) , 다다북스 , 2023년 1월,5.0
15,"사람, 장소, 환대",김현경 (지은이) , 문학과지성사 , 2016년 11월,0.0
16,우리는 중독을 사랑해,도우리 (지은이) , 한겨레출판 , 2022년 11월,4.5
17,사이보그가 되다,"김초엽, 김원영 (지은이) ", 사계절 , 2021년 1월,4.5
18,군주론,"니콜로 마키아벨리 (지은이), 김운찬 (옮긴이) ", 현대지성 , 2021년 7월,5.0
19,우리가 명함이 없지 일을 안 했냐,경향신문 젠더기획팀 (지은이) , 휴머니스트 , 2023년 1월,5.0
20,사물의 소멸,"한병철 (지은이), 전대호 (옮긴이) ", 김영사 , 2022년 9월,5.0
22,시장으로 간 성폭력,김보화 (지은이) , 휴머니스트 , 2023년 2월,3.5
23,선량한 차별주의자,김지혜 (지은이) , 창비 , 2019년 7월,4.0
24,자유론 (개정판),"존 스튜어트 밀 (지은이), 서병훈 (옮긴이) ", 책세상 , 2018년 4월,4.5
25,빈곤 과정,조문영 (지은이) , 글항아리 , 2022년 12월,4.0
26,나는 옐로에 화이트에 약간 블루,"브래디 미카코 (지은이), 김영현 (옮긴이) ", 다다서재 , 2020년 4월,5.0
27,돌봄과 작업,"홍한별, 정서경, 서유미 (지은이) ", 돌고래 , 2022년 12월,4.5
28,가족을 구성할 권리,김순남 (지은이) , 오월의봄 , 2022년 10월,5.0
29,"여성, 인종, 계급","앤절라 Y. 데이비스 (지은이), 성원 (옮긴이) ", arte(아르테) , 2022년 8월,5.0
