순위,제목,저자,출판사,출간일,별점
1,구의 증명,최진영 (지은이) , 은행나무 , 2015년 3월,4.0
8,불편한 편의점,김호연 (지은이) , 나무옆의자 , 2021년 4월,4.5
10,데미안 (한글판),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2012년 10월,4.5
11,단순한 열정,"아니 에르노 (지은이), 최정수 (옮긴이) ", 문학동네 , 2016년 12월,4.0
12,홍학의 자리,정해연 (지은이) , 엘릭시르 , 2021년 7월,4.0
13,가재가 노래하는 곳,"델리아 오언스 (지은이), 김선형 (옮긴이) ", 살림 , 2019년 6월,4.5
16,우중괴담,"미쓰다 신조 (지은이), 현정수 (옮긴이) ", 북로드 , 2022년 12월,5.0
17,파친코 2,이민진 (지은이) , 인플루엔셜(주) , 2022년 10월,5.0
19,참을 수 없는 존재의 가벼움,"밀란 쿤데라 (지은이), 이재룡 (옮긴이) ", 민음사 , 2021년 6월,4.5
20,작별인사,김영하 (지은이) , 복복서가 , 2022년 5월,4.0
22,어린 왕자 (한글+영문),"앙투안 드 생텍쥐페리 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 4월,5.0
23,나는 오래된 거리처럼 너를 사랑하고,진은영 (지은이) , 문학과지성사 , 2022년 11월,4.5
24,이방인 (한글판),"알베르 카뮈 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 8월,4.0
26,내가 나를 버린 날,"마츠무라 료야 (지은이), 권하영 (옮긴이) ", 북플라자 , 2022년 6월,4.5
27,배니시드,김도윤 (지은이) , 팩토리나인 , 2023년 2월,5.0
28,메이드,"니타 프로스 (지은이), 노진선 (옮긴이) ", 마시멜로 , 2023년 2월,5.0
29,인간실격 (한글판),"다자이 오사무 (지은이), 김소영 (옮긴이) ", 미르북컴퍼니 , 2013년 12월,4.0
30,"칵테일, 러브, 좀비",조예은 (지은이) , 안전가옥 , 2020년 4월,4.5
31,세상의 마지막 기차역,"무라세 다케시 (지은이), 김지연 (옮긴이) ", 모모 , 2022년 5월,4.5
32,싯다르타,"헤르만 헤세 (지은이), 박병덕 (옮긴이) ", 민음사 , 2014년 1월,4.5
33,노인과 바다 (한글+영문판),"어니스트 헤밍웨이 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2013년 6월,5.0
34,인간 실격,"다자이 오사무 (지은이), 김춘미 (옮긴이) ", 민음사 , 2012년 10월,4.0
35,프로젝트 헤일메리,"앤디 위어 (지은이), 강동혁 (옮긴이) ", 알에이치코리아(RHK) , 2021년 5월,5.0
36,눈물을 마시는 새 세트 (1~4권),이영도 (지은이) , 황금가지 , 2013년 10월,5.0
37,밝은 밤,최은영 (지은이) , 문학동네 , 2021년 7월,5.0
38,아몬드,손원평 (지은이) , 창비 , 2017년 3월,4.0
39,폭풍의 언덕 (한글판 + 영문판),"에밀리 브론테 (지은이), 김명신 (옮긴이) ", 더클래식 , 2014년 11월,4.5
40,이중 작가 초롱,이미상 (지은이) , 문학동네 , 2022년 11월,5.0
42,파과,구병모 (지은이) , 위즈덤하우스 , 2018년 4월,4.5
43,브람스를 좋아하세요…,"프랑수아즈 사강 (지은이), 김남주 (옮긴이) ", 민음사 , 2018년 6월,4.5
44,피프티 피플 (개정판),정세랑 (지은이) , 창비 , 2021년 10월,4.5
45,이야기의 핵심,"리비 호커 (지은이), 안은주 (옮긴이) ", 한즈미디어 , 2022년 9월,4.5
46,삼국지 원전 완역판 1 도원,"요시카와 에이지 (엮은이), 나관중 (원작), 바른번역 (옮긴이) ", 코너스톤 , 2020년 3월,4.5
47,왜 나는 너를 사랑하는가 (70만 부 기념 리커버),"알랭 드 보통 (지은이), 정영목 (옮긴이) ", 청미래 , 2022년 11월,0.0
48,노랜드,천선란 (지은이) , 한겨레출판 , 2022년 6월,5.0
49,15초 후에 죽는다,"사카키바야시 메이 (지은이), 이연승 (옮긴이) ", 블루홀식스(블루홀6) , 2023년 2월,5.0
50,우리가 빛의 속도로 갈 수 없다면,김초엽 (지은이) , 허블 , 2019년 6월,4.5
51,지구 끝의 온실,김초엽 (지은이) , 자이언트북스 , 2021년 8월,4.5
52,데미안 (한글+영문),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2013년 1월,4.5
53,1984 (한글+영문),"조지 오웰 (지은이), 정영수 (옮긴이) ", 더클래식 , 2013년 5월,5.0
54,오만과 편견 (한글+영문판),"제인 오스틴 (지은이), 김유미 (옮긴이) ", 더클래식 , 2013년 5월,3.5
55,달과 6펜스,"서머싯 몸 (지은이), 송무 (옮긴이) ", 민음사 , 2013년 3월,4.5
56,해가 지는 곳으로,최진영 (지은이) , 민음사 , 2017년 8월,4.5
59,심판,"베르나르 베르베르 (지은이), 전미연 (옮긴이) ", 열린책들 , 2020년 8월,4.5
60,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","이치조 미사키 (지은이), 권영주 (옮긴이) ", 모모 , 2021년 6월,4.0
61,오만과 편견 (한글판),"제인 오스틴 (지은이), 김유미 (옮긴이) ", 더클래식 , 2013년 5월,4.0
62,노르웨이의 숲,"무라카미 하루키 (지은이), 양억관 (옮긴이) ", 민음사 , 2019년 4월,4.0
63,하늘과 바람과 별과 시 (한글판),윤동주 (지은이) , 더클래식 , 2016년 2월,5.0
64,살인자의 기억법,김영하 (지은이) , 복복서가 , 2020년 8월,4.5
65,키다리 아저씨 (한글판 + 영문판),"진 웹스터 (지은이), 허윤정 (옮긴이) ", 더클래식 , 2015년 9월,4.5
66,SF 명예의 전당 1,"아이작 아시모프, 프레드릭 브라운, 리처드 매드슨, 프리츠 라이버, 존 W. 캠벨, A.E. 밴 보그트, 클리포드 D. 시맥, 머레이 라인스터, C. M 콘블루스, 앤소니 바우처, 제임스 블리시, 톰 고드윈 (지은이), 로버트 실버버그 (엮은이), 박상준, 고호관, 박병곤, 지정훈 (옮긴이) ", 오멜라스(웅진) , 2015년 2월,4.5
67,천사를 거부하는 우울한 연인에게,양안다 (지은이) , 문학동네 , 2023년 2월,5.0
68,하얼빈,김훈 (지은이) , 문학동네 , 2022년 8월,4.5
69,멋진 신세계,"올더스 헉슬리 (지은이), 안정효 (옮긴이) ", 소담출판사 , 2018년 6월,4.5
70,노인과 바다 (한글),"어니스트 헤밍웨이 (지은이), 이수정 (옮긴이) ", 더클래식 , 2012년 11월,4.0
71,소년이 온다,한강 (지은이) , 창비 , 2014년 5월,5.0
72,연금술사,"파울로 코엘료 (지은이), 최정수 (옮긴이) ", 문학동네 , 2020년 2월,4.5
73,동물농장,"조지 오웰 (지은이), 신동운 (옮긴이) ", 스타북스 , 2020년 4월,4.5
74,백광,"렌조 미키히코 (지은이), 양윤옥 (옮긴이) ", 모모 , 2022년 3월,4.5
75,인간의 마음을 사로잡는 스무 가지 플롯,"로널드 B. 토비아스 (지은이), 김석만 (옮긴이) ", 풀빛 , 2015년 3월,4.5
76,위저드 베이커리(개정판),구병모 (지은이) , 창비 , 2022년 3월,5.0
77,아홉수 가위,범유진 (지은이) , 안전가옥 , 2021년 10월,5.0
78,우리가 세상을 이해하길 멈출 때,"벵하민 라바투트 (지은이), 노승영 (옮긴이) ", 문학동네 , 2022년 6월,4.5
79,삼국지 원전 완역판 5 공명,"요시카와 에이지 (엮은이), 나관중 (원작), 바른번역 (옮긴이) ", 코너스톤 , 2020년 3월,0.0
80,삼국지 원전 완역판 4 신도,"요시카와 에이지 (엮은이), 나관중 (원작), 바른번역 (옮긴이) ", 코너스톤 , 2020년 3월,0.0
81,한 여자,"아니 에르노 (지은이), 정혜용 (옮긴이) ", 열린책들 , 2020년 2월,4.5
82,심령들이 잠들지 않는 그곳에서,"조나탕 베르베르 (지은이), 정혜용 (옮긴이) ", 열린책들 , 2023년 1월,5.0
83,리스본행 야간열차,"파스칼 메르시어(페터 비에리) (지은이), 전은경 (옮긴이) ", 비채 , 2022년 12월,5.0
87,달러구트 꿈 백화점,이미예 (지은이) , 팩토리나인 , 2020년 7월,4.0
88,2022 제13회 젊은작가상 수상작품집,"임솔아, 김병운, 김멜라 (지은이) ", 문학동네 , 2022년 4월,4.0
89,지구에서 한아뿐,정세랑 (지은이) , 난다 , 2019년 8월,4.0
90,이방인,"알베르 카뮈 (지은이), 김화영 (옮긴이) ", 민음사 , 2020년 12월,4.5
