순위,제목,저자,출판사,출간일,별점
1,긴긴밤,루리 (지은이) , 문학동네 , 2021년 2월,5.0
2,메타버스가 뭐예요?,"이시한 (지은이), 황정하 (그림) ", 풀빛 , 2022년 11월,5.0
3,모모,"미하엘 엔데 (지은이), 한미희 (옮긴이) ", 비룡소 , 2017년 12월,4.5
4,이솝 우화 : 함께 읽는 동화책 001,이솝 (지은이) , 화수분출판사 , 2017년 3월,0.0
5,내가 찾은 상인 - 우리 역사 속의 숨은 일꾼 이야기 03,"정인수 (지은이), 이명애 (그림) ", 풀빛 , 2013년 8월,4.5
6,기억 전달자,"로이스 로리 (지은이), 장은수 (옮긴이) ", 비룡소 , 2012년 7월,4.5
7,이상한 과자 가게 전천당 1,"히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이) ", 길벗스쿨 , 2020년 12월,4.5
8,메이플스토리 오프라인 RPG,송도수/서정은 (지은이) , 서울미디어코믹스 , 2019년 7월,5.0
9,이상한 과자 가게 전천당 16,"히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이) ", 길벗스쿨 , 2022년 11월,5.0
10,땡땡의 모험 01 : 소비에트에 간 땡땡,"에르제 (지은이), 이영목, 류진현 (옮긴이) ", 솔출판사 , 2022년 8월,4.5
11,마음 소화제 뻥뻥수,"김지영 (지은이), 김무연 (그림) ", 국민서관 , 2022년 8월,5.0
12,13층 나무 집,"앤디 그리피스 (지은이), 테리 덴톤 (그림), 신수진 (옮긴이) ", 시공주니어 , 2022년 3월,5.0
13,가짜 뉴스를 시작하겠습니다,"김경옥 (지은이), 주성희 (그림) ", 내일을여는책 , 2020년 10월,5.0
14,초등영어회화 첫걸음,Enjc 스터디 (지은이) , 랭컴(Lancom) , 2013년 5월,0.0
15,엽기 과학자 프래니 1,"짐 벤튼 (지은이), 박수현 (옮긴이) ", 사파리 , 2022년 11월,5.0
16,우리들의 MBTI 2 : 친구 관계,"조수연 (지은이), 소윤 (그림) ", 다산어린이 , 2022년 7월,5.0
17,우리들의 MBTI 1 : 성격 유형,"전판교, 조수연 (지은이), 소윤 (그림) ", 다산어린이 , 2022년 3월,5.0
18,수수께끼의 038사건,"엘러리 퀸 (지은이), 한국추리작가협회 (옮긴이) ", 해문출판사 , 2015년 12월,5.0
19,7. 견우와 직녀,동아출판사 편집부 (엮은이) , 동아출판 , 2015년 7월,0.0
20,"엄마, 받아쓰기 해 봤어?","송재환 (지은이), 이덕화 (그림) ", 계림북스 , 2016년 2월,5.0
21,마법천자문,"유대영 (지은이), 정수영 (그림), 강용철 (감수) ", 아울북 , 2023년 1월,5.0
22,수학감각 분수 1 - 분수의 개념,장기홍 (지은이) , 둘시네 , 2023년 2월,0.0
23,호랑이를 덫에 가두면,"태 켈러 (지은이), 강나은 (옮긴이) ", 돌베개 , 2021년 6월,4.5
24,동화 쓰는 법,이현 (지은이) , 유유 , 2018년 9월,4.5
25,Do it! 첫 파이썬 : 게임하듯 배우는 나의 첫 프로그래밍 책,엘리스 코딩 (지은이) , 이지스퍼블리싱 (주) , 2020년 4월,5.0
