순위,제목,저자,출판사,출간일,별점
1,사피엔스,"유발 하라리 (지은이), 조현욱 (옮긴이), 이태수 (감수) ", 김영사 , 2023년 1월,4.5
3,지리의 힘,"팀 마샬 (지은이), 김미선 (옮긴이) ", 사이 , 2016년 8월,4.0
4,지리의 힘 2,"팀 마샬 (지은이), 김미선 (옮긴이) ", 사이 , 2022년 4월,4.0
5,사소절,"이덕무 (지은이), 이동희 (옮긴이) ", 전통문화연구회 , 2013년 6월,4.5
6,거의 모든 것의 역사,"빌 브라이슨 (지은이), 이덕환 (옮긴이) ", 까치 , 2020년 5월,4.5
7,병자호란,"임용한, 조현영 (지은이) ", 레드리버 , 2022년 2월,4.5
8,만화로 배우는 와인의 역사,"브누아 시마 (지은이), 다니엘 카사나브 (그림), 이정은 (옮긴이) ", 한빛비즈 , 2019년 12월,4.5
9,"여성, 인종, 계급","앤절라 Y. 데이비스 (지은이), 성원 (옮긴이) ", arte(아르테) , 2022년 8월,5.0
10,로마인 이야기 1,"시오노 나나미 (지은이), 김석희 (옮긴이) ", 한길사 , 2022년 10월,4.0
11,박시백의 고려사 3,박시백 (지은이) , 휴머니스트 , 2023년 1월,5.0
13,중동전쟁,"임용한, 조현영 (지은이) ", 레드리버 , 2022년 12월,5.0
14,본격 한중일 세계사 15,굽시니스트 (지은이) , 위즈덤하우스 , 2023년 1월,4.0
15,하이켈하임 로마사 : 한 권으로 읽는 디테일 로마사,"프리츠 하이켈하임 (지은이), 김덕수 (옮긴이) ", 현대지성 , 2017년 11월,5.0
16,마녀를 심판하는 망치,"하인리히 크라머, 야콥 슈프랭거 (지은이), 이재필 (옮긴이) ", 우물이있는집 , 2017년 2월,5.0
17,[세트] 로마인 이야기 (총15권),"시오노 나나미 (지은이), 김석희 (옮긴이) ", 한길사 , 2022년 10월,0.0
18,마약 중독과 전쟁의 시대,"노르만 올러 (지은이), 박종대 (옮긴이) ", 열린책들 , 2022년 12월,5.0
19,바빌론의 역사,"카렌 라드너 (지은이), 서경의 (옮긴이), 유흥태 (감수) ", 더숲 , 2021년 11월,4.5
20,게르마니아 - 범우문고 223,푸블리우스 코르넬리우스 타키투스 (지은이) , 범우사 , 2013년 7월,0.0
21,광기와 우연의 역사 (최신 완역판),"슈테판 츠바이크 (지은이), 정상원 (옮긴이) ", 이화북스 , 2022년 1월,4.5
22,세계사를 바꾼 전쟁의 고수들,임용한 (지은이) , EBS BOOKS , 2022년 12월,4.0
23,거꾸로 읽는 세계사,유시민 (지은이) , 돌베개 , 2021년 10월,4.5
24,인간의 흑역사 : 인간의 욕심은 끝이 없고 똑같은 실수를 반복한다,"톰 필립스 (지은이), 홍한결 (옮긴이) ", 윌북 , 2019년 10월,4.5
25,거의 모든 전쟁의 역사,"제러미 블랙 (지은이), 유나영 (옮긴이) ", 서해문집 , 2022년 6월,3.5
26,세상에서 가장 짧은 한국사,김재원 (지은이) , 빅피시 , 2022년 6월,5.0
27,썬킴의 거침없는 세계사,썬킴 (지은이) , 넥서스 , 2021년 5월,5.0
28,일본의 굴레,"R. 태가트 머피 (지은이), 윤영수, 박경환 (옮긴이) ", 글항아리 , 2021년 4월,4.5
29,음식의 언어,"댄 주래프스키 (지은이), 김병화 (옮긴이) ", 어크로스 , 2015년 4월,4.5
30,30개 도시로 읽는 일본사,"조 지무쇼 (지은이), 이세연, 긴다 아키히로 (감수) ", 다산초당 , 2021년 12월,4.5
31,석유는 어떻게 세계를 지배하는가,최지웅 (지은이) , 부키 , 2019년 8월,4.5
32,메트로폴리스,"벤 윌슨 (지은이), 박수철 (옮긴이), 박진빈 (감수) ", 매일경제신문사 , 2021년 2월,5.0
33,박시백의 조선왕조실록,박시백 (지은이) , 휴머니스트 , 2015년 8월,4.5
34,돈의 흐름이 보이는 회계 이야기,구상수 (지은이) , 길벗 , 2020년 2월,4.5
35,본격 한중일 세계사 5,굽시니스트 (지은이) , 위즈덤하우스 , 2019년 4월,4.5
36,"유럽의 첫 번째 태양, 스페인","서희석, 호세 안토니오 팔마 (지은이) ", 을유문화사 , 2015년 10월,4.5
37,미즈키 시게루의 라바울 전기,"미즈키 시게루 (지은이), 김효진 (옮긴이) ", AK(에이케이)커뮤니케이션즈 , 2022년 6월,4.5
38,세상에서 가장 짧은 미국사,"폴 S. 보이어 (지은이), 김종원 (옮긴이) ", 위즈덤하우스 , 2021년 4월,5.0
39,인종이라는 신화,"로버트 월드 서스먼 (지은이), 김승진 (옮긴이) ", 지와사랑 , 2022년 12월,4.5
40,통세계사 퀴즈책,김상훈 (지은이) , 다산에듀 , 2012년 3월,4.5
41,조선의 공무원은 어떻게 살았을까?,권기환 (지은이) , 인물과사상사 , 2022년 12월,4.0
42,스탈린의 전쟁,"제프리 로버츠 (지은이), 김남섭 (옮긴이) ", 열린책들 , 2022년 12월,5.0
43,인권의 발명,"린 헌트 (지은이), 전진성 (옮긴이) ", 교유서가 , 2022년 12월,5.0
44,세계사 신박한 정리,박영규 (지은이) , 김영사 , 2022년 12월,4.5
