순위,제목,저자,출판사,출간일,별점
2,심판,"베르나르 베르베르 (지은이), 전미연 (옮긴이) ", 열린책들 , 2020년 8월,4.5
3,인간의 마음을 사로잡는 스무 가지 플롯,"로널드 B. 토비아스 (지은이), 김석만 (옮긴이) ", 풀빛 , 2015년 3월,4.5
4,혼자 해도 프로 작가처럼 잘 그리는 아이패드 드로잉 with 프로크리에이트,빨간고래(박정아) (지은이) , 한빛미디어 , 2022년 6월,5.0
5,나는 좌절의 스페셜리스트입니다,백혜선 (지은이) , 다산북스 , 2023년 1월,5.0
6,"철학자 들뢰즈, 화가 베이컨을 말하다",박정태 (지은이) , 이학사 , 2019년 1월,5.0
7,헤어질 결심 각본,"박찬욱, 정서경 (지은이) ", 을유문화사 , 2022년 8월,5.0
8,딜레마 사전,"안젤라 애커만, 베카 푸글리시 (지은이), 오수원 (옮긴이) ", 윌북 , 2022년 8월,4.5
9,모국어는 차라리 침묵,목정원 (지은이) , 아침달 , 2022년 6월,4.5
10,카메라를 끄고 씁니다,"양영희 (지은이), 인예니 (옮긴이) ", 마음산책 , 2022년 11월,5.0
11,나는 스마트폰으로 매일 인생사진 찍는다,방쿤 (지은이) , T.W.I.G(티더블유아이지)(주) , 2021년 6월,5.0
12,명화로 읽는 합스부르크 역사,"나카노 교코 (지은이), 이유라 (옮긴이) ", 한경arte , 2022년 10월,4.5
13,한경아르떼 합스부르크 600년 매혹의 걸작들 100배 즐기기,한경arte 특별취재팀 (지은이) , 한국경제신문 , 2022년 12월,5.0
14,일 잘하는 디자이너,"시부야 료이치(파치파치 디자인) (지은이), 안동현 (옮긴이) ", 이지스퍼블리싱 , 2023년 2월,5.0
16,바냐 아저씨 (한글판),"안톤 파블로비치 체호프 (지은이), 장한 (옮긴이) ", 더클래식 , 2014년 6월,5.0
17,빌런의 공식,"사샤 블랙 (지은이), 정지현 (옮긴이) ", 윌북 , 2022년 10월,5.0
18,한계선을 넘다,크래프톤 (지은이) , 황금가지 , 2022년 11월,5.0
19,[세트] 시나리오 어떻게 쓸 것인가 (총2권),"로버트 맥키 (지은이), 고영범, 이승민 (옮긴이) ", 민음인 , 2019년 2월,0.0
20,"디자인, 이렇게 하면 되나요?","오자와 하야토 (지은이), 구수영 (옮긴이) ", 제이펍 , 2022년 6월,5.0
21,오셀로,"윌리엄 셰익스피어 (지은이), 최종철 (옮긴이) ", 민음사 , 2013년 2월,4.5
22,파우스트 1,"요한 볼프강 폰 괴테 (지은이), 정서웅 (옮긴이) ", 민음사 , 2022년 5월,4.5
23,된다! 깨비의 DSLR&미러리스 사진 수업,박기덕 (지은이) , 이지스퍼블리싱 (주) , 2022년 1월,5.0
24,들으면서 익히는 클래식 명곡,최은규 (지은이) , 메이트북스 , 2022년 11월,5.0
25,시나리오 레시피,홍지운 (지은이) , 요다 , 2021년 12월,5.0
26,아이패드로 캐릭터 디자인 with 프로크리에이트,"3dtotal Publishing (지은이), 김혜연 (옮긴이) ", 이지스퍼블리싱 (주) , 2022년 4월,5.0
27,가장 쉬운 인스타툰 만들기,박희연(ELLA) (지은이) , 정보문화사 , 2022년 6월,5.0
28,문제적 캐릭터 심리 사전,"한민, 박성미, 유지현 (지은이) ", 시크릿하우스 , 2022년 10월,5.0
29,햄릿 (한글+영문판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2013년 6월,5.0
30,도시는 무엇으로 사는가,유현준 (지은이) , 을유문화사 , 2015년 5월,4.5
31,햄릿 (한글),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2012년 12월,4.0
32,묘사하는 마음,김혜리 (지은이) , 마음산책 , 2022년 8월,4.5
33,인형의 집,"헨리크 입센 (지은이), 안미란 (옮긴이) ", 민음사 , 2012년 7월,4.5
34,오셀로 (한글판 + 영문판),"윌리엄 셰익스피어 (지은이), 김민애 (옮긴이) ", 더클래식 , 2015년 1월,0.0
35,맥베스 (한글판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2013년 8월,4.0
36,쓸 만한 인간,박정민 (지은이) , 상상출판 , 2019년 9월,4.5
37,STORY 시나리오 어떻게 쓸 것인가,"로버트 맥키 (지은이), 고영범, 이승민 (옮긴이) ", 민음인 , 2019년 2월,4.5
38,손에 땀을 쥐게 하는 이야기 쓰는 법,"조단 E. 로젠펠드 (지은이), 정미화 (옮긴이) ", 아날로그(글담) , 2022년 4월,5.0
39,일러스트로 배우는 채색 테크닉,"무라 카루키 (지은이), 김재훈 (옮긴이) ", AK(에이케이)커뮤니케이션즈 , 2022년 6월,5.0
40,아가씨 각본,"박찬욱, 정서경 (지은이) ", 그책 , 2016년 9월,4.5
41,일산오빠의 실용음악 기초이론 1,윤영준 (지은이) , 1458music , 2018년 12월,4.5
42,오셀로 (한글판),"윌리엄 셰익스피어 (지은이), 김민애 (옮긴이) ", 더클래식 , 2017년 4월,0.0
43,관객모독,"페터 한트케 (지은이), 윤용호 (옮긴이) ", 민음사 , 2018년 12월,4.0
