순위,제목,저자,출판사,출간일,별점
2,원씽,"게리 켈러, 제이 파파산 (지은이), 구세희 (옮긴이) ", 비즈니스북스 , 2013년 8월,4.0
5,사이토 히토리의 1퍼센트 부자의법칙,"사이토 히토리 (지은이), 김진아 (옮긴이) ", 나비스쿨 , 2023년 2월,5.0
6,데일 카네기 인간관계론,"데일 카네기 (지은이), 임상훈 (옮긴이) ", 현대지성 , 2019년 10월,4.5
9,부는 어디서 오는가,"월리스 D. 와틀스 (지은이), 이상미 (옮긴이) ", 포레스트북스 , 2022년 12월,5.0
10,김미경의 마흔 수업,김미경 (지은이) , 어웨이크북스 , 2023년 2월,5.0
11,모든 것이 괜찮아지는 기술,"데런 브라운 (지은이), 김정희 (옮긴이) ", 너를위한 , 2023년 1월,5.0
12,보도 섀퍼 부의 레버리지,"보도 섀퍼 (지은이), 한윤진 (옮긴이) ", 비즈니스북스 , 2023년 2월,5.0
13,데일 카네기 자기 관리론 (국내 최초 무삭제 완역본),"데일 카네기 (지은이), 유광선(WILDS), 김광수 (옮긴이) ", 와일드북 , 2023년 1월,5.0
14,신경 끄기 연습,"나이토 요시히토 (지은이), 김한나 (옮긴이) ", 유노책주 , 2023년 1월,5.0
15,데일 카네기 자기관리론,데일 카네기 (지은이) , 현대지성 , 2021년 1월,4.5
16,타이탄의 도구들,"팀 페리스 (지은이), 박선령, 정지현 (옮긴이) ", 토네이도 , 2017년 4월,4.0
17,마지막 몰입,"짐 퀵 (지은이), 김미정 (옮긴이) ", 비즈니스북스 , 2021년 2월,4.5
19,그릿(50만부 판매 기념 리커버 골드에디션),"앤절라 더크워스 (지은이), 김미정 (옮긴이) ", 비즈니스북스 , 2019년 2월,4.5
20,사람을 얻는 지혜 (스페인어 원전 완역본),"발타자르 그라시안 (지은이), 김유경 (옮긴이) ", 현대지성 , 2022년 10월,5.0
21,10배의 법칙,"그랜트 카돈 (지은이), 최은아 (옮긴이) ", 부키 , 2022년 4월,4.5
