순위,제목,저자,출판사,출간일,별점
1,맥심 MAXIM 2023년 01월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2023년 1월,0.0
2,맥심 MAXIM 2023년 02월호,맥심코리아 편집부 (지은이) , 주식회사와이미디어 , 2023년 2월,0.0
3,챔프D,챔프D편집부 (지은이) , 대원씨아이 , 2023년 2월,0.0
4,맥심 MAXIM 2021년 01월호,"맥심 편집부, 맥심코리아 편집부 (지은이) ", 와이미디어 , 2021년 1월,5.0
5,"묵상과 설교 2023년 3-4월호(마태복음15-28장, 민수기 11-20장)",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2023년 3월,0.0
6,맥심  MAXIM 2022년 09월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2022년 9월,5.0
7,말씀대로 믿고 살고 누리는 큐티인(QTIN) (2023년 1/2월호),QTM편집부 (지은이) , QTM , 2022년 12월,0.0
8,맥심 MAXIM 2022년 11월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2022년 11월,4.0
9,맥심 MAXIM 2022년 12월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2022년 12월,0.0
10,맥심 MAXIM 2021년 07월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2021년 7월,0.0
11,한경비즈니스 1419호,한국경제매거진 (지은이) , 한국경제매거진 , 2023년 2월,0.0
12,맥심 MAXIM 2020년 09월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2020년 9월,0.0
13,맥심 MAXIM 2021년 10월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2021년 10월,0.0
14,맥심 MAXIM 2021년 09월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2021년 9월,0.0
15,맥심 MAXIM 2022년 08월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2022년 8월,5.0
16,맥심 MAXIM 2022년 07월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2022년 7월,0.0
17,맥심 MAXIM 2020년 11월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2020년 11월,0.0
18,"맥심
  MAXIM 2022년 04월호",맥심코리아 편집부 (지은이) , 와이미디어 , 2022년 4월,5.0
19,더 깊은 묵상을 위한 기초도구 GT 2023년 01+02월호,"권지현, 지티엠 편집부 (지은이) ", 도서출판gtm , 2022년 12월,0.0
20,맥심 MAXIM 2019년 12월호,맥심코리아 편집부 (지은이) , 와이미디어(맥심) , 2019년 12월,5.0
21,한편 9호 : 외모,민음사 편집부 (엮은이) , 민음사 , 2022년 9월,0.0
22,계간 문학동네,문학동네 편집부 (지은이) , 문학동네 , 2023년 1월,5.0
23,릿터 39호,릿터 편집부 (지은이) , 민음사 , 2023년 1월,5.0
24,월간 뉴턴 Newton 2022년 12월호,아이뉴턴 편집부 (지은이) , (주)아이뉴턴 , 2022년 12월,0.0
25,이코노미조선 2023년 02월호 479호,(주)조선비즈 (지은이) , (주)조선비즈 , 2023년 2월,0.0
26,식물의 과학,"금종해, 강연실, 허준이 (지은이) ", 이음 , 2022년 3월,3.0
27,계간 미스터리 2022.겨울호,"장우석, 유재이, 박소해 (지은이) ", 나비클럽 , 2023년 1월,5.0
28,좋은생각 : 2023년 03월호,좋은생각 편집부 (지은이) , 좋은생각 , 2023년 2월,0.0
29,이코노미조선 2023년 02월호 478호,(주)조선비즈 (지은이) , (주)조선비즈 , 2023년 2월,0.0
30,월간 뉴턴 Newton 2022년 05월호,아이뉴턴 편집부 (지은이) , (주)아이뉴턴 , 2022년 5월,0.0
31,더 깊은 묵상을 위한 기초도구 GT 2023년 03+04월호,권지현 (지은이) , 도서출판gtm , 2023년 2월,0.0
32,파티 Party,파티편집부 (지은이) , 학산문화사 , 2023년 2월,0.0
33,웰빙라이프 2023년 02월호,웰빙 라이프 편집부 (지은이) , 조선뉴스프레스 , 2023년 2월,0.0
34,더그아웃(DUGOUT) 2023년 01월호,(주)대단한미디어 (지은이) , (주)대단한미디어 , 2023년 1월,0.0
35,맥심 MAXIM 2021년 03월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2021년 3월,0.0
36,맥심 MAXIM 2021년 06월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2021년 6월,0.0
37,맥심 MAXIM 2022년 01월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2022년 1월,0.0
38,맥심 MAXIM 2018년 08월호,와이미디어 편집부 (지은이) , 와이미디어(맥심) , 2018년 8월,0.0
39,"묵상과 설교  2022년 7-8월호(히브리서, 시편 87-89편, 레위기 18-27장, 데살로니가전후서)",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2022년 7월,0.0
40,맥심 MAXIM 2021년 04월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2021년 4월,0.0
41,한편 7호 중독,민음사 편집부 (엮은이) , 민음사 , 2022년 1월,4.0
42,맥심 MAXIM 2019년 10월호,맥심코리아 편집부 (지은이) , 와이미디어(맥심) , 2019년 10월,0.0
43,맥심 MAXIM 2020년 03월호,맥심코리아 편집부 (지은이) , 와이미디어(맥심) , 2020년 3월,0.0
44,맥심 MAXIM 2018년 12월호,와이미디어 편집부 (지은이) , 와이미디어(맥심) , 2018년 12월,0.0
45,맥심 MAXIM 2020년 08월호,맥심코리아 편집부 (지은이) , 와이미디어 , 2020년 8월,0.0
46,맥심 MAXIM 2018년 11월호,맥심코리아 편집부 (지은이) , 와이미디어(맥심) , 2018년 11월,0.0
47,맥심 MAXIM 2019년 08월호,와이미디어 편집부 (지은이) , 와이미디어(맥심) , 2019년 8월,0.0
48,맥심 MAXIM 2018년 02월호,맥심코리아 편집부 (지은이) , 와이미디어(잡지) , 2018년 2월,4.0
49,맥심 MAXIM 2016년 12월호,맥심코리아 편집부 (엮은이) , 와이미디어(맥심) , 2016년 12월,5.0
50,서울의 3년 이하 퇴사자의 가게들: 하고 싶은 일 해서 행복하냐 묻는다면?,브로드컬리 편집부 (지은이) , 브로드컬리 , 2019년 6월,4.5
51,맥스큐 디지털화보집 Secret B Vol.8 최소현,(주)맥스큐인터내셔널 (지은이) , (주)맥스큐인터내셔널 , 2021년 3월,0.0
52,한국 스켑틱 SKEPTIC vol.28 : 인지 편향의 심리학,스켑틱 협회 편집부 (지은이) , 바다출판사 , 2022년 4월,2.5
53,맥심 MAXIM 2017년 09월호,맥심코리아 편집부 (지은이) , 와이미디어(잡지) , 2017년 8월,4.0
54,좋은생각 : 2023년 02월호,좋은생각 편집부 (지은이) , 좋은생각 , 2023년 1월,0.0
55,플래툰 2023년 02월호,멀티매니아호비스트 (지은이) , 멀티매니아호비스트 , 2023년 2월,0.0
56,한국 스켑틱 SKEPTIC vol.29 : 양자역학은 어떻게 세상을 바꾸는가,스켑틱협회 편집부 (지은이) , 바다출판사 , 2022년 12월,5.0
57,뉴필로소퍼 Vol.19,뉴필로소퍼 편집부 (지은이) , 바다출판사 , 2022년 12월,0.0
58,맥심 MAXIM 2016년 05월호,와이미디어 편집부 (지은이) , 와이미디어(맥심) , 2016년 5월,0.0
59,청소년 큐티인 2023년 1.2월호,QTM편집부 (지은이) , QTM , 2022년 12월,0.0
60,플래툰 2023년 01월호,멀티매니아호비스트 (지은이) , 멀티매니아호비스트 , 2023년 1월,0.0
61,"묵상과 설교 2017년 3,4월호",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2017년 2월,0.0
62,월간 뉴턴 Newton 2023년 01월호,아이뉴턴 편집부 (지은이) , (주)아이뉴턴 , 2023년 1월,0.0
63,"묵상과설교 2019년 9,10월호",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2019년 8월,0.0
64,릿터 34호,릿터 편집부 (지은이) , 민음사 , 2022년 4월,5.0
65,The Earthian Tales 어션 테일즈 No.2,"김보영, 고호관, 구한나리 (지은이) ", 아작 , 2022년 6월,4.5
66,"묵상과설교 2020년 3,4월호",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2020년 3월,0.0
67,플래툰 2022년 11월호,멀티매니아호비스트 (지은이) , 멀티매니아호비스트 , 2022년 11월,0.0
68,기획회의 576호,한국출판마케팅연구소 (지은이) , 한국출판마케팅연구소 , 2023년 1월,0.0
69,한경비즈니스 1418호,한국경제매거진 (지은이) , 한국경제매거진 , 2023년 1월,0.0
70,창작과비평 197호(2022년 가을호),창작과비평 편집부 (지은이) , 창비 , 2022년 9월,5.0
71,한국 스켑틱 SKEPTIC vol.10 : 지구 온난화의 과학,스켑틱 협회 편집부 (지은이) , 바다출판사 , 2017년 6월,4.5
72,월간 CASA LIVING 2023년 02월호,까사리빙 편집부 (지은이) , 시공사 , 2023년 1월,0.0
73,뉴필로소퍼 Vol.18,뉴필로소퍼 편집부 (지은이) , 바다출판사 , 2022년 12월,0.0
74,월간 미술 2022년 12월호,(주)월간미술 (지은이) , (주)월간미술 , 2022년 12월,0.0
75,"묵상과 설교 2017년 1,2월호",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2016년 12월,0.0
76,퍼블릭아트 2023년 02월호,(주)아트인포스트 (지은이) , (주)아트인포스트 , 2023년 2월,0.0
