순위,제목,저자,출판사,출간일,별점,장르
1,맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우 (지은이) , 빅피시 , 2022년 5월,5.0,요리/살림
2,요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피	,이은경 (지은이) , 메가스터디BOOKS	 , 2023년 1월,5.0,요리/살림
3,김대리의 쉽게 뜨는 요즘 니트,김대리(바늘이야기) (지은이) , 웅진리빙하우스 , 2022년 1월,4.5,요리/살림
4,맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 비에이블 , 2020년 7월,5.0,요리/살림
5,세상 쉽고 맛있는 튼이 이유식,정주희 (지은이) , 서사원 , 2020년 8월,4.5,요리/살림
6,"밥 챙겨 먹어요, 행복하세요",마포농수산쎈타 (지은이) , 세미콜론 , 2023년 1월,5.0,요리/살림
7,365일 반찬 걱정 없는 책,송혜영 (지은이) , 길벗 , 2022년 12월,5.0,요리/살림
8,만화로 배우는 와인의 역사,"브누아 시마 (지은이), 다니엘 카사나브 (그림), 이정은 (옮긴이) ", 한빛비즈 , 2019년 12월,4.5,요리/살림
9,아내의 맛,김진국 (지은이) , 라이스메이커 , 2018년 10월,4.0,요리/살림
10,사랑하지 않을 수 없는 달걀 요리,"쓰레즈레 하나코 (지은이), 가케히준 (그림), 조수연 (옮긴이) ", 시그마북스 , 2023년 2월,4.5,요리/살림
11,디디미니의 초간단 인생맛 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 빅피시 , 2021년 7월,5.0,요리/살림
12,시미켄의 베스트 섹스,"시미즈 켄 (지은이), 김봄 (옮긴이) ", ㅁㅅㄴ , 2018년 2월,5.0,요리/살림
13,공간의 위로 : 삶을 바꾸는 나만의 집,"소린 밸브스 (지은이), 윤서인 (옮긴이) ", 문예출판사 , 2014년 8월,4.5,요리/살림
14,잘 자고 잘 먹는 아기의 시간표,정재호 (지은이) , 한빛라이프 , 2014년 9월,5.0,요리/살림
15,다이어트 불변의 법칙,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 , 2021년 9월,4.5,요리/살림
16,고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 위즈덤하우스 , 2018년 6월,4.5,요리/살림
17,"섹스, 그리고 카마수트라","바츠야야나 (지은이), 척 윌스 (엮은이), 엄성수 (옮긴이) ", 시그마북스 , 2015년 1월,2.5,요리/살림
18,시니맘의 오늘도 완밥 유아식,시니맘(박지혜) (지은이) , 혜지원 , 2022년 10월,5.0,요리/살림
19,핏블리의 다이어트 식단 전략집,"핏블리(문석기), 조은비(핑크힙 응비) (지은이) ", 비타북스 , 2022년 7월,4.5,요리/살림
20,섹스 잘하는 남자 만들기,"미츠이 쿄코 (지은이), 스미 신사쿠 (그림), 이솔 (옮긴이) ", S플레이북 , 2014년 1월,4.0,요리/살림
21,진짜 기본 요리책,수퍼레시피 (지은이) , 레시피팩토리 , 2020년 12월,4.5,요리/살림
22,정리 잘하는 사람은 이렇게 합니다,"고메다 마리나 (지은이), 박연정 (옮긴이) ", 한빛라이프 , 2022년 1월,5.0,요리/살림
23,와인 상식사전,이기태 (지은이) , 길벗 , 2017년 6월,4.5,요리/살림
24,품격 있는 아내들의 남편 다루는 법,김민수 (지은이) , 북스고 , 2022년 10월,5.0,요리/살림
25,아하부장의 맛,아하부장 (지은이) , 프롬비 , 2021년 11월,5.0,요리/살림
26,똑똑하게 사랑하고 행복하게 섹스하라,배정원 (지은이) , 21세기북스 , 2014년 3월,4.0,요리/살림
27,기초부터 이해하는 제빵 기술,"요시노 세이이치 (지은이), 황미숙 (옮긴이), 임태언, 김지민 (감수) ", 터닝포인트 , 2020년 6월,4.5,요리/살림
28,도해 사케,"키미지마 사토시 (지은이), 기미정 (옮긴이), 노자키 히로미츠 (감수) ", AK(에이케이)커뮤니케이션즈 , 2015년 6월,0.0,요리/살림
29,카페 실무 매뉴얼,신기욱 (지은이) , 클 , 2021년 6월,0.0,요리/살림
30,자연식물식 다이어트 30일 챌린지,오공삼(오영세) (지은이) , 21세기북스 , 2020년 1월,4.5,요리/살림
31,아메리칸 쿠키,"까망레시피, 호야 (지은이) ", 경향BP , 2022년 11월,5.0,요리/살림
32,TRUE LOVE 슬로 섹스를 위한 조언,아담 도쿠나가 (지은이) , 바닐라미디어 , 2017년 2월,0.0,요리/살림
33,커픽처스 커피 레시피 101,김현석 (지은이) , 비타북스 , 2022년 11월,5.0,요리/살림
34,사유 식탁,"알랭 드 보통, 인생학교 (지은이), 이용재 (옮긴이) ", 오렌지디 , 2022년 12월,5.0,요리/살림
35,브리첼의 감성 케이크,서귀영(브리첼) (지은이) , 북라이프 , 2021년 5월,5.0,요리/살림
