알라딘_순위,제목,알라딘_저자,알라딘_출판사,알라딘_출간일,알라딘_별점,알라딘_장르,상명장르,알라딘_가격
  1    ,맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우 (지은이) , 빅피시 ,2022-05-01,5.0,요리/살림,가정/생활,13160
  2    ,김대리의 쉽게 뜨는 요즘 니트,김대리(바늘이야기) (지은이) , 웅진리빙하우스 ,2022-01-01,4.5,요리/살림,가정/생활,13800
  3    ,365일 반찬 걱정 없는 책,송혜영 (지은이) , 길벗 ,2022-12-01,5.0,요리/살림,가정/생활,21600
  4    ,요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피	,이은경 (지은이) , 메가스터디BOOKS	 ,2023-01-01,5.0,요리/살림,가정/생활,12600
  5    ,아내의 맛,김진국 (지은이) , 라이스메이커 ,2018-10-01,4.0,요리/살림,가정/생활,11430
  6    ,사랑하지 않을 수 없는 달걀 요리,"쓰레즈레 하나코 (지은이), 가케히준 (그림), 조수연 (옮긴이) ", 시그마북스 ,2023-02-01,4.5,요리/살림,가정/생활,10500
  7    ,세상 쉽고 맛있는 튼이 이유식,정주희 (지은이) , 서사원 ,2020-08-01,4.5,요리/살림,가정/생활,15400
  8    ,공간의 위로 : 삶을 바꾸는 나만의 집,"소린 밸브스 (지은이), 윤서인 (옮긴이) ", 문예출판사 ,2014-08-01,4.5,요리/살림,가정/생활,5460
  9    ,맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 비에이블 ,2020-07-01,5.0,요리/살림,가정/생활,12250
  10    ,"밥 챙겨 먹어요, 행복하세요",마포농수산쎈타 (지은이) , 세미콜론 ,2023-01-01,5.0,요리/살림,가정/생활,13800
  11    ,채소 마스터 클래스,"백지혜 (지은이), 정멜멜 (사진) ", 세미콜론 ,2022-03-01,4.5,요리/살림,가정/생활,16100
  12    ,그 여자의 섹스 : 내 남자를 위한 사랑의 기술,"이안 커너 (지은이), 전광철 (옮긴이) ", S플레이북 ,2014-10-01,4.0,요리/살림,가정/생활,5000
  13    ,시니맘의 오늘도 완밥 유아식,시니맘(박지혜) (지은이) , 혜지원 ,2022-10-01,5.0,요리/살림,가정/생활,13650
  14    ,진짜 기본 요리책,수퍼레시피 (지은이) , 레시피팩토리 ,2020-12-01,4.5,요리/살림,가정/생활,13160
  15    ,나의 프랑스식 샐러드,이선혜 (지은이) , 브.레드(b.read) ,2020-08-01,5.0,요리/살림,가정/생활,12000
  16    ,품격 있는 아내들의 남편 다루는 법,김민수 (지은이) , 북스고 ,2022-10-01,5.0,요리/살림,가정/생활,11900
  17    ,똑똑하게 사랑하고 행복하게 섹스하라,배정원 (지은이) , 21세기북스 ,2014-03-01,4.0,요리/살림,가정/생활,13600
  18    ,오! 이렇게 다양한 오트밀 요리,챱챱테이블 박현주 (지은이) , 레시피팩토리 ,2020-11-01,5.0,요리/살림,가정/생활,9660
  19    ,커픽처스 커피 레시피 101,김현석 (지은이) , 비타북스 ,2022-11-01,5.0,요리/살림,가정/생활,15000
  20    ,카페 실무 매뉴얼,신기욱 (지은이) , 클 ,2021-06-01,0.0,요리/살림,가정/생활,21000
  21    ,TRUE LOVE 슬로 섹스를 위한 조언,아담 도쿠나가 (지은이) , 바닐라미디어 ,2017-02-01,0.0,요리/살림,가정/생활,7500
  22    ,아메리칸 쿠키,"까망레시피, 호야 (지은이) ", 경향BP ,2022-11-01,5.0,요리/살림,가정/생활,10400
  23    ,사유 식탁,"알랭 드 보통, 인생학교 (지은이), 이용재 (옮긴이) ", 오렌지디 ,2022-12-01,5.0,요리/살림,가정/생활,26950
  24    ,백종원의 혼밥 메뉴,백종원 (지은이) , 서울문화사 ,2019-05-01,3.5,요리/살림,가정/생활,7600
  25    ,브리첼의 감성 케이크,서귀영(브리첼) (지은이) , 북라이프 ,2021-05-01,5.0,요리/살림,가정/생활,15400
  26    ,더 솥밥,이민주 (지은이) , 서사원 ,2022-01-01,5.0,요리/살림,가정/생활,14000
  27    ,최성애 박사의 행복 수업,최성애 (지은이) , 해냄출판사 ,2017-11-01,4.5,요리/살림,가정/생활,9900
  28    ,꽃다발 봄 vol.1 꽃포장교실,플로라 편집부 (지은이) , 플로라 ,2018-08-01,0.0,요리/살림,가정/생활,2500
  29    ,어떻게 먹을 것인가,"캐롤린 스틸 (지은이), 홍선영 (옮긴이) ", 메디치미디어 ,2023-02-01,0.0,요리/살림,가정/생활,22400
  30    ,디디미니의 초간단 인생맛 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 빅피시 ,2021-07-01,5.0,요리/살림,가정/생활,12950
  31    ,시미켄의 베스트 섹스,"시미즈 켄 (지은이), 김봄 (옮긴이) ", ㅁㅅㄴ ,2018-02-01,5.0,요리/살림,가정/생활,12000
  32    ,아이주도 이유식 유아식 매뉴얼 (개정판),"BLW 연구소, 안소정 (지은이) ", 아퍼블리싱 ,2021-10-01,5.0,요리/살림,가정/생활,18000
  33    ,잘 자고 잘 먹는 아기의 시간표,정재호 (지은이) , 한빛라이프 ,2014-09-01,5.0,요리/살림,가정/생활,9900
  34    ,다이어트 불변의 법칙,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 ,2021-09-01,4.5,요리/살림,가정/생활,9000
  35    ,"섹스, 그리고 카마수트라","바츠야야나 (지은이), 척 윌스 (엮은이), 엄성수 (옮긴이) ", 시그마북스 ,2015-01-01,2.5,요리/살림,가정/생활,15000
  36    ,고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 위즈덤하우스 ,2018-06-01,4.5,요리/살림,가정/생활,10500
  37    ,나는 질병없이 살기로 했다 : 독소를 청소하면 왜 병과 비만은 사라지는가,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 ,2020-02-01,5.0,요리/살림,가정/생활,8000
  38    ,라임맘의 실패 없는 아이주도이유식 & 유아식,"옥한나 (지은이), 조애경 (감수) ", 중앙books(중앙북스) ,2021-07-01,5.0,요리/살림,가정/생활,20000
  39    ,핏블리의 다이어트 식단 전략집,"핏블리(문석기), 조은비(핑크힙 응비) (지은이) ", 비타북스 ,2022-07-01,4.5,요리/살림,가정/생활,11900
  40    ,세상에서 가장 맛있게 와인을 즐기는 방법,"휴 존슨 (지은이), 황근하 (옮긴이) ", 휴먼앤북스(Human&Books) ,2010-10-01,4.5,요리/살림,가정/생활,7500
  41    ,섹스 잘하는 남자 만들기,"미츠이 쿄코 (지은이), 스미 신사쿠 (그림), 이솔 (옮긴이) ", S플레이북 ,2014-01-01,4.0,요리/살림,가정/생활,8000
  42    ,맛있는 게 좋아서 양조절 다이어트,한아름 (지은이) , 길벗 ,2022-06-01,4.5,요리/살림,가정/생활,12950
  43    ,만원으로 일주일 반찬 만들기,송혜영 (지은이) , 길벗 ,2020-06-01,5.0,요리/살림,가정/생활,10080
  44    ,라미의 믿고 먹는 다이어트 레시피,이주아 (지은이) , 북테이블 ,2021-08-01,5.0,요리/살림,가정/생활,12600
  45    ,정리 못하는 사람을 위한 정리책,"와타나베 아야 (지은이), 김수정 (옮긴이) ", 즐거운상상 ,2021-05-01,5.0,요리/살림,가정/생활,9800
  46    ,만화로 배우는 와인의 역사,"브누아 시마 (지은이), 다니엘 카사나브 (그림), 이정은 (옮긴이) ", 한빛비즈 ,2019-12-01,4.5,요리/살림,가정/생활,12950
