순위,제목,저자,출판사,출간일,별점
1,마케팅 설계자,"러셀 브런슨 (지은이), 이경식 (옮긴이) ", 윌북 , 2022년 12월,5.0
2,AI 2041,"리카이푸, 천치우판 (지은이), 이현 (옮긴이) ", 한빛비즈 , 2023년 1월,5.0
3,혼자 공부하는 컴퓨터 구조 + 운영체제,강민철 (지은이) , 한빛미디어 , 2022년 8월,5.0
4,면접을 위한 CS 전공지식 노트,주홍철 (지은이) , 길벗 , 2022년 5월,4.5
5,모던 자바스크립트 Deep Dive,이웅모 (지은이) , 위키북스 , 2021년 1월,5.0
6,진짜 쓰는 실무 엑셀,오빠두(전진권) (지은이) , 제이펍 , 2022년 9월,5.0
7,클린 아키텍처,"로버트 C. 마틴 (지은이), 송준이 (옮긴이) ", 인사이트 , 2020년 7월,4.5
8,비전공자도 이해할 수 있는 AI 지식,"박상길 (지은이), 정진호 (그림) ", 반니 , 2022년 8월,5.0
9,가상 면접 사례로 배우는 대규모 시스템 설계 기초,"알렉스 쉬 (지은이), 이병준 (옮긴이) ", 인사이트 , 2021년 8월,4.0
10,이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈 (지은이) , 한빛미디어 , 2020년 9월,5.0
11,혼자 공부하는 머신러닝 + 딥러닝,박해선 (지은이) , 한빛미디어 , 2020년 12월,5.0
12,업무와 일상을 정리하는 새로운 방법 노션 Notion,"전시진, 이해봄 (지은이) ", 제이펍 , 2022년 12월,5.0
13,혼자 공부하는 자바,신용권 (지은이) , 한빛미디어 , 2021년 7월,4.5
14,이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),"전용문, 박현민 (지은이) ", 위키북스 , 2023년 1월,5.0
15,혼자 공부하는 데이터 분석 with 파이썬,박해선 (지은이) , 한빛미디어 , 2023년 1월,5.0
16,시작하세요! C# 10 프로그래밍,정성태 (지은이) , 위키북스 , 2023년 2월,0.0
17,비전공자를 위한 이해할 수 있는 IT 지식,최원영 (지은이) , T.W.I.G(티더블유아이지)(주) , 2021년 4월,4.0
18,자바 ORM 표준 JPA 프로그래밍,김영한 (지은이) , 에이콘출판 , 2020년 6월,4.5
19,파이썬 알고리즘 인터뷰,"박상길 (지은이), 정진호 (그림) ", 책만 , 2020년 10월,5.0
20,혼자 공부하는 파이썬,윤인성 (지은이) , 한빛미디어 , 2022년 5월,5.0
21,혼자 해도 프로 작가처럼 잘 그리는 아이패드 드로잉 with 프로크리에이트,빨간고래(박정아) (지은이) , 한빛미디어 , 2022년 6월,5.0
